Phenotype	PheCode	30-39	40-49	50-59	60-69	70-79
Diseases of hard tissues of teeth	521.0	0.0	0.01	0.0	0.01	0.0
Diseases of pulp and periapical tissues	522.0	0.0	0.16	0.17	0.15	0.17
Pulpitis and necrosis of tooth pulp	522.1	0.0	0.01	0.02	0.01	0.04
Acute periodontitis	523.31	0.0	0.04	0.05	0.03	0.0
Chronic periodontitis	523.32	0.0	0.46	0.32	0.24	0.13
Periapical abscess	522.5	0.0	0.37	0.39	0.31	0.47
Gingivitis	523.1	0.0	0.03	0.03	0.04	0.0
Periodontitis (acute or chronic)	523.3	0.0	0.0	0.0	0.0	0.0
Anomalies of jaw size/symmetry	526.3	0.0	0.02	0.02	0.01	0.0
Anomalies of tooth position/malocclusion	524.3	0.0	0.15	0.08	0.04	0.04
Dentofacial anomalies, including malocclusion	524.0	0.0	0.02	0.01	0.01	0.0
Temporomandibular joint disorder, unspecified	526.41	0.0	0.08	0.08	0.05	0.04
Other diseases of the teeth and supporting structures	525.0	0.0	0.72	0.72	0.83	1.09
Atrophy of edentulous alveolar ridge	525.2	0.0	0.01	0.01	0.03	0.09
Cysts of the jaws	526.1	0.0	0.07	0.1	0.09	0.09
Sebaceous cyst	706.2	0.0	1.95	2.15	2.31	2.41
Cysts of oral soft tissues	528.4	0.0	0.01	0.01	0.01	0.0
Jaw disease NOS	526.9	0.0	0.04	0.08	0.08	0.09
Diseases of the jaws	526.0	0.0	0.01	0.0	0.0	0.0
Inflammatory conditions of jaw	526.5	0.0	0.02	0.03	0.04	0.09
Diseases of the salivary glands	527.0	0.0	0.02	0.02	0.04	0.0
Hypertrophy of salivary gland	527.1	0.0	0.02	0.02	0.02	0.13
Sialoadenitis	527.2	0.0	0.07	0.1	0.12	0.04
Cellulitis and abscess of oral soft tissues	528.3	0.0	0.06	0.04	0.05	0.08
Sialolithiasis	528.7	0.0	0.07	0.08	0.08	0.04
Cyst of the salivary gland	528.41	0.0	0.03	0.03	0.03	0.08
Disturbance of salivary secretion	527.7	0.0	0.01	0.02	0.02	0.04
Other specified diseases of the salivary glands	527.8	0.0	0.03	0.04	0.04	0.08
Oral aphthae	528.12	0.0	0.02	0.02	0.02	0.04
Stomatitis and mucositis (ulcerative)	528.11	0.0	0.09	0.13	0.14	0.13
Cellulitis and abscess of face/neck	681.2	0.0	0.13	0.13	0.16	0.13
Diseases of lips	528.5	0.0	0.16	0.18	0.22	0.46
Leukoplakia of oral mucosa	528.6	0.0	0.06	0.09	0.11	0.08
Diseases and other conditions of the tongue	529.0	0.0	0.19	0.27	0.31	0.42
Glossodynia	529.6	0.0	0.01	0.0	0.01	0.0
Esophagitis, GERD and related diseases	530.1	0.0	1.57	2.53	3.79	4.39
GERD	530.11	0.0	3.04	4.64	6.52	8.02
Reflux esophagitis	530.14	0.0	1.85	3.02	4.2	5.12
Disorders of esophageal motility	530.5	0.0	0.11	0.19	0.28	0.15
Ulcer of esophagus	530.12	0.0	0.64	1.24	2.21	2.84
Stricture and stenosis of esophagus	530.3	0.0	0.26	0.54	0.92	1.64
Diseases of esophagus	530.0	0.0	0.1	0.17	0.28	0.25
Diverticulum of esophagus, acquired	530.6	0.0	0.01	0.04	0.1	0.15
Gastroesophageal laceration-hemorrhage syndrome	530.7	0.0	0.1	0.08	0.11	0.1
Gastric ulcer	531.2	0.0	0.57	1.07	1.68	2.56
Hemorrhage from gastrointestinal ulcer	531.1	0.0	0.07	0.14	0.29	0.43
Duodenal ulcer	531.3	0.0	0.42	0.7	1.09	1.06
Peptic ulcer, site unspecified	531.4	0.0	0.05	0.11	0.16	0.13
Gastrojejunal ulcer	531.5	0.0	0.01	0.01	0.01	0.04
Gastritis and duodenitis	535.0	0.0	3.05	4.88	6.85	8.65
Acute gastritis	535.1	0.0	0.19	0.31	0.53	0.58
Other specified gastritis	535.8	0.0	1.42	2.42	3.64	4.87
Atrophic gastritis	535.2	0.0	0.04	0.1	0.18	0.29
Duodenitis	535.6	0.0	1.33	2.13	2.97	3.67
Abdominal pain	785.0	16.67	10.62	10.72	11.78	13.03
Other disorders of stomach and duodenum	537.0	0.0	0.57	1.0	1.5	2.03
Disorders of function of stomach	536.0	0.0	0.0	0.0	0.0	0.0
Acute appendicitis	540.11	0.0	0.72	0.57	0.49	0.29
Appendicitis	540.1	0.0	0.21	0.15	0.12	0.08
Appendiceal conditions	540.0	0.0	0.08	0.07	0.07	0.08
Inguinal hernia	550.1	0.0	2.08	3.66	6.79	9.28
Femoral hernia	550.3	0.0	0.1	0.17	0.28	0.59
Umbilical hernia	550.4	0.0	0.96	1.13	1.44	1.54
Ventral hernia	550.5	0.0	0.72	0.96	1.47	2.36
Abdominal hernia	550.0	0.0	0.74	1.0	1.53	2.72
Diaphragmatic hernia	550.2	0.0	4.01	7.24	11.41	16.08
Regional enteritis	555.1	0.0	0.54	0.57	0.65	1.04
Ulcerative colitis	555.2	0.0	0.77	0.93	1.26	1.41
Ulcerative colitis (chronic)	555.21	0.0	0.19	0.19	0.22	0.25
Effects radiation NOS	990.0	0.0	0.52	0.92	1.67	2.19
Toxic gastroenteritis and colitis	569.1	0.0	0.02	0.06	0.1	0.09
Diarrhea	561.1	0.0	0.09	0.17	0.29	0.43
Noninfectious gastroenteritis	558.0	0.0	3.47	4.53	5.99	7.79
Vascular insufficiency of intestine	441.0	0.0	0.04	0.08	0.15	0.22
Acute vascular insufficiency of intestine	441.1	0.0	0.03	0.06	0.13	0.09
Chronic vascular insufficiency of intestine	441.2	0.0	0.01	0.01	0.02	0.0
Other disorders of intestine	569.0	0.0	0.58	1.01	1.52	1.86
Paralytic ileus	560.1	0.0	0.1	0.17	0.33	0.43
Other intestinal obstruction	560.4	0.0	0.57	1.05	1.78	3.07
Impaction of intestine	560.2	0.0	0.07	0.09	0.15	0.19
Peritoneal or intestinal adhesions	560.3	0.0	0.15	0.29	0.47	0.62
Diverticulosis	562.1	0.0	3.29	7.52	14.3	20.18
Irritable Bowel Syndrome	564.1	0.0	1.67	2.05	2.23	3.13
Functional digestive disorders	564.0	0.0	0.18	0.27	0.4	0.98
Constipation	563.0	0.0	2.43	3.36	5.59	8.99
Anal and rectal conditions	565.0	16.67	2.24	2.31	2.55	2.68
Anal and rectal polyp	565.1	0.0	1.32	2.01	3.02	3.74
Hemorrhage of rectum and anus	578.8	0.0	2.79	3.6	4.04	4.17
Ulceration of the lower GI tract	556.0	0.0	0.1	0.15	0.2	0.06
Peritonitis and retroperitoneal infections	567.0	0.0	0.17	0.25	0.35	0.45
Ulceration of intestine	556.1	0.0	0.19	0.24	0.36	0.43
Other disorders of peritoneum	568.0	0.0	0.05	0.07	0.09	0.05
Peritoneal adhesions (postoperative) (postinfection)	568.1	0.0	0.85	0.96	1.23	1.03
Alcoholic liver damage	317.11	0.0	0.21	0.31	0.25	0.18
Liver abscess and sequelae of chronic liver disease	571.8	0.0	0.1	0.18	0.23	0.26
Hepatitis NOS	70.9	0.0	0.1	0.14	0.17	0.13
Other disorders of liver	573.0	0.0	0.26	0.45	0.71	1.08
Chronic hepatitis	70.4	0.0	0.05	0.08	0.1	0.13
Cirrhosis of liver without mention of alcohol	571.51	0.0	0.12	0.22	0.27	0.26
Other chronic nonalcoholic liver disease	571.5	0.0	0.46	0.61	0.63	0.61
Primary biliary cirrhosis	571.6	0.0	0.03	0.07	0.1	0.17
Chronic passive congestion of liver	573.1	0.0	0.01	0.0	0.01	0.09
Acute and subacute necrosis of liver	573.4	0.0	0.0	0.0	0.0	0.0
Portal hypertension	571.81	0.0	0.11	0.19	0.21	0.3
Cholelithiasis	574.1	0.0	1.63	2.32	3.06	3.75
Cholelithiasis with acute cholecystitis	574.11	0.0	0.29	0.41	0.61	0.49
Cholelithiasis with other cholecystitis	574.12	0.0	1.11	1.45	1.87	1.66
Calculus of bile duct	574.2	0.0	0.47	0.67	0.98	1.66
Cholecystitis without cholelithiasis	574.3	0.0	0.49	0.7	0.99	1.01
Other disorders of gallbladder	575.7	0.0	0.29	0.38	0.53	0.35
Cholesterolosis of gallbladder	575.6	0.0	0.13	0.13	0.13	0.0
Other disorders of biliary tract	575.8	0.0	0.13	0.29	0.47	0.7
Cholangitis	575.1	0.0	0.06	0.14	0.26	0.35
Obstruction of bile duct	575.2	0.0	0.15	0.22	0.36	0.53
Chronic pancreatitis	577.2	0.0	0.11	0.15	0.17	0.12
Cyst and pseudocyst of pancreas	577.3	0.0	0.06	0.11	0.15	0.08
Diseases of pancreas	577.0	0.0	0.09	0.15	0.26	0.25
Intestinal malabsorption (non-celiac)	557.0	0.0	0.08	0.11	0.12	0.37
Celiac disease	557.1	0.0	0.43	0.58	0.78	1.29
Gastrointestinal complications	569.2	0.0	0.1	0.13	0.2	0.09
Bariatric surgery	539.0	0.0	0.01	0.01	0.01	0.0
Complication of colostomy or enterostomy	853.0	0.0	0.09	0.15	0.2	0.14
Hematemesis	578.1	0.0	0.44	0.51	0.7	1.17
Blood in stool	578.2	0.0	0.45	0.69	1.09	1.21
Hemorrhage of gastrointestinal tract	578.9	0.0	1.56	1.73	2.2	2.26
Other specified erythematous conditions	695.8	0.0	0.04	0.05	0.06	0.0
Impetigo	686.2	0.0	0.01	0.01	0.01	0.0
Superficial cellulitis and abscess	681.0	0.0	0.11	0.14	0.18	0.13
Cellulitis and abscess of fingers/toes	681.1	0.0	0.14	0.17	0.19	0.26
Cellulitis and abscess of leg, except foot	681.5	0.0	1.13	1.46	2.05	2.56
Cellulitis and abscess of foot, toe	681.6	0.0	1.13	1.46	2.05	2.56
Cellulitis and abscess of arm/hand	681.3	0.0	1.13	1.46	2.05	2.56
Cellulitis and abscess of trunk	681.7	0.0	0.14	0.17	0.21	0.13
Pilonidal cyst	686.3	0.0	0.25	0.12	0.08	0.04
Pyoderma	686.5	0.0	0.02	0.02	0.01	0.0
Keratoderma, acquired	701.1	0.0	0.01	0.02	0.02	0.0
Degenerative skin conditions and other dermatoses	702.0	0.0	0.0	0.0	0.0	0.0
Other hypertrophic and atrophic conditions of skin	701.0	0.0	0.29	0.44	0.56	0.5
Dermatitis herpetiformis	695.21	0.0	0.02	0.01	0.02	0.0
Toxic erythema	695.1	0.0	0.03	0.03	0.03	0.0
Bullous dermatoses	695.2	0.0	0.0	0.0	0.0	0.0
Atopic/contact dermatitis due to other or unspecified	939.0	0.0	0.52	0.62	0.79	1.04
Seborrheic dermatitis	690.1	0.0	0.02	0.02	0.02	0.0
Diaper or napkin rash	949.1	0.0	0.0	0.0	0.0	0.04
Allergic reaction to food	930.0	0.0	0.07	0.05	0.05	0.04
Contact dermatitis and other eczema due to plants [except food]	931.0	0.0	0.0	0.0	0.0	0.0
Unspecified erythematous condition	695.9	0.0	0.1	0.14	0.18	0.17
Rash and other nonspecific skin eruption	687.1	0.0	0.49	0.61	0.77	1.55
Prurigo and Lichen	695.7	0.0	0.13	0.21	0.28	0.38
Pruritus and related conditions	698.0	0.0	0.2	0.21	0.25	0.29
Dyshidrosis	705.1	0.0	0.0	0.0	0.0	0.0
Erythematosquamous dermatosis	690.0	0.0	0.01	0.01	0.01	0.0
Pityriasis	696.3	0.0	0.01	0.02	0.02	0.04
Parapsoriasis	696.2	0.0	0.01	0.0	0.01	0.0
Disorder of skin and subcutaneous tissue NOS	689.0	0.0	1.08	1.38	2.11	2.85
Urticaria	947.0	0.0	0.12	0.16	0.2	0.17
Erythema nodosum	695.81	0.0	0.03	0.02	0.02	0.04
Acute dermatitis due to solar radiation	938.1	0.0	0.01	0.01	0.0	0.0
Dermatitis due to solar radiation	938.0	0.0	0.01	0.03	0.04	0.17
Chronic dermatitis due to solar radiation	938.2	0.0	0.02	0.06	0.12	0.21
Other dyschromia	694.2	0.0	0.14	0.2	0.3	0.17
Diseases of nail, NOS	703.0	0.0	0.06	0.08	0.12	0.21
Ingrowing nail	703.1	0.0	0.22	0.2	0.23	0.34
Osteitis deformans and osteopathies associated with other disorders classified elsewhere	731.0	0.0	0.0	0.0	0.0	0.0
Alopecia Areata	704.11	0.0	0.01	0.01	0.0	0.0
Alopecia	704.1	0.0	0.05	0.04	0.04	0.0
Telogen effluvium	704.12	0.0	0.0	0.0	0.0	0.0
Other specified diseases of hair and hair follicles	704.8	0.0	0.02	0.02	0.02	0.0
Diseases of hair and hair follicles	704.0	0.0	1.3	1.35	1.33	1.33
Hirsutism	704.2	0.0	0.01	0.01	0.01	0.0
Acne	706.1	0.0	0.03	0.02	0.02	0.04
Rosacea	695.3	0.0	0.06	0.09	0.11	0.29
Hidradenitis	705.3	0.0	0.1	0.05	0.03	0.0
Disorders of sweat glands	705.0	0.0	0.01	0.01	0.01	0.0
Vitiligo	694.1	0.0	0.02	0.02	0.02	0.0
Acquired acanthosis nigricans	701.6	0.0	0.01	0.03	0.04	0.04
Corns and callosities	700.0	0.0	0.05	0.08	0.11	0.25
Other specified diseases of sebaceous glands	706.8	0.0	0.0	0.0	0.0	0.0
Decubitus ulcer	707.1	0.0	0.03	0.06	0.11	0.21
Scar conditions and fibrosis of skin	701.2	0.0	0.53	0.59	0.71	0.84
Keloid scar	701.4	0.0	0.09	0.07	0.06	0.04
Abnormal granulation tissue	701.5	0.0	0.1	0.12	0.14	0.17
Degenerative skin disorders	702.4	0.0	0.0	0.0	0.0	0.0
Pyogenic granuloma	686.4	0.0	0.08	0.1	0.11	0.09
Cutaneous lupus erythematosus	695.41	0.0	0.04	0.05	0.05	0.13
Circumscribed scleroderma	701.3	0.0	0.01	0.01	0.02	0.08
Vascular disorders of skin	694.3	0.0	0.03	0.03	0.04	0.34
Chronic ulcer of skin	707.0	0.0	0.17	0.32	0.58	0.66
Pyogenic arthritis	711.1	0.0	0.01	0.02	0.02	0.05
Arthropathy associated with other disorders classified elsewhere	713.0	0.0	0.02	0.02	0.01	0.05
Arthropathy NOS	716.9	0.0	3.06	6.41	11.18	14.7
Reiter's disease	711.2	0.0	0.01	0.01	0.0	0.0
Hypersensitivity angiitis	446.3	0.0	0.0	0.01	0.01	0.0
Rheumatoid arthritis and other inflammatory polyarthropathies	714.0	0.0	0.04	0.11	0.18	0.17
Juvenile rheumatoid arthritis	714.2	0.0	0.01	0.01	0.0	0.0
Ankylosing spondylitis	715.2	0.0	0.07	0.12	0.14	0.17
Gout	274.1	0.0	0.21	0.47	1.0	1.45
Gouty arthropathy	274.11	0.0	0.0	0.01	0.01	0.08
Disorders resulting from impaired renal function	588.0	0.0	0.02	0.03	0.03	0.23
Crystal arthropathies	274.2	0.0	0.0	0.0	0.01	0.0
Chondrocalcinosis	274.21	0.0	0.08	0.07	0.09	0.0
Symptoms and disorders of the joints	741.0	0.0	0.16	0.13	0.14	0.17
Villonodular synovitis	741.6	0.0	0.0	0.0	0.0	0.0
Palindromic rheumatism	716.8	0.0	0.0	0.0	0.01	0.0
Traumatic arthropathy	836.0	0.0	0.04	0.07	0.08	0.04
Other arthropathies	716.0	0.0	0.01	0.02	0.03	0.05
Unspecified monoarthritis	716.2	0.0	2.13	4.21	6.94	8.9
Osteoarthrosis NOS	740.9	0.0	0.57	1.36	2.74	3.84
Arthropathy associated with neurological disorders	713.5	0.0	0.01	0.02	0.03	0.1
Osteoarthrosis, generalized	740.2	0.0	0.03	0.11	0.27	0.57
Osteoarthritis; localized	740.1	0.0	0.78	2.21	4.61	7.28
Osteoarthrosis, localized, primary	740.11	0.0	0.67	1.8	3.9	5.76
Osteoarthrosis, localized, secondary	740.12	0.0	0.05	0.08	0.09	0.1
Acquired deformities of finger	736.2	0.0	0.05	0.06	0.08	0.09
Hallux valgus (Bunion)	735.3	0.0	0.91	1.85	2.26	1.81
Hallux rigidus	735.23	0.0	0.18	0.41	0.55	0.6
Acquired toe deformities	735.2	0.0	0.25	0.52	0.85	0.85
Hammer toe (acquired)	735.21	0.0	0.18	0.46	0.81	0.68
Other acquired deformities of limbs	736.0	0.0	0.04	0.07	0.11	0.09
Contracture of joint	739.0	0.0	0.01	0.02	0.03	0.0
Flat foot	735.1	0.0	0.03	0.04	0.06	0.04
Acquired foot deformities	735.0	0.0	0.03	0.04	0.05	0.0
Internal derangement of knee	835.0	0.0	1.05	1.08	1.0	0.83
Pathological, developmental or recurrent dislocation	742.2	0.0	0.04	0.01	0.01	0.0
Other derangement of joint	742.9	0.0	0.26	0.19	0.15	0.25
Loose body in joint	742.1	0.0	0.01	0.01	0.02	0.04
Articular cartilage disorder	742.8	0.0	0.04	0.03	0.02	0.04
Laxity of ligament or hypermobility syndrome	728.2	0.0	0.07	0.04	0.02	0.0
Ankylosis of joint	741.1	0.0	0.0	0.0	0.0	0.0
Derangement of joint, non-traumatic	742.0	0.0	0.0	0.01	0.01	0.04
Hemarthrosis	741.5	0.0	0.0	0.01	0.0	0.0
Joint effusions	741.4	0.0	0.05	0.06	0.08	0.04
Pain in joint	745.0	0.0	0.36	0.41	0.5	0.45
Stiffness of joint	741.2	0.0	0.02	0.02	0.04	0.0
Enthesopathy	726.1	0.0	1.18	1.97	2.5	2.87
Polyarteritis nodosa and allied conditions	446.0	0.0	0.0	0.0	0.0	0.0
Polyarteritis nodosa	446.6	0.0	0.0	0.01	0.02	0.0
Wegener's granulomatosis	446.4	0.0	0.02	0.05	0.07	0.09
Acute febrile mucocutaneous lymph node syndrome (Kawasaki disease)	446.2	0.0	0.0	0.0	0.0	0.0
Thrombotic microangiopathy	446.8	0.0	0.0	0.01	0.01	0.0
Takayasu's disease	446.7	0.0	0.0	0.0	0.0	0.0
Giant cell arteritis	446.5	0.0	0.01	0.06	0.23	0.31
Systemic lupus erythematosus	695.42	0.0	0.11	0.12	0.11	0.08
Behcet's syndrome	711.3	0.0	0.01	0.01	0.01	0.0
Polymyalgia Rheumatica	717.0	0.0	0.04	0.18	0.74	0.79
Symptoms of the muscles	772.0	0.0	0.04	0.06	0.08	0.08
Panniculitis	729.3	0.0	0.01	0.02	0.01	0.0
Kyphosis (acquired)	737.1	0.0	0.01	0.01	0.03	0.09
Other allied disorders of spine	721.8	0.0	0.02	0.03	0.05	0.13
Other unspecified back disorders	724.9	0.0	0.1	0.12	0.17	0.3
Lordosis (acquired)	737.2	0.0	0.0	0.0	0.0	0.0
Kyphoscoliosis and scoliosis	737.3	0.0	0.09	0.11	0.2	0.38
Osteochondropathies	732.0	0.0	0.09	0.07	0.05	0.0
Juvenile osteochondrosis	732.1	0.0	0.06	0.05	0.04	0.04
Acquired spondylolisthesis	738.4	0.0	0.03	0.07	0.11	0.09
Torticollis	723.1	0.0	0.02	0.02	0.02	0.0
Curvature of spine	737.0	0.0	0.0	0.01	0.01	0.0
Other inflammatory spondylopathies	715.0	0.0	0.05	0.09	0.15	0.13
Spinal enthesopathy	715.3	0.0	0.0	0.0	0.0	0.0
Sacroiliitis NEC	715.1	0.0	0.02	0.02	0.03	0.04
Unspecified osteomyelitis	710.19	0.0	0.02	0.03	0.04	0.1
Osteomyelitis, periostitis, and other infections involving bone	710.0	0.0	0.0	0.0	0.0	0.0
Spondylosis and allied disorders	721.0	0.0	0.14	0.29	0.47	0.77
Spondylosis with myelopathy	721.2	0.0	0.0	0.01	0.01	0.04
Spondylosis without myelopathy	721.1	0.0	0.13	0.24	0.43	0.3
Spinal stenosis	720.0	0.0	0.06	0.16	0.37	0.52
Stress fracture	743.4	0.0	0.0	0.0	0.0	0.0
Pathologic fracture of vertebrae	743.21	0.0	0.0	0.01	0.02	0.0
Other symptoms referable to back	724.8	0.0	0.0	0.0	0.01	0.0
Fracture of vertebral column without mention of spinal cord injury	805.0	0.0	0.07	0.09	0.12	0.04
Other disorders of cervical region	723.0	0.0	0.09	0.11	0.15	0.17
Intervertebral disc disorder with myelopathy	722.7	0.0	0.09	0.11	0.14	0.17
Cervical radiculitis	765.0	0.0	0.17	0.16	0.12	0.12
Displacement of intervertebral disc	722.1	0.0	0.12	0.12	0.09	0.09
Degeneration of intervertebral disc	722.6	0.0	0.64	0.79	1.06	1.45
Schmorl's nodes	722.3	0.0	0.01	0.01	0.01	0.0
Back pain	760.0	0.0	1.5	1.68	2.02	2.32
Neuralgia, neuritis, and radiculitis NOS	766.0	0.0	0.07	0.1	0.11	0.12
Cervicalgia	761.0	0.0	0.24	0.3	0.32	0.21
Sciatica	764.0	0.0	0.3	0.36	0.47	0.41
Myalgia and myositis unspecified	770.0	0.0	0.04	0.05	0.05	0.0
Infective connective tissue disorders	712.0	0.0	0.01	0.0	0.01	0.0
Disorders of muscle, ligament, and fascia	728.0	0.0	0.01	0.01	0.02	0.0
Muscular calcification and ossification	728.1	0.0	0.0	0.0	0.0	0.09
Rhabdomyolysis	772.4	0.0	0.0	0.0	0.0	0.0
Contracture of tendon (sheath)	727.7	0.0	0.03	0.04	0.04	0.09
Muscular wasting and disuse atrophy	772.1	0.0	0.0	0.0	0.01	0.0
Other disorders of soft tissues	729.0	0.0	0.25	0.3	0.41	0.53
Synovitis and tenosynovitis	727.1	0.0	0.38	0.71	0.89	0.84
Other disorders of synovium, tendon, and bursa	727.0	0.0	0.26	0.27	0.28	0.36
Rupture of synovium	727.5	0.0	0.06	0.1	0.17	0.22
Rupture of tendon, nontraumatic	727.6	0.0	0.02	0.03	0.03	0.04
Ganglion and cyst of synovium, tendon, and bursa	727.4	0.0	0.73	0.83	0.86	0.75
Symptoms involving nervous and musculoskeletal systems	781.0	0.0	0.47	0.53	0.68	0.79
Bursitis disorders	727.2	0.0	0.0	0.01	0.01	0.0
Bursitis	726.3	0.0	0.16	0.17	0.16	0.13
Fasciitis	728.7	0.0	0.08	0.07	0.07	0.0
Contracture of palmar fascia [Dupuytren's disease]	728.71	0.0	0.18	0.58	1.17	1.54
Peripheral enthesopathies and allied syndromes	726.0	0.0	1.8	2.5	2.87	2.87
Synoviopathy	726.2	0.0	0.13	0.12	0.08	0.0
Calcaneal spur; Exostosis NOS	726.4	0.0	0.02	0.01	0.01	0.0
Rheumatism, unspecified and fibrositis	729.1	0.0	0.09	0.11	0.09	0.04
Pain in limb	773.0	0.0	0.31	0.33	0.43	0.58
Swelling of limb	771.1	0.0	0.15	0.2	0.3	0.5
Pathologic fracture	743.2	0.0	0.0	0.0	0.01	0.0
Osteoporosis NOS	743.11	0.0	0.25	0.84	1.91	2.98
Other disorders of bone and cartilage	733.0	0.0	0.13	0.22	0.33	0.47
Malunion and nonunion of fracture	733.8	0.0	0.03	0.05	0.04	0.22
Cyst of bone	733.2	0.0	0.01	0.01	0.02	0.0
Osteopenia or other disorder of bone and cartilage	743.9	0.0	0.04	0.05	0.07	0.04
Acute osteomyelitis	710.11	0.0	0.0	0.0	0.0	0.0
Chronic osteomyelitis	710.12	0.0	0.01	0.01	0.01	0.05
Aseptic necrosis of bone	733.4	0.0	0.02	0.02	0.03	0.13
Osteitis deformans [Paget's disease of bone]	731.1	0.0	0.01	0.01	0.02	0.13
Osteopathy resulting from poliomyelitis	710.3	0.0	0.0	0.0	0.0	0.0
Congenital osteodystrophies	756.5	0.0	0.04	0.05	0.04	0.04
Osteochondritis dissecans	732.7	0.0	0.02	0.02	0.01	0.0
Other acquired musculoskeletal deformity	738.0	0.0	0.14	0.1	0.08	0.09
Complication of internal orthopedic device	858.0	0.0	0.48	0.87	1.52	2.46
Postlaminectomy syndrome	722.8	0.0	0.02	0.02	0.01	0.0
Nonallopathic lesions NEC	769.0	0.0	0.0	0.0	0.0	0.0
Dislocation	830.0	0.0	0.63	0.5	0.52	0.54
Proliferative glomerulonephritis	580.11	0.0	0.01	0.02	0.03	0.05
Non-proliferative glomerulonephritis	580.12	0.0	0.02	0.04	0.06	0.05
Hematuria	593.0	0.0	2.47	3.85	5.95	7.82
Chronic glomerulonephritis, NOS	580.14	0.0	0.05	0.13	0.38	0.94
Nephritis and nephropathy with pathological lesion	580.32	0.0	0.04	0.08	0.09	0.09
Proteinuria	269.0	0.0	0.08	0.1	0.12	0.17
Pyelonephritis	590.0	0.0	0.43	0.43	0.47	0.57
Stricture/obstruction of ureter	586.4	0.0	0.17	0.25	0.36	0.41
Urinary obstruction	599.1	0.0	0.02	0.04	0.08	0.05
Hydronephrosis	595.0	0.0	0.38	0.53	0.82	0.8
Vesicoureteral reflux	586.12	0.0	0.01	0.01	0.01	0.0
Acute renal failure	585.1	0.0	0.58	1.32	3.04	4.95
Chronic renal failure [CKD]	585.3	0.0	0.29	0.6	1.66	2.99
Renal failure NOS	585.2	0.0	0.16	0.33	0.64	1.08
Urinary calculus	594.0	0.0	0.11	0.14	0.14	0.09
Calculus of kidney	594.1	0.0	0.67	0.88	1.05	1.18
Calculus of ureter	594.3	0.0	0.53	0.67	0.71	0.42
Calculus of lower urinary tract	594.2	0.0	0.09	0.16	0.35	0.59
Renal colic	594.8	0.0	0.48	0.54	0.48	0.51
Renal osteodystrophy	588.1	0.0	0.0	0.0	0.0	0.0
Small kidney	586.11	0.0	0.04	0.05	0.09	0.09
Vascular disorders of kidney/hypertrophy	586.3	0.0	0.01	0.02	0.04	0.05
Cyst of kidney, acquired	586.2	0.0	0.15	0.33	0.69	0.99
Other disorders of the kidney and ureters	586.0	0.0	0.17	0.31	0.49	0.59
Cystitis	592.1	0.0	0.29	0.49	0.83	1.05
Acute cystitis	592.11	0.0	0.02	0.03	0.06	0.1
Chronic interstitial cystitis	592.13	0.0	0.06	0.07	0.1	0.05
Chronic cystitis	592.12	0.0	0.14	0.21	0.38	0.29
Functional disorders of bladder	596.5	0.0	0.27	0.4	0.54	0.58
Other disorders of bladder	596.0	0.0	0.91	1.68	3.12	4.9
Bladder neck obstruction	596.1	0.0	0.17	0.39	0.84	1.24
Urethritis and urethral syndrome	592.2	0.0	0.02	0.03	0.04	0.1
Urethral syndrome	592.21	0.0	0.01	0.01	0.01	0.0
Urethral stricture (not specified as infectious)	597.1	0.0	0.59	0.82	1.28	1.76
Urethral stricture due to infecton	592.3	0.0	0.0	0.0	0.0	0.0
Other disorders of urethra and urinary tract	597.0	0.0	0.1	0.18	0.32	0.45
Prolapse of vaginal walls	618.1	0.0	1.0	1.77	2.62	2.73
Other symptoms/disorders or the urinary system	599.0	0.0	1.0	1.6	2.71	3.51
Urinary tract infection	591.0	0.0	2.02	3.06	5.41	7.98
Urinary incontinence	599.4	0.0	1.75	2.36	2.98	3.99
stress incontinence, female	624.9	0.0	1.25	1.55	1.6	1.79
Hyperplasia of prostate	600.0	0.0	0.47	2.06	5.95	9.58
Prostatitis	601.1	0.0	0.07	0.16	0.27	0.19
Acute prostatitis	601.11	0.0	0.02	0.06	0.11	0.19
Chronic prostatitis	601.12	0.0	0.07	0.18	0.44	0.66
Other disorders of prostate	602.0	0.0	0.06	0.26	0.69	0.8
Hydrocele	603.1	0.0	0.24	0.31	0.54	0.61
Spermatocele	603.2	0.0	0.01	0.01	0.01	0.0
Other disorders of testis	603.0	0.0	0.27	0.23	0.28	0.56
Infertility, male	609.1	0.0	0.04	0.01	0.0	0.0
Redundant prepuce and phimosis/BXO	604.1	0.0	0.7	0.7	0.85	0.79
Disorders of penis	604.0	0.0	0.17	0.21	0.26	0.56
Balanoposthitis	601.4	0.0	0.05	0.07	0.1	0.14
Other inflammatory disorders of male genital organs	601.8	0.0	0.06	0.07	0.1	0.1
Other disorders of male genital organs	608.0	0.0	0.57	0.7	0.92	1.39
Other specified benign mammary dysplasias	610.8	0.0	0.17	0.19	0.16	0.25
Cystic mastopathy	610.1	0.0	0.19	0.26	0.18	0.13
Fibroadenosis of breast	610.2	0.0	0.08	0.08	0.06	0.0
Fibrosclerosis of breast	610.3	0.0	0.07	0.08	0.07	0.04
Inflammatory disease of breast	613.1	0.0	0.22	0.18	0.16	0.33
Hypertrophy of breast (Gynecomastia)	612.2	0.0	0.26	0.23	0.17	0.08
Lump or mass in breast	611.3	0.0	0.41	0.43	0.4	0.5
Other nonmalignant breast conditions	613.0	0.0	0.01	0.0	0.0	0.0
