PheCode	Phenotype	Socio-economic Quintile	Prevalence	Cases	Controls
840.3	Joint/ligament sprain	3	0.05	46.0	99959.0
840.0	Sprains and strains	3	0.1	96.0	99959.0
800.2	Fracture of unspecified part of femur	3	0.03	33.0	99090.0
800.1	Fracture of neck of femur	3	0.06	61.0	99090.0
800.0	Fracture of lower limb	3	0.11	107.0	99090.0
800.4	Fracture of patella	3	0.04	37.0	99090.0
800.3	Fracture of tibia and fibula	3	0.1	99.0	99090.0
801.0	Fracture of ankle and foot	3	0.1	102.0	99090.0
871.4	Open wound of toe(s)	3	0.02	19.0	97850.0
871.3	Open wound of foot except toe(s) alone	3	0.06	55.0	97850.0
801.1	Fracture of foot	3	0.01	6.0	99090.0
960.0	Poisoning by antibiotics	3	1.12	1048.0	92616.0
960.2	Allergy/adverse effect of penicillin	3	4.78	4648.0	92616.0
960.1	Adverse effects of antibacterials (not penicillins)	3	0.02	17.0	92616.0
961.1	Poisoning/allergy of sulfonamides	3	0.24	225.0	92616.0
961.0	Poisoning by other anti-infectives	3	0.13	121.0	92616.0
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	3	0.11	105.0	92616.0
962.0	Poisoning by hormones and synthetic substitutes	3	0.03	28.0	92616.0
963.0	Poisoning by primarily systemic agents	3	0.05	44.0	92616.0
965.0	Poisoning by analgesics, antipyretics, and antirheumatics	3	1.72	1621.0	92616.0
965.3	Salicylates causing adverse effects in therapeutic use	3	0.09	87.0	92616.0
969.0	Poisoning by psychotropic agents	3	0.38	350.0	92616.0
966.0	Poisoning by anticonvulsants and anti-Parkinsonism drugs	3	0.1	95.0	92616.0
971.0	Poisoning by drugs primarily affecting the autonomic nervous system	3	0.03	30.0	92616.0
963.1	Antineoplastic and immunosuppressive drugs causing adverse effects	3	0.01	9.0	92616.0
964.0	Poisoning by agents primarily affecting blood constituents	3	0.0	2.0	92616.0
964.1	Anticoagulants causing adverse effects	3	0.09	80.0	92616.0
972.0	Poisoning by agents primarily affecting the cardiovascular system	3	0.04	40.0	92616.0
973.0	Poisoning by agents primarily affecting the gastrointestinal system	3	0.02	20.0	92616.0
975.0	Poisoning by agents primarily acting on the smooth and skeletal muscles and respiratory system	3	0.01	7.0	92616.0
976.0	Poisoning by agents primarily affecting skin & mucous membrane, ophthalmological, otorhinolaryngological, & dental drugs	3	0.02	15.0	92616.0
974.0	Poisoning by water, mineral, and uric acid metabolism drugs	3	0.03	30.0	92616.0
979.0	Adverse drug events and drug allergies	3	0.09	87.0	92616.0
981.0	Toxic effect of (non-ethyl) alcohol and petroleum and other solvents	3	0.03	32.0	99975.0
987.0	Toxic effect of other gases, fumes, or vapors	3	0.01	8.0	99975.0
983.0	Toxic effect of corrosive aromatics, acids, and caustic alkalis	3	0.0	2.0	99975.0
989.0	Toxic effect of other substances, chiefly nonmedicinal as to source	3	0.01	12.0	99975.0
985.0	Toxic effect of other metals	3	0.01	8.0	99975.0
986.0	Toxic effect of carbon monoxide	3	0.02	17.0	99975.0
988.0	Toxic effect of noxious substances eaten as food	3	0.01	9.0	99975.0
913.0	Toxic effect of venom	3	0.03	29.0	100032.0
946.0	Anaphylactic shock NOS	3	0.15	147.0	98859.0
949.0	Allergies, other	3	0.12	120.0	98859.0
958.0	Certain early complications of trauma or procedure	3	0.1	96.0	99936.0
958.2	Traumatic and surgical subcutaneous emphysema	3	0.02	21.0	99936.0
942.0	Infusion and transfusion reaction	3	0.0	4.0	98859.0
941.0	Adverse reaction to serum or vaccine	3	0.08	75.0	98859.0
850.0	Hemorrhage or hematoma complicating a procedure	3	1.46	1410.0	95342.0
958.1	Postoperative shock	3	0.01	8.0	99936.0
854.0	Complications of cardiac/vascular device, implant, and graft	3	0.78	747.0	95342.0
81.0	Infection/inflammation of internal prosthetic device; implant; and graft	3	0.31	308.0	98658.0
859.0	Complication due to other implant and internal device	3	0.93	896.0	95342.0
860.0	Bone marrow or stem cell transplant	3	0.02	25.0	100036.0
510.2	Lung transplant	3	0.01	13.0	99758.0
851.0	Complications of transplants and reattached limbs	3	1.8	1749.0	95342.0
874.0	Complication of amputation stump	3	0.03	33.0	97850.0
297.2	Suicide or self-inflicted injury	3	0.26	229.0	88951.0
297.0	Suicidal ideation or attempt	3	0.0	3.0	88951.0
585.31	Renal dialysis	3	0.14	139.0	96522.0
71.0	Human immunodeficiency virus [HIV] disease	3	0.01	6.0	98661.0
638.0	Other high-risk pregnancy	3	0.02	24.0	98072.0
559.0	Ileostomy status	3	0.54	433.0	79369.0
197.0	Chemotherapy	3	5.6	5313.0	89592.0
196.0	Radiotherapy	3	0.0	2.0	89592.0
289.3	Personal history of diseases of blood and blood-forming organs	3	0.09	85.0	97914.0
564.9	Personal history of diseases of digestive system	3	5.47	4596.0	79369.0
965.1	Opiates and related narcotics causing adverse effects in therapeutic use	3	0.45	416.0	92616.0
587.0	Kidney replaced by transpant	3	0.1	97.0	96522.0
573.2	Liver replaced by transplant	3	0.03	28.0	97406.0
364.9	Cornea replaced by transplant	3	0.03	26.0	96536.0
426.91	Cardiac pacemaker in situ	3	0.75	691.0	91907.0
395.6	Heart valve replaced	3	0.45	440.0	97934.0
426.9	Cardiac pacemaker/device in situ	3	0.07	61.0	91907.0
250.3	Insulin pump user	3	0.01	11.0	94336.0
509.8	Dependence on respirator [Ventilator] or supplemental oxygen	3	0.1	100.0	96703.0
8.0	Intestinal infection	4	0.13	130.0	98836.0
8.5	Bacterial enteritis	4	0.61	611.0	98836.0
38.1	Gram negative septicemia	4	0.32	310.0	95488.0
8.51	Intestinal e.coli	4	0.01	6.0	98836.0
8.52	Intestinal infection due to C. difficile	4	0.22	221.0	98836.0
8.7	Intestinal infection due to protozoa	4	0.02	18.0	98836.0
8.6	Viral Enteritis	4	0.3	301.0	98836.0
10.0	Tuberculosis	4	0.07	63.0	95488.0
41.0	Bacterial infection NOS	4	1.98	1929.0	95488.0
686.0	Other local infections of skin and subcutaneous tissue	4	0.41	397.0	96746.0
480.1	Bacterial pneumonia	4	0.31	297.0	96606.0
369.0	Infection of the eye	4	0.07	68.0	97415.0
38.2	Gram positive septicemia	4	0.17	161.0	95488.0
711.0	Arthropathy associated with infections	4	0.0	2.0	91504.0
529.1	Glossitis	4	0.09	92.0	98501.0
994.2	Sepsis	4	1.0	998.0	99091.0
130.0	Spirochetal infection	4	0.01	13.0	99920.0
79.0	Viral infection	4	0.73	723.0	98466.0
31.0	Diseases due to other mycobacteria	4	0.01	8.0	95488.0
657.0	Infections specific to the perinatal period	4	0.0	2.0	100087.0
639.0	Complications following abortion or ectopic and molar pregnancies	4	0.01	11.0	97930.0
465.0	Acute upper respiratory infections of multiple or unspecified sites	4	0.38	376.0	99355.0
41.2	Streptococcus infection	4	0.52	496.0	95488.0
320.0	Meningitis	4	0.11	112.0	99790.0
420.0	Carditis	4	0.0	4.0	99103.0
38.0	Septicemia	4	1.09	1048.0	95488.0
133.0	Arthropod-borne diseases	4	0.03	33.0	99920.0
41.1	Staphylococcus infections	4	0.98	941.0	95488.0
90.0	Sexually transmitted infections (not HIV or hepatitis)	4	0.02	17.0	100069.0
90.2	Gonococcal infections	4	0.0	1.0	100069.0
90.3	Venereal diseases due to Chlamydia trachomatis	4	0.0	2.0	100069.0
131.0	Protozoan infection	4	0.0	4.0	99920.0
54.0	Herpes simplex	4	0.06	62.0	98466.0
78.0	Viral warts & HPV	4	0.25	249.0	98466.0
528.0	Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	4	0.56	553.0	98501.0
130.1	Lyme disease	4	0.0	1.0	99920.0
136.0	Other infectious and parasitic diseases	4	0.07	66.0	99920.0
324.0	Other CNS infection and poliomyelitis	4	0.08	80.0	99790.0
324.1	Jakob-Creutzfeldt disease	4	0.01	6.0	99790.0
323.0	Encephalitis	4	0.07	73.0	99790.0
386.2	Peripheral or central vertigo	4	0.13	123.0	98171.0
369.2	Eye infection, viral	4	0.04	37.0	97415.0
79.1	Varicella infection	4	0.02	16.0	98466.0
480.2	Viral pneumonia	4	0.02	21.0	96606.0
53.0	Herpes zoster	4	0.11	109.0	98466.0
53.1	Herpes zoster with nervous system complications	4	0.04	35.0	98466.0
381.1	Otitis media	4	0.28	280.0	99025.0
70.1	Viral hepatitis A	4	0.02	22.0	98466.0
70.2	Viral hepatitis B	4	0.06	56.0	98466.0
70.0	Viral hepatitis	4	0.07	72.0	98466.0
70.3	Viral hepatitis C	4	0.1	100.0	98466.0
71.1	HIV infection, symptomatic	4	0.04	36.0	98466.0
112.0	Candidiasis	4	0.76	762.0	99154.0
480.3	Pneumonia due to fungus (mycoses)	4	0.05	45.0	96606.0
230.0	Kaposi's sarcoma	4	0.0	4.0	100085.0
202.2	Non-Hodgkins lymphoma	4	0.42	421.0	98873.0
195.1	Malignant neoplasm, other	4	4.75	4463.0	89529.0
348.8	Encephalopathy, not elsewhere classified	4	0.04	41.0	95970.0
504.0	Other alveolar and parietoalveolar pneumonopathy	4	0.11	106.0	96393.0
798.0	Malaise and fatigue	4	0.87	868.0	99063.0
260.1	Cachexia	4	0.02	21.0	99108.0
577.1	Acute pancreatitis	4	0.35	348.0	99472.0
79.2	Infectious mononucleosis	4	0.01	10.0	98466.0
110.1	Dermatophytosis	4	0.02	19.0	99154.0
110.11	Dermatophytosis of nail	4	0.02	20.0	99154.0
110.12	Althete's foot	4	0.04	40.0	99154.0
110.13	Dermatophytosis of the body	4	0.01	9.0	99154.0
110.2	Dermatomycoses	4	0.0	1.0	99154.0
112.3	Candidiasis of skin and nails	4	0.01	10.0	99154.0
420.3	Endocarditis	4	0.22	215.0	99103.0
117.2	Coccidioidomycosis	4	0.0	0.0	99154.0
117.1	Histoplasmosis	4	0.0	0.0	99154.0
117.3	Blastomycotic infection	4	0.0	1.0	99154.0
117.0	Mycoses	4	0.04	44.0	99154.0
117.4	Aspergillosis	4	0.05	47.0	99154.0
580.2	Nephrotic syndrome without mention of glomerulonephritis	4	0.19	187.0	96077.0
480.0	Pneumonia	4	1.3	1276.0	96606.0
134.0	Helminthiases	4	0.01	10.0	99920.0
134.1	Intestinal helminthiases	4	0.03	33.0	99920.0
132.1	Pediculosis and phthirus infestation	4	0.0	0.0	99920.0
132.0	Infestation (lice, mites)	4	0.01	9.0	99920.0
41.4	E. coli	4	0.99	953.0	95488.0
145.1	Cancer of lip	4	0.02	17.0	99494.0
145.2	Cancer of tongue	4	0.08	82.0	99494.0
145.4	Cancer of the gums	4	0.01	9.0	99494.0
145.5	Cancer of the mouth floor	4	0.02	17.0	99494.0
145.0	Cancer of mouth	4	0.04	39.0	99494.0
149.0	Cancer of larynx, pharynx, nasal cavities	4	0.02	18.0	99494.0
145.3	Cancer of major salivary glands	4	0.03	31.0	99494.0
149.1	Cancer of oropharynx	4	0.07	68.0	99494.0
149.2	Cancer of nasopharynx	4	0.01	9.0	99494.0
149.3	Cancer of hypopharynx	4	0.02	17.0	99494.0
150.0	Cancer of esophagus	4	0.2	195.0	95462.0
151.0	Cancer of stomach	4	0.19	181.0	95462.0
159.2	Malignant neoplasm of small intestine, including duodenum	4	0.07	63.0	95462.0
153.2	Colon cancer	4	0.91	850.0	92248.0
153.3	Malignant neoplasm of rectum, rectosigmoid junction, and anus	4	0.65	601.0	92248.0
153.0	Colorectal cancer	4	0.01	9.0	92248.0
155.0	Cancer of liver and intrahepatic bile duct	4	0.09	85.0	95462.0
155.1	Malignant neoplasm of liver, primary	4	0.06	60.0	95462.0
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	4	0.06	59.0	95462.0
157.0	Pancreatic cancer	4	0.2	191.0	95462.0
159.0	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	4	1.6	1551.0	95462.0
149.9	Cancer of of nasal cavities	4	0.02	19.0	99494.0
149.4	Cancer of larynx	4	0.07	70.0	99494.0
165.1	Cancer of bronchus; lung	4	0.78	776.0	99189.0
164.0	Cancer of intrathoracic organs	4	0.01	14.0	99189.0
165.0	Cancer within the respiratory system	4	0.34	341.0	99189.0
170.1	Bone cancer	4	0.05	47.0	99965.0
172.11	Melanomas of skin	4	0.69	672.0	96460.0
172.2	Other non-epithelial cancer of skin	4	2.94	2922.0	96460.0
159.4	Malignant neoplasm of retroperitoneum and peritoneum	4	0.05	51.0	95462.0
170.2	Cancer of connective tissue	4	0.08	83.0	99965.0
174.11	Malignant neoplasm of female breast	4	3.52	3450.0	94551.0
184.2	Cancer of other female genital organs, excluding uterus and ovary	4	0.1	93.0	95118.0
184.1	Malignant neoplasm of ovary and other uterine adnexa	4	0.03	27.0	95118.0
180.1	Cervical cancer	4	0.07	64.0	92566.0
182.0	Malignant neoplasm of uterus	4	0.42	387.0	92566.0
184.11	Malignant neoplasm of ovary	4	0.28	269.0	95118.0
187.1	Malignant neoplasm of unspecified male genital organ	4	0.02	20.0	98325.0
185.0	Cancer of prostate	4	1.65	1600.0	95128.0
187.2	Malignant neoplasm of testis	4	0.05	53.0	98325.0
189.11	Malignant neoplasm of kidney, except pelvis	4	0.26	260.0	98984.0
189.12	Malignant neoplasm of renal pelvis	4	0.01	9.0	98984.0
189.4	Malignant neoplasm of other urinary organs	4	0.04	38.0	98984.0
189.21	Malignant neoplasm of bladder	4	0.58	576.0	98984.0
190.0	Cancer of eye	4	0.04	39.0	99570.0
191.1	Cancer of brain and nervous system	4	0.01	13.0	99570.0
191.11	Cancer of brain	4	0.15	154.0	99570.0
193.0	Thyroid cancer	4	0.11	110.0	99605.0
194.0	Cancer of other endocrine glands	4	0.03	33.0	99605.0
198.1	Secondary malignancy of lymph nodes	4	1.8	1641.0	89529.0
198.0	Secondary malignant neoplasm	4	0.37	332.0	89529.0
198.2	Secondary malignancy of respiratory organs	4	0.77	693.0	89529.0
198.3	Secondary malignant neoplasm of digestive systems	4	0.52	464.0	89529.0
198.4	Secondary malignant neoplasm of liver	4	0.93	841.0	89529.0
198.7	Secondary malignant neoplasm of skin	4	0.05	47.0	89529.0
198.5	Secondary malignancy of brain/spine	4	0.27	244.0	89529.0
198.6	Secondary malignancy of bone	4	0.77	693.0	89529.0
201.0	Hodgkin's disease	4	0.07	71.0	98873.0
202.21	Nodular lymphoma	4	0.09	91.0	98873.0
202.23	Lymphosarcoma	4	0.0	1.0	98873.0
202.24	Large cell lymphoma	4	0.17	164.0	98873.0
204.4	Multiple myeloma	4	0.15	150.0	98873.0
270.35	Macroglobulinemia	4	0.02	18.0	99846.0
200.0	Myeloproliferative disease	4	0.21	208.0	98873.0
204.0	Leukemia	4	0.14	136.0	98873.0
204.1	Lymphoid leukemia	4	0.02	18.0	98873.0
204.11	Lymphoid leukemia, acute	4	0.02	20.0	98873.0
204.12	Lymphoid leukemia, chronic	4	0.16	156.0	98873.0
204.2	Myeloid leukemia	4	0.01	12.0	98873.0
204.21	Myeloid leukemia, acute	4	0.08	84.0	98873.0
204.22	Myeloid leukemia, chronic	4	0.04	41.0	98873.0
204.3	Monocytic leukemia	4	0.01	13.0	98873.0
202.0	Cancer of other lymphoid, histiocytic tissue	4	0.33	329.0	98873.0
277.0	Other disorders of metabolism	4	0.3	300.0	99606.0
172.3	Carcinoma in situ of skin	4	0.2	192.0	96460.0
174.1	Breast cancer [female]	4	0.62	588.0	94551.0
195.0	Cancer, suspected or other	4	0.25	228.0	89529.0
187.0	Cancer of other male genital organs	4	0.04	37.0	98325.0
180.3	Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]	4	0.63	587.0	92566.0
189.2	Cancer of bladder	4	0.19	191.0	98984.0
189.0	Cancer of urinary organs (incl. kidney and bladder)	4	0.77	773.0	98984.0
210.0	Benign neoplasm of lip, oral cavity, and pharynx	4	0.27	273.0	99494.0
208.0	Benign neoplasm of colon	4	6.15	6104.0	93228.0
211.0	Benign neoplasm of other parts of digestive system	4	1.74	1703.0	95983.0
229.0	Benign neoplasm of unspecified sites	4	0.58	584.0	99492.0
212.0	Benign neoplasm of respiratory and intrathoracic organs	4	0.1	96.0	99993.0
213.0	Benign neoplasm of bone and articular cartilage	4	0.09	83.0	90096.0
214.0	Lipoma	4	0.44	433.0	98034.0
214.1	Lipoma of skin and subcutaneous tissue	4	1.38	1369.0	98034.0
228.0	Hemangioma and lymphangioma, any site	4	0.43	429.0	99660.0
215.0	Other benign neoplasm of connective and other soft tissue	4	0.3	291.0	98034.0
199.0	Neoplasm of uncertain behavior	4	0.34	309.0	89529.0
216.0	Benign neoplasm of skin	4	2.07	2069.0	97869.0
610.4	Benign neoplasm of breast	4	0.41	408.0	98233.0
218.1	Uterine leiomyoma	4	3.01	2972.0	95608.0
218.2	Other benign neoplasm of uterus	4	0.11	110.0	95608.0
221.0	Benign neoplasm of other female genital organs	4	0.07	61.0	92293.0
222.0	Benign neoplasm of male genital organs	4	0.04	41.0	98325.0
223.0	Benign neoplasm of kidney and other urinary organs	4	0.07	59.0	90096.0
224.0	Benign neoplasm of eye	4	0.02	18.0	99570.0
224.1	Benign neoplasm of eye, uveal	4	0.03	28.0	99570.0
225.1	Benign neoplasm of brain, cranial nerves, meninges	4	0.24	235.0	99570.0
225.2	Benign neoplasm of spinal cord, meninges	4	0.01	14.0	99570.0
225.0	Benign neoplasm of brain and other parts of nervous system	4	0.0	0.0	99570.0
226.0	Benign neoplasm of thyroid glands	4	0.08	77.0	99605.0
227.1	Benign neoplasm of adrenal gland	4	0.06	64.0	99605.0
227.2	Benign neoplasm of parathyroid gland	4	0.11	113.0	99605.0
227.3	Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	4	0.1	102.0	99605.0
227.0	Benign neoplasm of other endocrine glands and related structures	4	0.0	4.0	99605.0
229.1	Benign neoplasm of lymph nodes	4	0.01	13.0	99492.0
158.0	Neoplasm of unspecified nature of digestive system	4	0.33	317.0	95462.0
184.0	Cancer of other female genital organs	4	0.05	47.0	95118.0
187.8	Neoplasm of uncertain behavior of male genital organs	4	0.03	30.0	98325.0
191.0	Manlignant and unknown neoplasms of brain and nervous system	4	0.06	63.0	99570.0
270.32	Paraproteinemia	4	0.08	78.0	99846.0
173.0	Neoplasm of uncertain behavior of skin	4	0.05	45.0	96460.0
174.3	Neoplasm of uncertain behavior of breast	4	0.04	34.0	94551.0
280.1	Iron deficiency anemias, unspecified or not due to blood loss	4	2.76	2660.0	93722.0
280.2	Iron deficiency anemia secondary to blood loss (chronic)	4	0.17	157.0	93722.0
281.12	Other vitamin B12 deficiency anemia	4	0.07	70.0	93722.0
281.11	Pernicious anemia	4	0.24	221.0	93722.0
281.13	Folate-deficiency anemia	4	0.07	69.0	93722.0
281.0	Other deficiency anemia	4	0.0	3.0	93722.0
281.1	Megaloblastic anemia	4	0.0	4.0	93722.0
281.9	Deficiency anemias	4	0.02	21.0	93722.0
282.9	Other hereditary hemolytic anemias	4	0.03	27.0	93722.0
282.8	Other hemoglobinopathies	4	0.11	100.0	93722.0
282.5	Sickle cell anemia	4	0.11	100.0	93722.0
289.0	Other diseases of blood and blood-forming organs	4	0.16	152.0	97873.0
283.0	Acquired hemolytic anemias	4	0.01	7.0	93722.0
283.1	Autoimmune hemolytic anemias	4	0.03	31.0	93722.0
283.2	Non-autoimmune hemolytic anemias	4	0.01	5.0	93722.0
283.21	Hemolytic-uremic syndrome	4	0.0	3.0	93722.0
285.8	Hemoglobinuria	4	0.0	1.0	93722.0
284.0	Aplastic anemia	4	0.14	127.0	93722.0
284.2	Constitutional aplastic anemia	4	0.0	3.0	93722.0
285.1	Acute posthemorrhagic anemia	4	0.08	72.0	93722.0
285.22	Anemia in neoplastic disease	4	0.14	132.0	93722.0
285.2	Anemia of chronic disease	4	0.12	111.0	93722.0
285.0	Other anemias	4	3.92	3821.0	93722.0
285.3	Sideroblastic anemia	4	0.01	6.0	93722.0
286.6	Defibrination syndrome	4	0.01	10.0	99238.0
286.13	Congenital factor VIII disorder	4	0.02	15.0	99238.0
286.1	Congenital coagulation defects	4	0.01	11.0	99238.0
286.7	Other and unspecified coagulation defects	4	0.12	117.0	99238.0
286.11	Von willebrand's disease	4	0.03	30.0	99238.0
286.12	Congenital deficiency of other clotting factors (including factor VII)	4	0.08	81.0	99238.0
286.5	Hemorrhagic disorder due to intrinsic circulating anticoagulants	4	0.02	23.0	99238.0
286.4	Acquired coagulation factor deficiency	4	0.0	3.0	99238.0
287.0	Purpura and other hemorrhagic conditions	4	0.04	35.0	99238.0
287.2	Allergic purpura	4	0.01	12.0	99238.0
287.4	Qualitative platelet defects	4	0.0	3.0	99238.0
287.31	Primary thrombocytopenia	4	0.12	117.0	99238.0
287.32	Secondary thrombocytopenia	4	0.03	28.0	99238.0
287.3	Thrombocytopenia	4	0.42	421.0	99238.0
288.11	Neutropenia	4	0.97	958.0	97873.0
288.0	Diseases of white blood cells	4	0.17	168.0	97873.0
288.3	Eosinophilia	4	0.02	18.0	97873.0
289.5	Diseases of spleen	4	0.14	142.0	97873.0
289.9	Abnormality of red blood cells	4	0.02	20.0	97873.0
279.1	Immunity deficiency	4	0.03	25.0	99945.0
279.11	Deficiency of humoral immunity	4	0.04	42.0	99945.0
277.2	Other disorders of purine and pyrimidine metabolism	4	0.0	3.0	99606.0
279.8	Other specified disorders involving the immune mechanism	4	0.01	7.0	99945.0
697.0	Sarcoidosis	4	0.19	188.0	98809.0
270.31	Polyclonal hypergammaglobulinemia	4	0.01	5.0	99846.0
279.0	Disorders involving the immune mechanism	4	0.01	10.0	99945.0
244.5	Congenital hypothyroidism	4	0.01	7.0	94695.0
240.0	Simple and unspecified goiter	4	0.2	191.0	94695.0
241.2	Nontoxic multinodular goiter	4	0.23	217.0	94695.0
244.2	Acquired hypothyroidism	4	0.04	40.0	94695.0
244.1	Secondary hypothyroidism	4	0.41	388.0	94695.0
246.0	Other disorders of thyroid	4	0.13	119.0	94695.0
348.7	Coma	4	0.11	109.0	95970.0
244.4	Hypothyroidism NOS	4	4.45	4412.0	94695.0
241.1	Nontoxic uninodular goiter	4	0.16	150.0	94695.0
241.0	Nontoxic nodular goiter	4	0.0	2.0	94695.0
242.0	Thyrotoxicosis with or without goiter	4	0.47	444.0	94695.0
242.1	Graves' disease	4	0.15	141.0	94695.0
242.2	Toxic multinodular goiter	4	0.04	38.0	94695.0
253.1	Pituitary hyperfunction	4	0.02	24.0	98947.0
245.0	Thyroiditis	4	0.01	5.0	94695.0
245.1	Thyroiditis, acute and subacute	4	0.01	7.0	94695.0
245.2	Chronic thyroiditis	4	0.01	6.0	94695.0
245.21	Chronic lymphocytic thyroiditis	4	0.07	67.0	94695.0
250.1	Type 1 diabetes	4	0.85	797.0	93370.0
250.11	Type 1 diabetes with ketoacidosis	4	0.09	82.0	93370.0
250.12	Type 1 diabetes with renal manifestations	4	0.04	33.0	93370.0
250.23	Type 2 diabetes with ophthalmic manifestations	4	0.5	471.0	93370.0
250.7	Diabetic retinopathy	4	0.49	476.0	96326.0
250.13	Type 1 diabetes with ophthalmic manifestations	4	0.15	143.0	93370.0
250.14	Type 1 diabetes with neurological manifestations	4	0.06	55.0	93370.0
250.24	Type 2 diabetes with neurological manifestations	4	0.21	199.0	93370.0
443.7	Peripheral angiopathy in diseases classified elsewhere	4	0.15	150.0	97538.0
250.2	Type 2 diabetes	4	6.31	6285.0	93370.0
250.21	Type 2 diabetes with ketoacidosis	4	0.05	45.0	93370.0
250.22	Type 2 diabetes with renal manifestations	4	0.1	89.0	93370.0
260.2	severe protein-calorie malnutrition	4	0.0	1.0	99108.0
249.0	Secondary diabetes mellitus	4	0.0	1.0	93370.0
251.1	Hypoglycemia	4	0.37	340.0	92654.0
251.0	Other disorders of pancreatic internal secretion	4	0.0	4.0	98947.0
251.8	Abnormality of secretion of glucagon or gastrin	4	0.0	2.0	98947.0
252.2	Hypoparathyroidism	4	0.05	53.0	98947.0
275.5	Disorders of calcium/phosphorus metabolism	4	0.4	395.0	99299.0
252.1	Hyperparathyroidism	4	0.26	253.0	98947.0
252.0	Disorders of parathyroid gland	4	0.01	9.0	98947.0
253.11	Acromegaly and gigantism	4	0.03	30.0	98947.0
253.7	Other disorders of neurohypophysis	4	0.05	54.0	98947.0
253.2	Pituitary hypofunction	4	0.08	81.0	98947.0
258.0	Iatrogenic endocrine disorders	4	0.04	35.0	98947.0
253.3	Diabetes insipidus	4	0.03	33.0	98947.0
253.0	Disorders of the pituitary gland and its hypothalamic control	4	0.03	32.0	98947.0
255.11	Cushing's syndrome	4	0.03	33.0	98947.0
255.3	Adrenogenital disorders	4	0.01	5.0	98947.0
255.12	Hyperaldosteronism	4	0.02	24.0	98947.0
255.1	Adrenal hyperfunction	4	0.0	0.0	98947.0
255.21	Glucocorticoid deficiency	4	0.11	113.0	98947.0
255.13	Medulloadrenal hyperfunction	4	0.0	1.0	98947.0
255.0	Disorders of adrenal glands	4	0.05	46.0	98947.0
256.0	Ovarian dysfunction	4	0.01	14.0	98947.0
256.4	Polycystic ovaries	4	0.06	59.0	98947.0
627.5	Premature menopause and other ovarian failure	4	0.01	11.0	92155.0
257.0	Testicular dysfunction	4	0.0	4.0	98947.0
257.1	Testicular hypofunction	4	0.04	40.0	98947.0
259.3	Delay in sexual development and puberty NEC	4	0.0	0.0	98947.0
259.0	Other endocrine disorders	4	0.04	39.0	98947.0
254.0	Diseases of thymus gland	4	0.0	2.0	98947.0
259.2	Carcinoid syndrome	4	0.01	10.0	98947.0
260.22	Nutritional marasmus	4	0.0	0.0	99108.0
263.0	Other nutritional deficiency	4	0.01	7.0	99108.0
260.0	Protein-calorie malnutrition	4	0.06	60.0	99108.0
261.1	Vitamin A deficiency	4	0.0	1.0	99108.0
261.2	Vitamin B-complex deficiencies	4	0.3	302.0	99108.0
261.3	Vitamin C deficiencies	4	0.0	1.0	99108.0
261.4	Vitamin D deficiency	4	0.29	286.0	99108.0
261.41	Rickets or osteomalacia	4	0.01	11.0	99108.0
261.0	Vitamin deficiency	4	0.01	8.0	99108.0
262.0	Mineral deficiency NEC	4	0.09	86.0	99108.0
278.3	Localized adiposity	4	0.03	25.0	95965.0
278.1	Obesity	4	4.09	4092.0	95965.0
513.3	Hypoventilation	4	0.02	22.0	99941.0
278.0	Overweight, obesity and other hyperalimentation	4	0.0	0.0	95965.0
270.1	Disturbances of amino-acid transport	4	0.01	5.0	99846.0
270.12	Phenylketonuria [PKU]	4	0.0	1.0	99846.0
277.5	Other disorders of lipoid metabolism	4	0.06	58.0	99606.0
270.11	Disturbances of sulphur-bearing amino-acid metabolism	4	0.0	1.0	99846.0
270.21	Disorders of urea cycle metabolism	4	0.0	2.0	99846.0
270.2	Disorders of amino-acid metabolism	4	0.0	1.0	99846.0
271.3	Intestinal disaccharidase deficiencies and disaccharide malabsorption	4	0.05	53.0	100030.0
271.9	Other disorders of carbohydrate transport and metabolism	4	0.01	6.0	100030.0
331.0	Other cerebral degenerations	4	0.08	81.0	95970.0
277.51	Lipoprotein disorders	4	0.02	18.0	99606.0
272.11	Hypercholesterolemia	4	10.26	10195.0	89134.0
272.12	Hyperglyceridemia	4	0.03	24.0	89134.0
272.13	Mixed hyperlipidemia	4	0.06	55.0	89134.0
272.14	Hyperchylomicronemia	4	0.0	2.0	89134.0
272.1	Hyperlipidemia	4	1.73	1566.0	89134.0
272.9	Unspecified disorder of lipoid metabolism	4	0.09	77.0	89134.0
790.6	Other abnormal blood chemistry	4	1.98	1976.0	98055.0
277.1	Disorders of porphyrin metabolism	4	0.01	9.0	99606.0
277.4	Disorders of bilirubin excretion	4	0.11	108.0	99606.0
275.0	Disorders of mineral metabolism	4	0.0	4.0	99299.0
275.2	Disorders of copper metabolism	4	0.0	1.0	99299.0
275.1	Disorders of iron metabolism	4	0.21	204.0	99299.0
275.53	Disorders of phosphorus metabolism	4	0.08	77.0	99299.0
275.3	Disorders of magnesium metabolism	4	0.19	186.0	99299.0
