Phenotype	PheCode	Asian (all)	Black (all)	Chinese (all)	Mixed (all)	White (all)	Other
Stricture of artery	447.1	0.13	0.11	0.0	0.21	0.26	0.21
Arteritis NOS	446.9	0.11	0.04	0.0	0.1	0.08	0.13
Disease of capillaries	448.0	0.01	0.01	0.06	0.03	0.04	0.0
Nevus, non-neoplastic	217.1	0.06	0.11	0.0	0.11	0.17	0.11
Phlebitis and thrombophlebitis	451.0	0.15	0.19	0.0	0.08	0.11	0.12
Phlebitis and thrombophlebitis of lower extremities	451.2	0.52	1.07	0.29	0.87	1.13	0.82
Other venous embolism and thrombosis	452.0	0.08	0.12	0.07	0.19	0.19	0.17
Varicose veins of lower extremity	454.1	2.15	1.45	1.06	2.25	2.95	2.0
Varicose veins of lower extremity, symptomtic	454.11	0.26	0.19	0.07	0.04	0.23	0.33
Hemorrhoids	455.0	7.45	6.61	9.63	7.54	6.56	7.28
Esophageal bleeding (varices/hemorrhage)	530.2	0.61	0.53	0.34	0.49	0.58	0.62
Varicose veins	454.0	0.1	0.18	0.07	0.08	0.15	0.17
Postphlebitic syndrome	452.8	0.0	0.0	0.0	0.0	0.0	0.0
Other disorders of circulatory system	459.0	0.04	0.04	0.0	0.0	0.04	0.07
Chronic venous insufficiency [CVI]	456.0	0.12	0.01	0.07	0.04	0.08	0.16
Lymphadenitis	289.4	1.24	1.32	0.71	0.73	0.78	1.12
Noninfectious disorders of lymphatic channels	450.0	0.16	0.22	0.19	0.21	0.24	0.26
Hypotension NOS	458.9	1.34	0.87	0.85	0.83	1.29	0.95
Orthostatic hypotension	458.1	0.56	0.42	0.2	0.51	0.52	0.49
Iatrogenic hypotension	458.2	0.11	0.05	0.07	0.0	0.08	0.03
Heart transplant/surgery	429.1	0.03	0.01	0.0	0.0	0.02	0.02
Acute sinusitis	464.0	0.06	0.04	0.13	0.07	0.05	0.05
Acute pharyngitis	465.2	0.35	0.34	0.26	0.31	0.25	0.3
Acute tonsillitis	474.1	0.23	0.39	0.07	0.44	0.15	0.49
Acute laryngitis and tracheitis	465.4	0.01	0.04	0.0	0.0	0.04	0.05
Acute bronchitis and bronchiolitis	483.0	0.09	0.01	0.0	0.18	0.07	0.1
Influenza	481.0	0.24	0.14	0.19	0.07	0.13	0.24
Pneumococcal pneumonia	480.11	1.89	1.67	0.77	1.43	2.03	2.03
Pseudomonal pneumonia	480.12	0.02	0.03	0.0	0.0	0.03	0.03
Bronchopneumonia and lung abscess	480.5	0.05	0.1	0.06	0.25	0.13	0.1
Pulmonary congestion and hypostasis	503.0	0.49	0.08	0.06	0.18	0.15	0.34
Other diseases of respiratory system, NEC	519.8	3.23	2.47	1.15	2.66	2.74	2.74
Allergic rhinitis	476.0	0.49	0.74	1.19	0.54	0.38	0.71
Chronic pharyngitis and nasopharyngitis	472.0	0.3	0.3	0.2	0.33	0.26	0.31
Chronic sinusitis	475.0	0.79	0.55	0.53	0.69	0.71	0.54
Nasal polyps	471.0	0.75	0.21	0.2	0.83	0.88	0.61
Other upper respiratory disease	479.0	1.43	1.0	1.32	1.19	1.1	1.42
Septal Deviations/Turbinate Hypertrophy	470.0	1.67	0.66	0.93	1.62	1.24	1.59
Chronic tonsillitis and adenoiditis	474.2	0.48	0.47	0.47	0.54	0.27	0.38
Acute and chronic tonsillitis	474.0	0.06	0.13	0.2	0.15	0.12	0.21
Chronic laryngitis	473.1	0.04	0.01	0.07	0.0	0.02	0.0
Paralysis/spasm of vocal cords or larynx	473.3	0.1	0.13	0.0	0.04	0.08	0.1
Diseases of the larynx and vocal cords	473.0	0.38	0.42	0.33	0.51	0.44	0.35
Bronchitis	497.0	0.07	0.14	0.0	0.27	0.21	0.16
Chronic bronchitis	496.2	0.09	0.06	0.0	0.08	0.1	0.05
Emphysema	496.1	0.17	0.22	0.2	0.46	0.63	0.45
Obstructive chronic bronchitis	496.21	0.5	0.19	0.07	0.92	1.0	0.84
Chronic airway obstruction	496.0	1.56	0.98	0.74	2.12	2.65	2.18
Asthma	495.0	9.78	8.7	5.07	9.65	7.51	8.36
Asthma with exacerbation	495.2	0.1	0.21	0.0	0.35	0.08	0.21
Bronchiectasis	496.3	0.53	0.41	0.54	0.42	0.7	0.63
Pneumoconiosis	500.2	0.02	0.0	0.0	0.04	0.08	0.02
Extrinsic allergic alveolitis	500.1	0.02	0.01	0.0	0.0	0.03	0.05
Lung disease due to external agents	500.0	0.03	0.04	0.0	0.04	0.03	0.06
Pneumonitis due to inhalation of food or vomitus	501.0	0.2	0.24	0.13	0.25	0.23	0.19
Respiratory insufficiency	509.2	0.63	0.45	0.06	0.53	0.55	0.67
Other pulmonary inflamation or edema	505.0	0.0	0.01	0.0	0.0	0.02	0.02
Postinflammatory pulmonary fibrosis	502.0	0.43	0.26	0.32	0.11	0.31	0.27
Empyema and pneumothorax	506.0	0.24	0.4	0.06	0.21	0.35	0.42
Pleurisy; pleural effusion	507.0	1.77	1.71	0.58	1.64	2.11	1.87
Pulmonary insufficiency or respiratory failure following trauma and surgery	509.3	0.0	0.0	0.0	0.0	0.0	0.0
Respiratory complications	519.2	0.13	0.09	0.13	0.11	0.08	0.05
Respiratory failure	509.1	0.76	0.54	0.06	0.56	0.64	0.77
Pulmonary collapse; interstitial and compensatory emphysema	508.0	0.53	0.59	0.19	0.53	0.75	0.59
Other diseases of lung	510.0	0.26	0.22	0.19	0.21	0.3	0.2
Disorders of diaphragm	513.8	0.08	0.07	0.0	0.03	0.05	0.08
Other diseases of respiratory system, not elsewhere classified	519.0	0.04	0.04	0.0	0.07	0.03	0.05
Rheumatoid arthritis	714.1	1.1	0.75	0.45	0.62	0.8	0.74
Disorders of tooth development	520.0	0.01	0.0	0.0	0.0	0.01	0.03
Hereditary disturbances in tooth structure	520.1	0.01	0.01	0.07	0.0	0.01	0.02
Disturbances in tooth eruption	520.2	0.6	0.51	0.45	0.71	0.52	0.5
Dental caries	521.1	1.02	3.45	0.32	2.14	0.91	1.45
Dental abrasion, erosion and attrition	521.2	0.0	0.0	0.0	0.0	0.0	0.0
Tooth complications likely association with other diseases	521.4	0.01	0.0	0.0	0.0	0.01	0.02
Gingival and periodontal diseases	523.0	0.26	0.33	0.2	0.07	0.13	0.14
Diseases of hard tissues of teeth	521.0	0.0	0.01	0.0	0.07	0.01	0.02
Diseases of pulp and periapical tissues	522.0	0.15	0.19	0.0	0.14	0.16	0.03
Pulpitis and necrosis of tooth pulp	522.1	0.02	0.05	0.0	0.04	0.01	0.05
Acute periodontitis	523.31	0.02	0.09	0.13	0.07	0.04	0.08
Chronic periodontitis	523.32	0.5	0.65	0.45	0.5	0.31	0.31
Periapical abscess	522.5	0.35	0.7	0.2	0.36	0.34	0.43
Gingivitis	523.1	0.04	0.05	0.0	0.0	0.03	0.02
Periodontitis (acute or chronic)	523.3	0.0	0.0	0.0	0.0	0.0	0.0
Anomalies of jaw size/symmetry	526.3	0.04	0.01	0.0	0.0	0.02	0.02
Anomalies of tooth position/malocclusion	524.3	0.09	0.17	0.13	0.04	0.08	0.05
Dentofacial anomalies, including malocclusion	524.0	0.01	0.0	0.13	0.04	0.01	0.0
Temporomandibular joint disorder, unspecified	526.41	0.07	0.09	0.0	0.07	0.07	0.05
Other diseases of the teeth and supporting structures	525.0	0.73	1.59	0.39	1.03	0.76	0.83
Atrophy of edentulous alveolar ridge	525.2	0.01	0.0	0.0	0.0	0.02	0.02
Cysts of the jaws	526.1	0.08	0.08	0.07	0.04	0.09	0.1
Sebaceous cyst	706.2	1.9	1.8	1.09	1.86	2.19	2.29
Cysts of oral soft tissues	528.4	0.01	0.0	0.0	0.0	0.01	0.0
Jaw disease NOS	526.9	0.12	0.08	0.0	0.11	0.07	0.08
Diseases of the jaws	526.0	0.0	0.0	0.0	0.0	0.0	0.0
Inflammatory conditions of jaw	526.5	0.03	0.07	0.0	0.04	0.03	0.06
Diseases of the salivary glands	527.0	0.03	0.01	0.13	0.0	0.03	0.03
Hypertrophy of salivary gland	527.1	0.04	0.03	0.0	0.0	0.02	0.0
Sialoadenitis	527.2	0.03	0.11	0.0	0.03	0.1	0.11
Cellulitis and abscess of oral soft tissues	528.3	0.04	0.09	0.0	0.07	0.05	0.02
Sialolithiasis	528.7	0.04	0.11	0.06	0.0	0.08	0.09
Cyst of the salivary gland	528.41	0.01	0.05	0.0	0.0	0.03	0.02
Disturbance of salivary secretion	527.7	0.0	0.03	0.0	0.03	0.02	0.06
Other specified diseases of the salivary glands	527.8	0.0	0.04	0.13	0.0	0.04	0.06
Oral aphthae	528.12	0.04	0.01	0.0	0.0	0.02	0.02
Stomatitis and mucositis (ulcerative)	528.11	0.17	0.09	0.13	0.14	0.12	0.11
Cellulitis and abscess of face/neck	681.2	0.08	0.14	0.0	0.18	0.15	0.18
Diseases of lips	528.5	0.11	0.1	0.06	0.31	0.2	0.13
Leukoplakia of oral mucosa	528.6	0.11	0.04	0.0	0.07	0.09	0.06
Diseases and other conditions of the tongue	529.0	0.24	0.16	0.13	0.31	0.27	0.09
Glossodynia	529.6	0.02	0.0	0.0	0.07	0.01	0.0
Esophagitis, GERD and related diseases	530.1	2.9	1.71	1.36	1.98	2.87	2.25
GERD	530.11	5.62	4.7	3.2	4.55	5.06	5.07
Reflux esophagitis	530.14	3.62	2.09	1.69	1.98	3.28	2.45
Disorders of esophageal motility	530.5	0.25	0.15	0.14	0.19	0.21	0.23
Ulcer of esophagus	530.12	1.05	0.51	0.14	1.28	1.54	1.05
Stricture and stenosis of esophagus	530.3	0.66	0.38	0.34	0.57	0.64	0.57
Diseases of esophagus	530.0	0.27	0.22	0.14	0.11	0.19	0.23
Diverticulum of esophagus, acquired	530.6	0.09	0.04	0.14	0.0	0.06	0.05
Gastroesophageal laceration-hemorrhage syndrome	530.7	0.06	0.06	0.0	0.11	0.1	0.12
Gastric ulcer	531.2	1.49	1.27	1.47	1.35	1.21	1.54
Hemorrhage from gastrointestinal ulcer	531.1	0.22	0.2	0.19	0.28	0.18	0.24
Duodenal ulcer	531.3	1.01	0.62	0.65	0.73	0.8	1.03
Peptic ulcer, site unspecified	531.4	0.1	0.11	0.06	0.14	0.12	0.13
Gastrojejunal ulcer	531.5	0.0	0.01	0.0	0.0	0.01	0.05
Gastritis and duodenitis	535.0	7.22	5.6	5.13	4.93	5.24	6.24
Acute gastritis	535.1	0.37	0.33	0.21	0.37	0.37	0.62
Other specified gastritis	535.8	3.81	3.07	2.31	2.37	2.67	3.19
Atrophic gastritis	535.2	0.24	0.26	0.28	0.07	0.12	0.12
Duodenitis	535.6	2.64	1.77	1.17	2.4	2.3	2.4
Abdominal pain	785.0	13.53	15.06	10.52	12.55	11.0	13.56
Other disorders of stomach and duodenum	537.0	1.19	1.22	0.96	0.74	1.11	1.11
Disorders of function of stomach	536.0	0.0	0.0	0.0	0.0	0.0	0.02
Acute appendicitis	540.11	0.33	0.4	0.45	0.59	0.58	0.37
Appendicitis	540.1	0.13	0.16	0.06	0.24	0.15	0.23
Appendiceal conditions	540.0	0.07	0.03	0.06	0.17	0.07	0.06
Inguinal hernia	550.1	3.63	2.26	1.26	2.68	4.7	3.56
Femoral hernia	550.3	0.03	0.1	0.13	0.19	0.21	0.11
Umbilical hernia	550.4	1.05	1.68	0.2	1.06	1.21	1.51
Ventral hernia	550.5	0.73	1.17	0.27	1.24	1.13	0.94
Abdominal hernia	550.0	0.73	1.23	0.27	1.24	1.17	0.98
Diaphragmatic hernia	550.2	7.42	5.3	3.43	6.4	8.37	7.23
Regional enteritis	555.1	0.59	0.37	0.14	0.17	0.61	0.53
Ulcerative colitis	555.2	1.3	0.47	0.29	0.75	1.03	0.89
Ulcerative colitis (chronic)	555.21	0.25	0.1	0.0	0.21	0.2	0.23
Effects radiation NOS	990.0	0.72	0.96	0.77	0.87	1.17	0.96
Toxic gastroenteritis and colitis	569.1	0.08	0.04	0.07	0.07	0.07	0.07
Diarrhea	561.1	0.17	0.04	0.0	0.08	0.2	0.13
Noninfectious gastroenteritis	558.0	5.1	3.45	2.45	4.57	4.9	4.56
Vascular insufficiency of intestine	441.0	0.04	0.03	0.06	0.07	0.1	0.06
Acute vascular insufficiency of intestine	441.1	0.04	0.09	0.13	0.14	0.08	0.03
Chronic vascular insufficiency of intestine	441.2	0.01	0.0	0.0	0.0	0.01	0.0
Other disorders of intestine	569.0	1.09	1.27	0.33	0.8	1.14	0.84
Paralytic ileus	560.1	0.19	0.21	0.07	0.25	0.22	0.29
Other intestinal obstruction	560.4	0.81	1.08	0.64	0.96	1.25	1.04
Impaction of intestine	560.2	0.12	0.03	0.07	0.08	0.11	0.1
Peritoneal or intestinal adhesions	560.3	0.16	0.37	0.14	0.29	0.33	0.32
Diverticulosis	562.1	4.5	4.83	0.86	6.29	9.67	6.44
Irritable Bowel Syndrome	564.1	1.39	1.48	0.57	1.89	2.06	1.72
Functional digestive disorders	564.0	0.21	0.16	0.0	0.21	0.31	0.23
Constipation	563.0	4.12	4.81	2.04	4.03	4.04	4.26
Anal and rectal conditions	565.0	3.75	2.63	1.63	3.07	2.36	2.67
Anal and rectal polyp	565.1	1.66	1.54	1.5	1.91	2.32	1.68
Hemorrhage of rectum and anus	578.8	4.06	3.95	3.38	3.91	3.57	4.33
Ulceration of the lower GI tract	556.0	0.19	0.15	0.29	0.13	0.16	0.06
Peritonitis and retroperitoneal infections	567.0	0.24	0.21	0.13	0.15	0.28	0.23
Ulceration of intestine	556.1	0.44	0.25	0.29	0.13	0.27	0.23
Other disorders of peritoneum	568.0	0.07	0.11	0.07	0.15	0.07	0.1
Peritoneal adhesions (postoperative) (postinfection)	568.1	0.95	0.92	0.4	1.24	1.05	1.1
Alcoholic liver damage	317.11	0.25	0.12	0.2	0.31	0.26	0.36
Liver abscess and sequelae of chronic liver disease	571.8	0.24	0.17	0.13	0.18	0.18	0.16
Hepatitis NOS	70.9	0.21	0.2	0.2	0.07	0.14	0.3
Other disorders of liver	573.0	0.47	0.69	0.52	0.42	0.51	0.81
Chronic hepatitis	70.4	0.06	0.19	0.2	0.1	0.08	0.16
Cirrhosis of liver without mention of alcohol	571.51	0.25	0.29	0.45	0.28	0.21	0.38
Other chronic nonalcoholic liver disease	571.5	0.83	0.5	0.58	0.53	0.58	0.72
Primary biliary cirrhosis	571.6	0.04	0.01	0.0	0.11	0.08	0.1
Chronic passive congestion of liver	573.1	0.0	0.01	0.0	0.0	0.01	0.0
Acute and subacute necrosis of liver	573.4	0.01	0.0	0.0	0.0	0.0	0.0
Portal hypertension	571.81	0.18	0.14	0.13	0.11	0.18	0.27
Cholelithiasis	574.1	1.89	1.26	1.55	1.96	2.52	2.22
Cholelithiasis with acute cholecystitis	574.11	0.36	0.26	0.46	0.29	0.47	0.52
Cholelithiasis with other cholecystitis	574.12	1.09	0.64	0.65	1.13	1.58	1.11
Calculus of bile duct	574.2	0.45	0.2	0.26	0.67	0.78	0.57
Cholecystitis without cholelithiasis	574.3	0.75	0.45	0.65	0.78	0.79	0.66
Other disorders of gallbladder	575.7	0.34	0.18	0.33	0.14	0.43	0.32
Cholesterolosis of gallbladder	575.6	0.13	0.03	0.0	0.18	0.13	0.06
Other disorders of biliary tract	575.8	0.23	0.14	0.46	0.11	0.34	0.32
Cholangitis	575.1	0.15	0.08	0.26	0.11	0.17	0.18
Obstruction of bile duct	575.2	0.3	0.17	0.07	0.14	0.26	0.24
Chronic pancreatitis	577.2	0.15	0.16	0.06	0.03	0.15	0.11
Cyst and pseudocyst of pancreas	577.3	0.09	0.05	0.06	0.1	0.12	0.09
Diseases of pancreas	577.0	0.11	0.2	0.06	0.24	0.18	0.17
Intestinal malabsorption (non-celiac)	557.0	0.05	0.13	0.0	0.13	0.11	0.19
Celiac disease	557.1	0.32	0.1	0.0	0.25	0.65	0.31
Gastrointestinal complications	569.2	0.12	0.25	0.07	0.22	0.15	0.13
Bariatric surgery	539.0	0.0	0.01	0.0	0.0	0.01	0.02
Complication of colostomy or enterostomy	853.0	0.1	0.08	0.13	0.18	0.16	0.11
Hematemesis	578.1	0.6	0.54	0.88	0.59	0.58	0.71
Blood in stool	578.2	0.92	0.78	0.75	0.92	0.8	0.99
Hemorrhage of gastrointestinal tract	578.9	2.21	2.23	2.08	2.31	1.87	2.31
Other specified erythematous conditions	695.8	0.02	0.04	0.06	0.07	0.05	0.09
Impetigo	686.2	0.01	0.03	0.06	0.04	0.01	0.05
Superficial cellulitis and abscess	681.0	0.13	0.06	0.0	0.11	0.15	0.1
Cellulitis and abscess of fingers/toes	681.1	0.27	0.26	0.13	0.14	0.17	0.13
Cellulitis and abscess of leg, except foot	681.5	1.3	1.03	0.51	1.22	1.67	1.24
Cellulitis and abscess of foot, toe	681.6	1.3	1.03	0.51	1.22	1.67	1.24
Cellulitis and abscess of arm/hand	681.3	1.3	1.03	0.51	1.22	1.67	1.24
Cellulitis and abscess of trunk	681.7	0.15	0.05	0.0	0.11	0.18	0.13
Pilonidal cyst	686.3	0.21	0.12	0.13	0.11	0.13	0.19
Pyoderma	686.5	0.01	0.01	0.0	0.0	0.01	0.06
Keratoderma, acquired	701.1	0.0	0.04	0.0	0.0	0.02	0.02
Degenerative skin conditions and other dermatoses	702.0	0.0	0.0	0.0	0.0	0.0	0.0
Other hypertrophic and atrophic conditions of skin	701.0	0.44	0.37	0.32	0.31	0.46	0.38
Dermatitis herpetiformis	695.21	0.05	0.0	0.0	0.0	0.02	0.03
Toxic erythema	695.1	0.01	0.03	0.19	0.03	0.03	0.02
Bullous dermatoses	695.2	0.0	0.03	0.0	0.0	0.0	0.0
Atopic/contact dermatitis due to other or unspecified	939.0	0.74	0.59	0.96	0.73	0.67	0.66
Seborrheic dermatitis	690.1	0.02	0.01	0.0	0.03	0.02	0.0
Diaper or napkin rash	949.1	0.0	0.0	0.0	0.0	0.0	0.02
Allergic reaction to food	930.0	0.1	0.1	0.0	0.17	0.05	0.06
Contact dermatitis and other eczema due to plants [except food]	931.0	0.0	0.0	0.0	0.0	0.0	0.0
Unspecified erythematous condition	695.9	0.18	0.05	0.13	0.07	0.15	0.13
Rash and other nonspecific skin eruption	687.1	0.68	0.32	0.45	0.77	0.66	0.79
Prurigo and Lichen	695.7	0.37	0.14	0.19	0.17	0.22	0.19
Pruritus and related conditions	698.0	0.35	0.39	0.06	0.31	0.22	0.28
Dyshidrosis	705.1	0.02	0.0	0.0	0.0	0.0	0.0
Erythematosquamous dermatosis	690.0	0.02	0.03	0.06	0.0	0.01	0.02
Pityriasis	696.3	0.0	0.0	0.0	0.03	0.01	0.02
Parapsoriasis	696.2	0.01	0.0	0.06	0.0	0.0	0.0
Disorder of skin and subcutaneous tissue NOS	689.0	1.03	1.06	0.57	1.03	1.66	1.45
Urticaria	947.0	0.28	0.34	0.06	0.31	0.16	0.19
Erythema nodosum	695.81	0.06	0.03	0.0	0.03	0.02	0.05
Acute dermatitis due to solar radiation	938.1	0.0	0.0	0.0	0.0	0.01	0.0
Dermatitis due to solar radiation	938.0	0.02	0.0	0.0	0.03	0.03	0.03
Chronic dermatitis due to solar radiation	938.2	0.0	0.01	0.0	0.0	0.08	0.06
Other dyschromia	694.2	0.2	0.16	0.45	0.03	0.23	0.17
Diseases of nail, NOS	703.0	0.1	0.09	0.0	0.03	0.1	0.09
Ingrowing nail	703.1	0.24	0.1	0.13	0.21	0.22	0.17
Osteitis deformans and osteopathies associated with other disorders classified elsewhere	731.0	0.0	0.0	0.0	0.0	0.0	0.0
Alopecia Areata	704.11	0.01	0.04	0.0	0.0	0.0	0.0
Alopecia	704.1	0.04	0.18	0.0	0.1	0.04	0.13
Telogen effluvium	704.12	0.01	0.0	0.0	0.0	0.0	0.0
Other specified diseases of hair and hair follicles	704.8	0.01	0.03	0.0	0.03	0.02	0.0
Diseases of hair and hair follicles	704.0	1.33	1.2	0.38	1.31	1.33	1.38
Hirsutism	704.2	0.03	0.03	0.0	0.03	0.01	0.0
Acne	706.1	0.04	0.04	0.0	0.0	0.02	0.02
Rosacea	695.3	0.06	0.0	0.0	0.03	0.1	0.02
Hidradenitis	705.3	0.03	0.11	0.0	0.04	0.05	0.05
Disorders of sweat glands	705.0	0.0	0.0	0.0	0.0	0.01	0.0
Vitiligo	694.1	0.05	0.04	0.06	0.14	0.02	0.03
Acquired acanthosis nigricans	701.6	0.04	0.01	0.06	0.03	0.03	0.02
Corns and callosities	700.0	0.06	0.03	0.0	0.17	0.09	0.09
Other specified diseases of sebaceous glands	706.8	0.01	0.01	0.0	0.0	0.0	0.0
Decubitus ulcer	707.1	0.06	0.03	0.0	0.0	0.08	0.05
Scar conditions and fibrosis of skin	701.2	0.41	0.4	0.39	0.73	0.64	0.38
Keloid scar	701.4	0.22	0.42	0.19	0.21	0.06	0.16
Abnormal granulation tissue	701.5	0.11	0.15	0.13	0.24	0.13	0.11
Degenerative skin disorders	702.4	0.0	0.0	0.0	0.0	0.0	0.0
Pyogenic granuloma	686.4	0.18	0.17	0.06	0.04	0.1	0.13
Cutaneous lupus erythematosus	695.41	0.11	0.24	0.0	0.07	0.04	0.05
Circumscribed scleroderma	701.3	0.02	0.0	0.0	0.03	0.02	0.0
Vascular disorders of skin	694.3	0.05	0.03	0.0	0.03	0.04	0.11
Chronic ulcer of skin	707.0	0.41	0.5	0.19	0.31	0.4	0.53
Pyogenic arthritis	711.1	0.04	0.03	0.0	0.04	0.02	0.0
Arthropathy associated with other disorders classified elsewhere	713.0	0.02	0.05	0.0	0.0	0.02	0.0
Arthropathy NOS	716.9	8.35	7.5	2.88	6.43	7.72	6.96
Reiter's disease	711.2	0.0	0.01	0.0	0.0	0.01	0.0
Hypersensitivity angiitis	446.3	0.0	0.0	0.06	0.0	0.01	0.0
Rheumatoid arthritis and other inflammatory polyarthropathies	714.0	0.2	0.19	0.13	0.07	0.12	0.13
Juvenile rheumatoid arthritis	714.2	0.01	0.0	0.0	0.0	0.0	0.02
Ankylosing spondylitis	715.2	0.04	0.01	0.0	0.1	0.12	0.2
Gout	274.1	0.77	0.49	0.45	0.69	0.64	0.45
Gouty arthropathy	274.11	0.0	0.03	0.0	0.0	0.01	0.0
Disorders resulting from impaired renal function	588.0	0.05	0.04	0.0	0.0	0.03	0.08
Crystal arthropathies	274.2	0.0	0.0	0.0	0.0	0.0	0.0
Chondrocalcinosis	274.21	0.08	0.1	0.0	0.03	0.08	0.09
Symptoms and disorders of the joints	741.0	0.14	0.11	0.13	0.1	0.14	0.13
Villonodular synovitis	741.6	0.0	0.0	0.0	0.0	0.0	0.0
Palindromic rheumatism	716.8	0.0	0.0	0.0	0.0	0.01	0.0
Traumatic arthropathy	836.0	0.05	0.05	0.0	0.07	0.07	0.13
Other arthropathies	716.0	0.02	0.0	0.0	0.0	0.02	0.02
Unspecified monoarthritis	716.2	5.69	4.89	1.88	3.56	4.88	4.59
Osteoarthrosis NOS	740.9	1.95	1.74	0.52	2.02	1.76	1.76
Arthropathy associated with neurological disorders	713.5	0.02	0.01	0.0	0.04	0.02	0.03
Osteoarthrosis, generalized	740.2	0.07	0.12	0.2	0.11	0.16	0.11
Osteoarthritis; localized	740.1	0.68	0.9	0.65	1.71	3.01	1.37
Osteoarthrosis, localized, primary	740.11	1.46	1.59	0.97	1.64	2.48	1.88
Osteoarthrosis, localized, secondary	740.12	0.06	0.08	0.13	0.07	0.08	0.05
Acquired deformities of finger	736.2	0.06	0.04	0.13	0.0	0.07	0.03
Hallux valgus (Bunion)	735.3	1.12	1.65	1.22	2.32	1.82	1.77
Hallux rigidus	735.23	0.21	0.18	0.0	0.28	0.43	0.45
Acquired toe deformities	735.2	0.27	0.25	0.26	0.35	0.62	0.49
Hammer toe (acquired)	735.21	0.18	0.18	0.13	0.42	0.56	0.45
Other acquired deformities of limbs	736.0	0.06	0.03	0.0	0.04	0.08	0.05
Contracture of joint	739.0	0.02	0.01	0.0	0.0	0.02	0.02
Flat foot	735.1	0.01	0.13	0.06	0.04	0.05	0.05
Acquired foot deformities	735.0	0.03	0.03	0.0	0.0	0.04	0.06
Internal derangement of knee	835.0	1.24	0.89	0.58	1.32	1.04	1.14
Pathological, developmental or recurrent dislocation	742.2	0.04	0.01	0.0	0.0	0.02	0.02
Other derangement of joint	742.9	0.17	0.2	0.06	0.24	0.19	0.14
Loose body in joint	742.1	0.01	0.04	0.06	0.0	0.01	0.03
Articular cartilage disorder	742.8	0.0	0.04	0.0	0.0	0.03	0.03
Laxity of ligament or hypermobility syndrome	728.2	0.08	0.04	0.07	0.07	0.04	0.05
Ankylosis of joint	741.1	0.01	0.0	0.0	0.0	0.0	0.0
Derangement of joint, non-traumatic	742.0	0.0	0.0	0.0	0.0	0.01	0.0
Hemarthrosis	741.5	0.01	0.01	0.0	0.0	0.0	0.0
Joint effusions	741.4	0.07	0.11	0.0	0.03	0.07	0.08
Pain in joint	745.0	0.53	0.44	0.13	0.45	0.44	0.45
Stiffness of joint	741.2	0.05	0.0	0.0	0.03	0.03	0.02
Enthesopathy	726.1	2.39	1.93	1.44	2.21	2.0	2.22
Polyarteritis nodosa and allied conditions	446.0	0.0	0.0	0.0	0.0	0.0	0.0
Polyarteritis nodosa	446.6	0.01	0.03	0.0	0.03	0.01	0.02
Wegener's granulomatosis	446.4	0.01	0.01	0.0	0.0	0.05	0.05
Acute febrile mucocutaneous lymph node syndrome (Kawasaki disease)	446.2	0.01	0.0	0.0	0.0	0.0	0.0
Thrombotic microangiopathy	446.8	0.02	0.01	0.0	0.0	0.0	0.0
Takayasu's disease	446.7	0.0	0.0	0.0	0.0	0.0	0.0
Giant cell arteritis	446.5	0.11	0.08	0.06	0.0	0.13	0.11
Systemic lupus erythematosus	695.42	0.25	0.54	0.13	0.21	0.1	0.22
Behcet's syndrome	711.3	0.02	0.01	0.0	0.0	0.01	0.0
Polymyalgia Rheumatica	717.0	0.16	0.2	0.06	0.28	0.4	0.22
Symptoms of the muscles	772.0	0.06	0.19	0.0	0.03	0.06	0.11
Panniculitis	729.3	0.02	0.0	0.0	0.04	0.01	0.02
Kyphosis (acquired)	737.1	0.0	0.0	0.0	0.0	0.02	0.02
Other allied disorders of spine	721.8	0.04	0.01	0.0	0.04	0.04	0.02
Other unspecified back disorders	724.9	0.06	0.24	0.0	0.07	0.14	0.14
Lordosis (acquired)	737.2	0.01	0.0	0.0	0.0	0.0	0.0
Kyphoscoliosis and scoliosis	737.3	0.11	0.13	0.06	0.14	0.15	0.14
Osteochondropathies	732.0	0.05	0.06	0.06	0.14	0.06	0.03
Juvenile osteochondrosis	732.1	0.05	0.05	0.0	0.04	0.05	0.08
Acquired spondylolisthesis	738.4	0.08	0.1	0.0	0.04	0.08	0.06
Torticollis	723.1	0.02	0.03	0.0	0.04	0.02	0.03
Curvature of spine	737.0	0.02	0.0	0.0	0.0	0.01	0.0
Other inflammatory spondylopathies	715.0	0.09	0.16	0.06	0.17	0.11	0.09
Spinal enthesopathy	715.3	0.0	0.0	0.0	0.0	0.0	0.0
Sacroiliitis NEC	715.1	0.04	0.04	0.0	0.07	0.02	0.05
Unspecified osteomyelitis	710.19	0.03	0.05	0.0	0.0	0.03	0.05
Osteomyelitis, periostitis, and other infections involving bone	710.0	0.0	0.0	0.0	0.0	0.0	0.0
Spondylosis and allied disorders	721.0	0.33	0.36	0.19	0.21	0.33	0.24
Spondylosis with myelopathy	721.2	0.03	0.03	0.0	0.0	0.01	0.03
Spondylosis without myelopathy	721.1	0.33	0.19	0.06	0.32	0.3	0.25
Spinal stenosis	720.0	0.24	0.31	0.19	0.21	0.23	0.21
Stress fracture	743.4	0.0	0.0	0.0	0.0	0.0	0.0
Pathologic fracture of vertebrae	743.21	0.02	0.0	0.0	0.0	0.01	0.02
Other symptoms referable to back	724.8	0.0	0.0	0.0	0.0	0.0	0.02
