Phenotype	PheCode	England	Scotland	Wales
Certain early complications of trauma or procedure	958.0	0.11	0.11	0.14
Adverse effects of sedatives or other central nervous system depressants and anesthetics	967.0	0.16	0.07	0.24
Mastodynia	613.5	0.02	0.03	0.02
Colon cancer	153.2	0.92	1.2	0.84
Eye infection, viral	369.2	0.04	0.04	0.05
Peritoneal or intestinal adhesions	560.3	0.33	0.27	0.39
Fracture of unspecified bones	809.0	0.02	0.07	0.01
Hemiplegia	342.0	0.52	0.22	0.55
Manlignant and unknown neoplasms of brain and nervous system	191.0	0.06	0.04	0.05
Transient mental disorders due to conditions classified elsewhere	291.1	0.04	0.0	0.04
Benign neoplasm of breast	610.4	0.38	0.53	0.26
Other specified gastritis	535.8	2.85	1.67	1.51
Other paralytic syndromes	344.0	0.21	0.2	0.14
Appendiceal conditions	540.0	0.07	0.06	0.07
Other disorders of gallbladder	575.7	0.43	0.31	0.42
Hypercholesterolemia	272.11	10.53	2.79	10.7
Diabetic retinopathy	250.7	0.5	0.13	0.45
Wheezing	512.1	0.09	0.07	0.04
Lipoma	214.0	0.46	0.49	0.37
Other specified congenital anomalies of kidney	751.22	0.11	0.06	0.07
Fracture of unspecified part of femur	800.2	0.03	0.01	0.0
Melanomas of skin	172.11	0.78	0.59	0.75
Myasthenia gravis	358.1	0.05	0.06	0.04
Other acute and subacute forms of ischemic heart disease	411.9	0.45	0.36	0.29
Spina bifida	752.11	0.06	0.04	0.06
Raynaud's syndrome	443.1	0.39	0.14	0.3
Migrain with aura	340.1	0.07	0.05	0.07
Neoplasm of uncertain behavior of skin	173.0	0.05	0.02	0.02
Duodenitis	535.6	2.34	1.98	2.08
Diseases of the larynx and vocal cords	473.0	0.43	0.47	0.53
Supraventricular premature beats	427.61	0.04	0.03	0.04
Poisoning by water, mineral, and uric acid metabolism drugs	974.0	0.04	0.01	0.02
Degeneration of intervertebral disc	722.6	0.93	0.17	0.9
Chronic ulcer of skin	707.0	0.41	0.28	0.4
Rupture of synovium	727.5	0.13	0.04	0.07
Chronic cystitis	592.12	0.28	0.14	0.17
Congenital anomalies of mouth/tongue	750.13	0.05	0.07	0.08
Aseptic necrosis of bone	733.4	0.02	0.02	0.0
Other disorders of arteries and arterioles	447.0	0.16	0.24	0.16
Hematemesis	578.1	0.58	0.61	0.54
Dental caries	521.1	1.05	0.27	0.41
Adjustment reaction	304.0	0.1	0.02	0.07
Inflammatory and toxic neuropathy	357.0	0.47	0.3	0.36
Other cerebral degenerations	331.0	0.09	0.07	0.06
Atrophic gastritis	535.2	0.13	0.06	0.06
Synoviopathy	726.2	0.1	0.1	0.1
Abnormal results of other function studies (bladder, pancreas, placenta, spleen, etc)	794.0	0.03	0.01	0.02
Regional enteritis	555.1	0.6	0.59	0.63
Torticollis	723.1	0.02	0.0	0.01
Chronic glomerulonephritis, NOS	580.14	0.23	0.07	0.16
Impaction of intestine	560.2	0.11	0.12	0.04
Hyperventilation	513.4	0.07	0.09	0.14
Rheumatic disease of the heart valves	394.0	0.35	0.21	0.29
Mood disorders	296.0	0.03	0.0	0.02
Secondary malignancy of respiratory organs	198.2	0.8	0.93	0.8
Acute sinusitis	464.0	0.06	0.03	0.06
Sickle cell anemia	282.5	0.11	0.0	0.03
Dizziness and giddiness (Light-headedness and vertigo)	386.9	1.49	1.07	1.15
Acute appendicitis	540.11	0.57	0.58	0.56
Poisoning by anticonvulsants and anti-Parkinsonism drugs	966.0	0.15	0.11	0.18
Abnormal findings examination of lungs	514.0	0.79	1.13	0.69
Other dyspnea	512.9	0.26	0.45	0.19
Paroxysmal supraventricular tachycardia	427.11	0.74	0.67	0.75
Muscular dystrophies	359.1	0.04	0.03	0.05
Organic or persistent insomnia	327.41	0.05	0.03	0.03
Otitis externa	380.1	0.14	0.09	0.2
Chorioretinal inflammations, scars, and other disorders of choroid	363.0	0.03	0.01	0.02
Vascular dementia	290.16	0.1	0.09	0.06
Varicose veins	454.0	0.15	0.22	0.11
Tuberculosis	10.0	0.07	0.08	0.04
Other derangement of joint	742.9	0.21	0.05	0.09
Other peripheral nerve disorders	351.0	3.46	2.51	3.56
Congenital anomalies of face and neck	749.0	0.06	0.13	0.07
Complications of cardiac/vascular device, implant, and graft	854.0	0.77	1.01	0.77
Retention of urine	599.2	2.34	1.51	1.82
Hypothermia/Chills	780.0	0.06	0.03	0.06
Traumatic arthropathy	836.0	0.07	0.05	0.05
Chronic sinusitis	475.0	0.72	0.57	0.6
Sebaceous cyst	706.2	2.19	2.02	2.14
Malignant neoplasm of liver, primary	155.1	0.05	0.08	0.05
Viral pneumonia	480.2	0.02	0.04	0.02
Oral aphthae	528.12	0.02	0.01	0.01
Visual field defects	368.4	0.11	0.07	0.05
Aneurysm of iliac artery	442.2	0.03	0.03	0.01
Carbuncle and furuncle	686.1	0.71	0.55	0.57
Poisoning by drugs primarily affecting the autonomic nervous system	971.0	0.05	0.07	0.04
Altered mental status	292.4	0.79	0.56	0.65
E. coli	41.4	0.94	0.8	1.44
Viral hepatitis	70.0	0.08	0.1	0.09
Calculus of bile duct	574.2	0.75	0.92	0.63
Fibrosclerosis of breast	610.3	0.08	0.04	0.06
Pulmonary collapse; interstitial and compensatory emphysema	508.0	0.75	0.67	0.45
Spinal stenosis	720.0	0.25	0.07	0.02
Cholesterolosis of gallbladder	575.6	0.13	0.15	0.06
Ptosis of eyelid	374.3	0.56	0.43	0.51
Chemotherapy	197.0	5.86	4.75	4.9
Nodular lymphoma	202.21	0.11	0.12	0.1
Disorders of lacrimal system	375.0	0.52	0.28	0.44
Nephritis and nephropathy with pathological lesion	580.32	0.07	0.09	0.08
Diseases of white blood cells	288.0	0.18	0.29	0.1
Gastritis and duodenitis	535.0	5.49	3.66	3.89
Chronic pericarditis	420.22	0.02	0.01	0.02
Protein-calorie malnutrition	260.0	0.06	0.05	0.02
Emphysema	496.1	0.63	0.38	0.56
Cerebral artery occlusion, with cerebral infarction	433.21	0.54	0.8	0.47
Other hemoglobinopathies	282.8	0.08	0.02	0.05
Nonspecific abnormal findings on radiological and other examination of skull and head	346.1	0.05	0.04	0.06
Uterine leiomyoma	218.1	2.87	2.03	2.8
Respiratory failure	509.1	0.66	0.38	0.63
Viral hepatitis C	70.3	0.1	0.07	0.09
Unstable angina (intermediate coronary syndrome)	411.1	1.49	1.26	1.55
Pericarditis	420.2	0.35	0.26	0.31
Hearing loss	389.0	1.14	0.23	0.65
Poisoning by analgesics, antipyretics, and antirheumatics	965.0	1.89	0.79	3.82
Dysplasia of female genital organs	620.0	0.02	0.02	0.03
Learning disorder	315.1	0.05	0.02	0.07
Congenital anomalies of breast	612.3	0.02	0.03	0.01
Myeloid leukemia, acute	204.21	0.09	0.07	0.08
Acute pharyngitis	465.2	0.26	0.19	0.29
Respiratory complications	519.2	0.09	0.09	0.07
Optic neuritis/neuropathy	377.3	0.05	0.03	0.08
Acute laryngitis and tracheitis	465.4	0.04	0.05	0.04
Fracture of radius and ulna	803.2	0.22	0.04	0.05
Alcoholism	317.1	2.82	0.74	1.72
Anomalies of tooth position/malocclusion	524.3	0.08	0.05	0.06
Reflux esophagitis	530.14	3.31	2.48	3.03
Disorders secondary to childbirth, surgery, trauma	617.0	0.08	0.07	0.1
Cystitis	592.1	0.57	0.72	0.71
Fibroadenosis of breast	610.2	0.07	0.09	0.08
Chronic laryngitis	473.1	0.02	0.03	0.01
Other disorders of ear	388.0	0.03	0.02	0.04
Bone cancer	170.1	0.04	0.03	0.06
Urethritis and urethral syndrome	592.2	0.03	0.03	0.04
Decubitus ulcer	707.1	0.08	0.04	0.16
Primary biliary cirrhosis	571.6	0.08	0.06	0.06
Erythema nodosum	695.81	0.02	0.03	0.02
Aortic valve disease	394.3	0.44	0.36	0.31
Other disorders of urethra and urinary tract	597.0	0.23	0.15	0.19
Cancer of major salivary glands	145.3	0.03	0.05	0.03
Other disorders of testis	603.0	0.26	0.36	0.22
Other benign neoplasm of connective and other soft tissue	215.0	0.3	0.27	0.28
Vascular disorders of kidney/hypertrophy	586.3	0.03	0.02	0.0
Fracture of humerus	803.1	0.07	0.01	0.01
Asthma with exacerbation	495.2	0.09	0.07	0.08
Uterine/Uterovaginal prolapse	618.2	1.43	1.28	1.65
Schizophrenia	295.1	0.23	0.09	0.18
Malignant neoplasm of rectum, rectosigmoid junction, and anus	153.3	0.63	0.65	0.69
Other disorders of neurohypophysis	253.7	0.05	0.06	0.05
Cervical radiculitis	765.0	0.15	0.08	0.15
Empyema and pneumothorax	506.0	0.35	0.42	0.3
Encephalitis	323.0	0.08	0.09	0.07
Problems associated with amniotic cavity and membranes	653.0	0.44	0.0	0.5
Paroxysmal tachycardia, unspecified	427.1	0.04	0.02	0.05
Excessive vomiting in pregnancy	643.0	0.03	0.0	0.02
Aneurysm and dissection of heart	411.41	0.24	0.2	0.11
Althete's foot	110.12	0.04	0.04	0.03
Other hypertensive complications	401.3	0.06	0.03	0.02
Poisoning by antibiotics	960.0	1.24	0.16	1.68
Functional disorders of bladder	596.5	0.4	0.95	0.16
Other symptoms/disorders or the urinary system	599.0	1.89	2.37	1.94
Respiratory arrest	509.5	0.04	0.03	0.05
Hepatomegaly	573.3	0.1	0.05	0.11
Abnormality of red blood cells	289.9	0.03	0.01	0.03
Subarachnoid hemorrhage	430.1	0.22	0.27	0.22
Pallor and flushing	782.6	0.06	0.04	0.05
Enthesopathy	726.1	2.13	0.9	1.39
Retinal detachment with retinal defect	361.1	0.44	0.06	0.29
Cyst of the salivary gland	528.41	0.03	0.03	0.04
Periapical abscess	522.5	0.38	0.1	0.19
Functional digestive disorders	564.0	0.31	0.2	0.26
Mechanical complication of unspecified genitourinary device, implant, and graft	857.0	0.41	0.32	0.3
Amyloidosis	270.33	0.04	0.03	0.01
Retinal vascular changes and abnomalities	362.4	0.29	0.11	0.24
Hypertensive heart disease	401.21	0.07	0.08	0.1
Benign neoplasm of lip, oral cavity, and pharynx	210.0	0.26	0.23	0.19
Disorders resulting from impaired renal function	588.0	0.03	0.02	0.01
Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	528.0	0.61	0.15	0.39
Congenital anomalies of great vessels	747.13	0.57	0.61	0.68
Acute cystitis	592.11	0.02	0.29	0.03
Painful respiration	512.2	0.07	0.05	0.08
Malignant neoplasm of female breast	174.11	3.41	3.41	3.27
Hallux valgus (Bunion)	735.3	1.84	1.6	1.44
Aphakia and other disorders of lens	379.3	0.71	0.05	0.37
Spondylosis and allied disorders	721.0	0.37	0.01	0.11
Conductive hearing loss	389.2	0.12	0.07	0.11
Coma	348.7	0.11	0.09	0.07
