Phenotype	PheCode	1	2	3	4	5
Rheumatoid arthritis	714.1	0.66	0.71	0.78	0.84	1.02
Second degree AV block	426.23	0.17	0.15	0.17	0.15	0.16
Vaginal enterocele, congenital or acquired	618.6	0.19	0.19	0.18	0.2	0.15
Gastric ulcer	531.2	0.95	1.04	1.13	1.28	1.7
Perforation of tympanic membrane	384.4	0.21	0.22	0.25	0.27	0.39
Disturbance of skin sensation	687.4	0.68	0.68	0.79	0.88	1.13
Disorders of the orbit	376.0	0.02	0.02	0.02	0.02	0.03
Cyst of kidney, acquired	586.2	0.36	0.4	0.41	0.47	0.57
Chronic venous insufficiency [CVI]	456.0	0.06	0.05	0.06	0.08	0.14
Acute gastritis	535.1	0.3	0.34	0.36	0.34	0.53
Asthma	495.0	6.66	6.69	7.08	7.92	9.66
Dementias	290.1	0.28	0.28	0.3	0.33	0.43
Abnormal results of function study of kidney	589.0	0.04	0.04	0.04	0.03	0.06
Urinary obstruction	599.1	0.04	0.04	0.05	0.04	0.08
Benign neoplasm of thyroid glands	226.0	0.08	0.06	0.08	0.08	0.08
Hemoptysis	516.1	0.42	0.47	0.49	0.62	0.99
Osteoarthrosis, localized, secondary	740.12	0.08	0.07	0.08	0.08	0.09
Acquired acanthosis nigricans	701.6	0.03	0.03	0.03	0.03	0.02
Otalgia	382.0	0.05	0.06	0.07	0.1	0.12
Other hereditary hemolytic anemias	282.9	0.03	0.03	0.03	0.03	0.04
Poisoning by other anti-infectives	961.0	0.12	0.12	0.13	0.14	0.2
Other disorders of soft tissues	729.0	0.27	0.34	0.33	0.32	0.41
Other persistent mental disorders due to conditions classified elsewhere	290.3	0.01	0.01	0.02	0.02	0.07
Vitamin D deficiency	261.4	0.16	0.17	0.22	0.29	0.54
Edema	782.3	0.43	0.49	0.56	0.61	0.85
Other disorders of prostate	602.0	0.39	0.41	0.41	0.38	0.37
Open wound or laceration of eye or eyelid	870.1	0.1	0.11	0.13	0.16	0.26
Laxity of ligament or hypermobility syndrome	728.2	0.02	0.03	0.03	0.04	0.06
Paraproteinemia	270.32	0.08	0.08	0.06	0.08	0.08
Complication due to other implant and internal device	859.0	0.81	0.86	0.93	0.98	1.16
Palpitations	427.9	1.07	1.12	1.18	1.25	1.41
Neoplasm of uncertain behavior of breast	174.3	0.01	0.03	0.04	0.03	0.04
Non-Hodgkins lymphoma	202.2	0.45	0.39	0.42	0.42	0.43
Elevated sedimentation rate	790.1	0.02	0.02	0.02	0.02	0.03
Congenital anomalies of skin	691.0	0.03	0.01	0.02	0.02	0.03
Leukemia	204.0	0.15	0.14	0.11	0.14	0.13
Disease of tricuspid valve	394.7	0.38	0.36	0.38	0.4	0.55
Trigeminal nerve disorders [CN5]	352.1	0.13	0.13	0.13	0.16	0.16
Allergic reaction to food	930.0	0.04	0.05	0.05	0.06	0.07
Primary/intrinsic cardiomyopathies	425.1	0.3	0.29	0.31	0.34	0.38
Postinflammatory pulmonary fibrosis	502.0	0.26	0.25	0.29	0.31	0.44
Cysts of the jaws	526.1	0.09	0.09	0.09	0.08	0.1
Thrombocytopenia	287.3	0.36	0.36	0.37	0.42	0.49
Open wound of ear	870.2	0.04	0.04	0.04	0.05	0.08
Keratoconus	364.41	0.02	0.03	0.03	0.02	0.03
Hypopotassemia	276.14	0.45	0.48	0.48	0.6	0.75
Diseases of esophagus	530.0	0.13	0.19	0.19	0.23	0.25
Bacterial enteritis	8.5	0.42	0.5	0.58	0.62	0.84
Poisoning by agents primarily affecting the gastrointestinal system	973.0	0.01	0.02	0.02	0.03	0.08
Other complications of the puerperium NEC	674.0	0.07	0.07	0.06	0.07	0.08
Cardiac arrest	427.42	0.29	0.32	0.32	0.38	0.44
Ankylosing spondylitis	715.2	0.1	0.1	0.1	0.12	0.16
HIV infection, symptomatic	71.1	0.0	0.01	0.02	0.04	0.15
Eustachian tube disorders	381.2	0.06	0.04	0.04	0.06	0.07
Aphasia/speech disturbance	292.1	0.38	0.4	0.48	0.51	0.66
Wegener's granulomatosis	446.4	0.05	0.06	0.06	0.05	0.04
Immunity deficiency	279.1	0.02	0.03	0.03	0.03	0.03
Poisoning by agents primarily affecting the cardiovascular system	972.0	0.04	0.03	0.04	0.07	0.16
Peripheral enthesopathies and allied syndromes	726.0	2.33	2.41	2.48	2.43	2.79
Occlusion of cerebral arteries, with cerebral infarction	433.11	0.02	0.03	0.05	0.04	0.07
Pituitary hyperfunction	253.1	0.03	0.02	0.02	0.02	0.04
Other open wound of head and face	870.3	0.61	0.63	0.77	0.91	1.38
Hypertension complicating pregnancy, childbirth, and the puerperium	642.0	0.28	0.25	0.24	0.26	0.31
Paralytic ileus	560.1	0.2	0.22	0.19	0.24	0.23
Other conditions of brain	348.0	0.03	0.04	0.04	0.05	0.07
Vitiligo	694.1	0.01	0.02	0.02	0.02	0.03
Chronic interstitial cystitis	592.13	0.06	0.08	0.07	0.09	0.09
Acidosis	276.41	0.25	0.29	0.36	0.44	0.65
Intestinal infection due to C. difficile	8.52	0.17	0.17	0.17	0.22	0.29
Alcoholic liver damage	317.11	0.1	0.12	0.17	0.29	0.66
Disorders of external ear	380.0	0.19	0.17	0.18	0.18	0.16
Congenital anomalies of female genital organs	751.11	0.12	0.1	0.11	0.12	0.13
Obstructive chronic bronchitis	496.21	0.41	0.55	0.68	0.99	2.25
Hydrocele	603.1	0.35	0.37	0.38	0.4	0.46
Hemorrhage from gastrointestinal ulcer	531.1	0.15	0.16	0.17	0.2	0.24
Neurofibromatosis	199.4	0.01	0.02	0.04	0.02	0.05
Pancreatic cancer	157.0	0.18	0.2	0.21	0.2	0.22
Cellulitis and abscess of oral soft tissues	528.3	0.03	0.04	0.04	0.06	0.08
Congenital anomalies of muscle, tendon, fascia, and connective tissue	756.3	0.02	0.02	0.02	0.02	0.03
Infectious and parasitic complications affecting pregnancy	647.0	0.03	0.02	0.03	0.02	0.03
Disease of capillaries	448.0	0.03	0.03	0.04	0.03	0.05
Redundant prepuce and phimosis/BXO	604.1	0.64	0.63	0.75	0.82	0.99
Subjective visual disturbances	368.9	0.16	0.17	0.17	0.21	0.29
Pain in joint	745.0	0.36	0.42	0.47	0.44	0.5
Hypotension NOS	458.9	1.05	1.2	1.16	1.31	1.67
Impaired fasting glucose	250.41	0.07	0.08	0.1	0.09	0.16
Peripheral angiopathy in diseases classified elsewhere	443.7	0.05	0.08	0.09	0.15	0.25
Gangrene	791.0	0.12	0.14	0.17	0.21	0.31
Stricture and stenosis of esophagus	530.3	0.55	0.58	0.63	0.62	0.8
Neoplasm of unspecified nature of digestive system	158.0	0.33	0.29	0.35	0.33	0.34
Nontoxic uninodular goiter	241.1	0.14	0.15	0.14	0.16	0.18
Pilonidal cyst	686.3	0.1	0.09	0.12	0.16	0.18
Synovitis and tenosynovitis	727.1	0.63	0.7	0.78	0.69	0.74
Arthropathy NOS	716.9	6.78	7.45	7.7	7.81	8.76
Other retinal disorders	362.0	0.3	0.32	0.29	0.29	0.32
Hemorrhagic disorder due to intrinsic circulating anticoagulants	286.5	0.02	0.02	0.01	0.02	0.04
Other headache syndromes	339.0	1.86	1.88	2.1	2.32	3.13
Dysphagia	532.0	1.88	1.99	2.12	2.22	2.81
Hemorrhage of gastrointestinal tract	578.9	1.61	1.73	1.83	1.86	2.44
Cancer of other endocrine glands	194.0	0.03	0.02	0.03	0.03	0.03
Type 2 diabetes with neurological manifestations	250.24	0.12	0.13	0.17	0.21	0.42
Osteopenia or other disorder of bone and cartilage	743.9	0.04	0.07	0.06	0.06	0.05
Essential tremor	333.1	0.06	0.07	0.09	0.07	0.13
Thyroid cancer	193.0	0.09	0.11	0.1	0.11	0.11
Disorders of calcium/phosphorus metabolism	275.5	0.28	0.33	0.35	0.4	0.51
Abnormal function study of cardiovascular system	429.2	0.16	0.15	0.15	0.17	0.25
Other benign neoplasm of uterus	218.2	0.09	0.09	0.1	0.12	0.09
Type 1 diabetes with ketoacidosis	250.11	0.05	0.05	0.05	0.09	0.16
Lump or mass in breast	611.3	0.36	0.39	0.42	0.44	0.45
Malignant neoplasm of uterus	182.0	0.36	0.42	0.4	0.42	0.37
Abdominal pain	785.0	9.9	10.45	10.64	11.33	13.48
Malignant neoplasm, other	195.1	4.91	5.14	4.83	4.75	4.97
Nonspecific abnormal findings on radiological and other examination of musculoskeletal system	793.0	0.05	0.04	0.04	0.05	0.04
Rupture of tendon, nontraumatic	727.6	0.03	0.03	0.03	0.01	0.02
Disorders of other cranial nerves	352.0	0.01	0.02	0.02	0.02	0.03
Cerebral ischemia	433.3	0.27	0.29	0.33	0.38	0.53
Renal colic	594.8	0.4	0.49	0.44	0.54	0.61
Type 1 diabetes with renal manifestations	250.12	0.02	0.02	0.01	0.04	0.06
Pelvic inflammatory disease (PID)	614.3	0.02	0.03	0.04	0.05	0.06
Acute vascular insufficiency of intestine	441.1	0.07	0.06	0.08	0.09	0.11
Congenital deficiency of other clotting factors (including factor VII)	286.12	0.07	0.07	0.09	0.08	0.09
Congenital anomalies of intestine	750.21	0.06	0.05	0.06	0.06	0.08
Malignant neoplasm of kidney, except pelvis	189.11	0.31	0.28	0.33	0.26	0.3
Fracture of clavicle or scapula	803.3	0.05	0.06	0.09	0.07	0.07
Urticaria	947.0	0.15	0.17	0.15	0.17	0.21
Tobacco use disorder	318.0	3.17	3.78	4.69	6.29	11.05
Congenital musculoskeletal deformities of spine	754.0	0.03	0.03	0.03	0.03	0.04
Abnormal heart sounds	396.0	0.32	0.33	0.36	0.33	0.36
Dependence on respirator [Ventilator] or supplemental oxygen	509.8	0.1	0.1	0.1	0.14	0.22
Personal history of diseases of digestive system	564.9	5.07	5.3	5.47	5.67	6.8
Liver abscess and sequelae of chronic liver disease	571.8	0.11	0.14	0.16	0.22	0.3
Blood in stool	578.2	0.6	0.72	0.71	0.82	1.18
Late pregnancy and failed induction	645.0	0.34	0.3	0.33	0.35	0.31
Epiphora	375.2	0.24	0.28	0.26	0.23	0.3
Hypovolemia	276.5	0.8	0.84	0.89	1.08	1.45
Other disorders of cervical region	723.0	0.08	0.1	0.12	0.13	0.18
Hammer toe (acquired)	735.21	0.53	0.51	0.57	0.57	0.53
Peripheral retinal degenerations	362.6	0.07	0.06	0.05	0.03	0.05
Noninfectious gastroenteritis	558.0	4.04	4.39	4.54	4.99	6.38
Diseases and other conditions of the tongue	529.0	0.25	0.29	0.23	0.27	0.31
Hemorrhage or hematoma complicating a procedure	850.0	1.41	1.48	1.46	1.58	1.76
Arthropod-borne diseases	133.0	0.01	0.02	0.02	0.03	0.12
Uveitis, noninfectious or NOS	371.1	0.13	0.14	0.16	0.14	0.18
Diseases of nail, NOS	703.0	0.09	0.1	0.11	0.09	0.1
Juvenile osteochondrosis	732.1	0.04	0.05	0.04	0.05	0.05
Neuralgia, neuritis, and radiculitis NOS	766.0	0.09	0.09	0.1	0.09	0.11
Postmenopausal bleeding	627.1	2.31	2.42	2.52	2.58	2.49
Hypertrophy of female genital organs	623.0	0.32	0.33	0.32	0.34	0.37
Breast cancer [female]	174.1	0.62	0.61	0.6	0.62	0.51
Chromosomal anomalies and genetic disorders	758.0	0.01	0.02	0.02	0.03	0.04
Personal history of diseases of blood and blood-forming organs	289.3	0.08	0.1	0.09	0.11	0.15
Cancer of eye	190.0	0.04	0.06	0.06	0.04	0.05
Pain in limb	773.0	0.3	0.34	0.34	0.36	0.49
Amblyopia	368.1	0.15	0.18	0.17	0.19	0.21
Alopecia	704.1	0.03	0.04	0.04	0.03	0.08
Cornea replaced by transplant	364.9	0.04	0.04	0.03	0.03	0.05
Leukoplakia of oral mucosa	528.6	0.09	0.08	0.09	0.09	0.11
Intracerebral hemorrhage	430.2	0.2	0.23	0.25	0.24	0.24
Hepatitis NOS	70.9	0.1	0.12	0.13	0.16	0.2
Posttraumatic stress disorder	300.9	0.03	0.02	0.04	0.04	0.12
Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]	180.3	0.45	0.49	0.51	0.63	0.68
Joint/ligament sprain	840.3	0.06	0.05	0.05	0.05	0.04
Mastoiditis & related conditions	381.3	0.03	0.04	0.04	0.04	0.05
Disorders of esophageal motility	530.5	0.22	0.19	0.18	0.19	0.26
Phlebitis and thrombophlebitis of lower extremities	451.2	0.95	1.03	1.13	1.06	1.38
Disorders of adrenal glands	255.0	0.03	0.04	0.05	0.05	0.09
Epilepsy	345.1	0.08	0.07	0.09	0.09	0.15
Chronic prostatitis	601.12	0.3	0.3	0.25	0.24	0.23
Paroxysmal ventricular tachycardia	427.12	0.24	0.28	0.29	0.32	0.37
Other disorders of eyelids	374.0	0.77	0.82	0.86	0.84	0.96
Ulcer of esophagus	530.12	1.24	1.37	1.51	1.48	1.94
Benign neoplasm of bone and articular cartilage	213.0	0.09	0.09	0.08	0.09	0.1
Mixed hyperlipidemia	272.13	0.03	0.05	0.04	0.06	0.09
Anticoagulants causing adverse effects	964.1	0.07	0.08	0.09	0.09	0.13
Acquired deformities of finger	736.2	0.05	0.07	0.07	0.06	0.07
Visual disturbances	368.0	0.28	0.31	0.3	0.35	0.41
Esophagitis, GERD and related diseases	530.1	2.25	2.54	2.73	2.91	3.75
Unspecified monoarthritis	716.2	4.51	4.91	4.99	4.97	5.01
Atrophy of female genital tract	624.2	0.12	0.15	0.14	0.13	0.12
Difficulty in walking	741.3	0.04	0.04	0.05	0.06	0.1
Subdural hemorrhage	430.3	0.09	0.08	0.07	0.1	0.12
Vaginitis and vulvovaginitis	614.52	0.1	0.1	0.1	0.11	0.1
Transient cerebral ischemia	433.31	0.53	0.54	0.64	0.64	0.76
Breast disorder NOS	613.9	0.04	0.05	0.03	0.05	0.05
Placenta previa and abruptio placenta	635.3	0.34	0.36	0.33	0.37	0.3
Disorders of magnesium metabolism	275.3	0.12	0.14	0.12	0.19	0.24
Fracture of tibia and fibula	800.3	0.08	0.09	0.1	0.09	0.12
First degree AV block	426.21	0.31	0.39	0.36	0.36	0.5
Iron deficiency anemias, unspecified or not due to blood loss	280.1	1.96	2.23	2.39	2.76	3.53
Other disorders of male genital organs	608.0	0.68	0.7	0.72	0.82	0.89
Hematuria	593.0	4.25	4.22	4.33	4.28	5.07
Other alveolar and parietoalveolar pneumonopathy	504.0	0.09	0.09	0.11	0.11	0.16
Genital prolapse	618.0	0.11	0.11	0.12	0.12	0.11
Cholelithiasis	574.1	2.07	2.26	2.45	2.6	3.01
Toxic effect of (non-ethyl) alcohol and petroleum and other solvents	981.0	0.01	0.02	0.03	0.06	0.1
Celiac disease	557.1	0.65	0.63	0.59	0.64	0.6
Postoperative infection	80.0	1.06	1.09	1.15	1.28	1.62
Develomental delays and disorders	315.0	0.07	0.07	0.08	0.07	0.16
Anal and rectal polyp	565.1	1.96	2.26	2.18	2.36	2.67
Graves' disease	242.1	0.11	0.11	0.14	0.15	0.19
Other specified diseases of hair and hair follicles	704.8	0.03	0.02	0.02	0.01	0.02
Inflammatory diseases of uterus, except cervix	614.4	0.09	0.06	0.07	0.07	0.09
Hemorrhage in early pregnancy	636.3	0.24	0.21	0.24	0.24	0.24
Angina pectoris	411.3	3.79	4.23	4.38	4.7	6.52
Calculus of ureter	594.3	0.6	0.63	0.59	0.66	0.79
Atrioventricular block, complete	426.24	0.2	0.21	0.23	0.2	0.23
Acquired toe deformities	735.2	0.57	0.61	0.61	0.62	0.58
Stricture of artery	447.1	0.16	0.22	0.21	0.24	0.42
Certain early complications of trauma or procedure	958.0	0.1	0.09	0.09	0.11	0.15
Adverse effects of sedatives or other central nervous system depressants and anesthetics	967.0	0.15	0.14	0.14	0.16	0.18
Mastodynia	613.5	0.02	0.01	0.02	0.02	0.03
Colon cancer	153.2	0.91	0.99	0.91	0.91	0.97
Eye infection, viral	369.2	0.03	0.04	0.04	0.04	0.05
Peritoneal or intestinal adhesions	560.3	0.29	0.33	0.33	0.35	0.33
Fracture of unspecified bones	809.0	0.02	0.02	0.03	0.03	0.02
Hemiplegia	342.0	0.3	0.37	0.47	0.54	0.84
Manlignant and unknown neoplasms of brain and nervous system	191.0	0.07	0.06	0.05	0.06	0.07
Transient mental disorders due to conditions classified elsewhere	291.1	0.02	0.03	0.03	0.03	0.08
Benign neoplasm of breast	610.4	0.36	0.35	0.39	0.41	0.4
Other specified gastritis	535.8	2.2	2.32	2.63	2.79	3.62
Other paralytic syndromes	344.0	0.17	0.17	0.19	0.23	0.27
Appendiceal conditions	540.0	0.09	0.07	0.06	0.08	0.07
Other disorders of gallbladder	575.7	0.38	0.46	0.4	0.42	0.45
Hypercholesterolemia	272.11	8.23	9.01	9.54	10.27	12.87
Diabetic retinopathy	250.7	0.33	0.36	0.39	0.49	0.8
Wheezing	512.1	0.07	0.07	0.08	0.08	0.12
Lipoma	214.0	0.45	0.45	0.46	0.44	0.51
Other specified congenital anomalies of kidney	751.22	0.1	0.1	0.08	0.11	0.12
Fracture of unspecified part of femur	800.2	0.01	0.03	0.03	0.02	0.03
Melanomas of skin	172.11	0.91	0.91	0.81	0.69	0.5
Myasthenia gravis	358.1	0.05	0.06	0.05	0.04	0.06
Other acute and subacute forms of ischemic heart disease	411.9	0.37	0.39	0.45	0.44	0.54
Spina bifida	752.11	0.05	0.04	0.05	0.06	0.09
Raynaud's syndrome	443.1	0.34	0.34	0.36	0.38	0.39
Migrain with aura	340.1	0.05	0.05	0.05	0.08	0.11
Neoplasm of uncertain behavior of skin	173.0	0.04	0.05	0.05	0.05	0.05
Duodenitis	535.6	1.79	2.0	2.29	2.28	3.17
Diseases of the larynx and vocal cords	473.0	0.33	0.37	0.39	0.45	0.63
Supraventricular premature beats	427.61	0.04	0.05	0.04	0.04	0.04
Poisoning by water, mineral, and uric acid metabolism drugs	974.0	0.02	0.03	0.03	0.05	0.06
Degeneration of intervertebral disc	722.6	0.69	0.8	0.85	0.94	1.08
Chronic ulcer of skin	707.0	0.23	0.28	0.35	0.42	0.71
Rupture of synovium	727.5	0.1	0.12	0.13	0.1	0.14
Chronic cystitis	592.12	0.24	0.24	0.22	0.26	0.35
Congenital anomalies of mouth/tongue	750.13	0.06	0.05	0.06	0.04	0.06
Aseptic necrosis of bone	733.4	0.02	0.02	0.02	0.02	0.03
Other disorders of arteries and arterioles	447.0	0.12	0.14	0.17	0.18	0.23
Hematemesis	578.1	0.38	0.44	0.46	0.58	1.04
Dental caries	521.1	0.68	0.73	0.79	1.01	1.62
Adjustment reaction	304.0	0.05	0.05	0.09	0.09	0.18
Inflammatory and toxic neuropathy	357.0	0.4	0.42	0.42	0.45	0.59
Other cerebral degenerations	331.0	0.07	0.07	0.07	0.08	0.14
Atrophic gastritis	535.2	0.09	0.11	0.09	0.13	0.18
Synoviopathy	726.2	0.09	0.12	0.11	0.09	0.11
Abnormal results of other function studies (bladder, pancreas, placenta, spleen, etc)	794.0	0.03	0.04	0.04	0.03	0.03
Regional enteritis	555.1	0.51	0.54	0.57	0.63	0.73
Torticollis	723.1	0.03	0.02	0.02	0.02	0.03
Chronic glomerulonephritis, NOS	580.14	0.19	0.19	0.22	0.22	0.28
Impaction of intestine	560.2	0.11	0.11	0.09	0.11	0.13
Hyperventilation	513.4	0.05	0.07	0.05	0.08	0.12
Rheumatic disease of the heart valves	394.0	0.32	0.32	0.33	0.34	0.39
Mood disorders	296.0	0.01	0.01	0.02	0.04	0.05
Secondary malignancy of respiratory organs	198.2	0.76	0.81	0.79	0.77	0.93
Acute sinusitis	464.0	0.03	0.06	0.05	0.07	0.06
Sickle cell anemia	282.5	0.02	0.02	0.05	0.11	0.31
Dizziness and giddiness (Light-headedness and vertigo)	386.9	1.18	1.19	1.35	1.48	2.01
Acute appendicitis	540.11	0.56	0.58	0.6	0.57	0.53
Poisoning by anticonvulsants and anti-Parkinsonism drugs	966.0	0.08	0.09	0.1	0.15	0.31
Abnormal findings examination of lungs	514.0	0.56	0.69	0.73	0.8	1.26
Other dyspnea	512.9	0.2	0.25	0.26	0.27	0.38
Paroxysmal supraventricular tachycardia	427.11	0.69	0.72	0.7	0.75	0.83
Muscular dystrophies	359.1	0.03	0.03	0.03	0.03	0.06
Organic or persistent insomnia	327.41	0.03	0.04	0.04	0.06	0.1
Otitis externa	380.1	0.12	0.11	0.15	0.14	0.19
Chorioretinal inflammations, scars, and other disorders of choroid	363.0	0.02	0.03	0.03	0.03	0.03
Vascular dementia	290.16	0.07	0.08	0.09	0.1	0.16
Varicose veins	454.0	0.11	0.13	0.15	0.16	0.21
Tuberculosis	10.0	0.04	0.05	0.06	0.07	0.15
Other derangement of joint	742.9	0.17	0.18	0.21	0.21	0.18
Other peripheral nerve disorders	351.0	2.78	3.19	3.42	3.53	4.06
Congenital anomalies of face and neck	749.0	0.06	0.06	0.05	0.07	0.09
Complications of cardiac/vascular device, implant, and graft	854.0	0.61	0.7	0.78	0.83	1.01
Retention of urine	599.2	2.12	2.29	2.15	2.2	2.53
Hypothermia/Chills	780.0	0.04	0.05	0.06	0.06	0.1
Traumatic arthropathy	836.0	0.06	0.06	0.06	0.07	0.08
Chronic sinusitis	475.0	0.68	0.66	0.69	0.71	0.78
Sebaceous cyst	706.2	1.98	2.1	2.21	2.19	2.4
Malignant neoplasm of liver, primary	155.1	0.03	0.05	0.06	0.06	0.07
Viral pneumonia	480.2	0.02	0.02	0.03	0.02	0.03
Oral aphthae	528.12	0.02	0.02	0.02	0.02	0.02
Visual field defects	368.4	0.1	0.11	0.09	0.11	0.12
Aneurysm of iliac artery	442.2	0.03	0.03	0.03	0.03	0.05
Carbuncle and furuncle	686.1	0.48	0.58	0.63	0.74	1.05
Poisoning by drugs primarily affecting the autonomic nervous system	971.0	0.02	0.03	0.03	0.05	0.14
Altered mental status	292.4	0.57	0.64	0.71	0.76	1.17
E. coli	41.4	0.76	0.83	0.85	0.99	1.32
Viral hepatitis	70.0	0.04	0.05	0.06	0.07	0.17
Calculus of bile duct	574.2	0.61	0.71	0.73	0.79	0.94
Fibrosclerosis of breast	610.3	0.08	0.07	0.09	0.06	0.07
Pulmonary collapse; interstitial and compensatory emphysema	508.0	0.61	0.62	0.66	0.74	1.06
Spinal stenosis	720.0	0.21	0.24	0.21	0.23	0.26
Cholesterolosis of gallbladder	575.6	0.12	0.13	0.13	0.14	0.13
Ptosis of eyelid	374.3	0.52	0.53	0.52	0.54	0.61
Chemotherapy	197.0	5.36	5.57	5.6	5.78	6.37
Nodular lymphoma	202.21	0.11	0.09	0.13	0.09	0.1
Disorders of lacrimal system	375.0	0.49	0.45	0.5	0.48	0.57
Nephritis and nephropathy with pathological lesion	580.32	0.06	0.05	0.07	0.09	0.11
Diseases of white blood cells	288.0	0.18	0.17	0.17	0.17	0.24
Gastritis and duodenitis	535.0	4.24	4.54	5.09	5.47	7.17
Chronic pericarditis	420.22	0.02	0.02	0.03	0.02	0.02
Protein-calorie malnutrition	260.0	0.04	0.04	0.04	0.06	0.11
Emphysema	496.1	0.31	0.41	0.51	0.64	1.21
Cerebral artery occlusion, with cerebral infarction	433.21	0.39	0.49	0.53	0.56	0.83
Other hemoglobinopathies	282.8	0.05	0.04	0.06	0.11	0.14
Nonspecific abnormal findings on radiological and other examination of skull and head	346.1	0.05	0.04	0.05	0.04	0.06
Uterine leiomyoma	218.1	2.49	2.62	2.76	3.01	3.17
Respiratory failure	509.1	0.4	0.49	0.49	0.67	1.14
Viral hepatitis C	70.3	0.03	0.04	0.06	0.1	0.28
Unstable angina (intermediate coronary syndrome)	411.1	1.16	1.27	1.32	1.49	2.16
Pericarditis	420.2	0.31	0.33	0.33	0.33	0.41
Hearing loss	389.0	0.97	1.03	1.05	1.01	1.23
Poisoning by analgesics, antipyretics, and antirheumatics	965.0	1.55	1.66	1.72	1.88	2.65
Dysplasia of female genital organs	620.0	0.01	0.02	0.02	0.03	0.03
Learning disorder	315.1	0.01	0.01	0.02	0.05	0.16
Congenital anomalies of breast	612.3	0.02	0.02	0.02	0.02	0.03
Myeloid leukemia, acute	204.21	0.1	0.1	0.09	0.08	0.09
Acute pharyngitis	465.2	0.22	0.22	0.23	0.27	0.31
Respiratory complications	519.2	0.05	0.07	0.07	0.09	0.14
Optic neuritis/neuropathy	377.3	0.05	0.04	0.05	0.05	0.07
Acute laryngitis and tracheitis	465.4	0.04	0.03	0.04	0.04	0.07
Fracture of radius and ulna	803.2	0.2	0.23	0.2	0.17	0.18
Alcoholism	317.1	2.16	2.26	2.53	2.64	3.6
Anomalies of tooth position/malocclusion	524.3	0.07	0.09	0.07	0.08	0.09
Reflux esophagitis	530.14	2.86	2.96	3.23	3.35	3.83
Disorders secondary to childbirth, surgery, trauma	617.0	0.07	0.07	0.1	0.09	0.1
Cystitis	592.1	0.55	0.53	0.53	0.65	0.69
Fibroadenosis of breast	610.2	0.09	0.07	0.07	0.08	0.06
Chronic laryngitis	473.1	0.02	0.02	0.02	0.02	0.04
Other disorders of ear	388.0	0.03	0.03	0.02	0.03	0.04
Bone cancer	170.1	0.04	0.03	0.03	0.05	0.04
Urethritis and urethral syndrome	592.2	0.03	0.03	0.03	0.03	0.05
Decubitus ulcer	707.1	0.06	0.04	0.08	0.08	0.12
Primary biliary cirrhosis	571.6	0.05	0.06	0.08	0.08	0.1
Erythema nodosum	695.81	0.02	0.02	0.03	0.02	0.02
Aortic valve disease	394.3	0.39	0.4	0.41	0.45	0.49
Other disorders of urethra and urinary tract	597.0	0.2	0.24	0.21	0.24	0.23
Cancer of major salivary glands	145.3	0.03	0.03	0.03	0.03	0.03
Other disorders of testis	603.0	0.19	0.24	0.24	0.26	0.38
Other benign neoplasm of connective and other soft tissue	215.0	0.28	0.29	0.29	0.29	0.32
Vascular disorders of kidney/hypertrophy	586.3	0.02	0.02	0.02	0.03	0.04
Fracture of humerus	803.1	0.05	0.05	0.07	0.06	0.09
Asthma with exacerbation	495.2	0.05	0.07	0.05	0.1	0.16
Uterine/Uterovaginal prolapse	618.2	1.49	1.54	1.52	1.39	1.21
Schizophrenia	295.1	0.06	0.06	0.12	0.2	0.67
Malignant neoplasm of rectum, rectosigmoid junction, and anus	153.3	0.67	0.62	0.6	0.65	0.63
Other disorders of neurohypophysis	253.7	0.05	0.04	0.06	0.05	0.06
Cervical radiculitis	765.0	0.12	0.13	0.13	0.16	0.19
Empyema and pneumothorax	506.0	0.27	0.3	0.32	0.35	0.52
Encephalitis	323.0	0.08	0.09	0.08	0.07	0.09
Problems associated with amniotic cavity and membranes	653.0	0.4	0.4	0.41	0.47	0.38
Paroxysmal tachycardia, unspecified	427.1	0.03	0.03	0.03	0.04	0.04
Excessive vomiting in pregnancy	643.0	0.02	0.03	0.02	0.03	0.04
Aneurysm and dissection of heart	411.41	0.25	0.23	0.25	0.22	0.19
Althete's foot	110.12	0.04	0.04	0.04	0.04	0.05
Other hypertensive complications	401.3	0.03	0.04	0.06	0.05	0.08
Poisoning by antibiotics	960.0	1.21	1.17	1.12	1.16	1.21
Functional disorders of bladder	596.5	0.36	0.34	0.41	0.44	0.6
Other symptoms/disorders or the urinary system	599.0	1.74	1.74	1.84	1.91	2.42
Respiratory arrest	509.5	0.03	0.04	0.03	0.05	0.07
Hepatomegaly	573.3	0.06	0.07	0.07	0.1	0.17
Abnormality of red blood cells	289.9	0.02	0.02	0.02	0.02	0.04
Subarachnoid hemorrhage	430.1	0.2	0.18	0.21	0.26	0.25
Pallor and flushing	782.6	0.04	0.06	0.06	0.05	0.06
Enthesopathy	726.1	1.91	2.06	2.07	1.91	2.1
Retinal detachment with retinal defect	361.1	0.43	0.38	0.43	0.42	0.37
Cyst of the salivary gland	528.41	0.01	0.03	0.02	0.04	0.03
Periapical abscess	522.5	0.29	0.33	0.31	0.37	0.47
Functional digestive disorders	564.0	0.25	0.31	0.29	0.3	0.35
Mechanical complication of unspecified genitourinary device, implant, and graft	857.0	0.35	0.36	0.34	0.41	0.53
