Phenotype	PheCode	Asian	Chinese	Black	Mixed	White	Other
Elevated blood pressure reading without diagnosis of hypertension	402.0	0.7	0.37	0.67	0.55	0.56	0.84
Fasciitis	728.7	0.2	0.07	0.07	0.11	0.07	0.1
Cellulitis and abscess of trunk	681.7	0.15	0.0	0.05	0.11	0.18	0.13
Heartburn	530.9	0.86	0.34	0.7	0.98	0.65	0.59
Type 2 diabetes	250.2	17.95	5.05	11.84	6.37	5.55	10.29
Parkinson's disease	332.0	0.32	0.13	0.14	0.35	0.41	0.29
Injuries to the nervous system	907.0	0.25	0.13	0.27	0.55	0.36	0.28
Cerebral edema and compression of brain	348.2	0.08	0.32	0.17	0.0	0.09	0.13
Neoplasm of uncertain behavior of male genital organs	187.8	0.0	0.0	0.01	0.0	0.03	0.02
Stomatitis and mucositis (ulcerative)	528.11	0.17	0.13	0.09	0.14	0.12	0.11
Disorders of iris and ciliary body	379.5	0.23	0.06	0.13	0.11	0.11	0.21
Pain, swelling or discharge of eye	379.9	0.1	0.0	0.08	0.17	0.05	0.1
Pneumococcal pneumonia	480.11	1.89	0.77	1.67	1.43	2.03	2.03
Premenopausal menorrhagia	627.4	0.07	0.14	0.14	0.12	0.08	0.05
Pruritus and related conditions	698.0	0.35	0.06	0.39	0.31	0.22	0.28
Anisometropia	368.3	0.1	0.13	0.05	0.03	0.05	0.02
Appendicitis	540.1	0.13	0.06	0.16	0.24	0.15	0.23
Other non-epithelial cancer of skin	172.2	0.17	0.26	0.15	0.55	3.37	1.12
Iatrogenic endocrine disorders	258.0	0.04	0.06	0.03	0.0	0.03	0.06
Oliguria and anuria	599.6	0.08	0.0	0.05	0.04	0.04	0.0
Dermatophytosis of nail	110.11	0.02	0.06	0.08	0.0	0.02	0.0
Cough	512.8	1.22	0.83	1.2	0.95	0.92	1.18
Arrhythmia (cardiac) NOS	427.5	0.17	0.07	0.29	0.25	0.31	0.23
Other disorders of peritoneum	568.0	0.07	0.07	0.11	0.15	0.07	0.1
Allergy/adverse effect of penicillin	960.2	4.85	3.19	4.35	5.61	4.91	5.03
Scar conditions and fibrosis of skin	701.2	0.41	0.39	0.4	0.73	0.64	0.38
Shortness of breath	512.7	2.68	0.77	2.42	2.43	1.84	2.46
Other disorders of liver	573.0	0.47	0.52	0.69	0.42	0.51	0.81
Type 2 diabetes with ophthalmic manifestations	250.23	2.13	0.2	1.25	0.48	0.43	1.02
Cancer of mouth	145.0	0.08	0.0	0.02	0.0	0.04	0.05
Neutropenia	288.11	0.76	0.71	0.88	0.97	1.0	0.82
Flatulence	561.2	0.89	0.5	0.78	0.71	0.66	0.69
Glycosuria or Acetonuria	250.5	0.05	0.07	0.07	0.04	0.03	0.07
Conjunctivitis, infectious	369.5	0.13	0.0	0.1	0.0	0.07	0.21
Sensorineural hearing loss	389.1	0.3	0.13	0.09	0.07	0.15	0.14
Premature beats	427.6	0.19	0.27	0.15	0.15	0.23	0.12
Cellulitis and abscess of foot, toe	681.6	1.3	0.51	1.03	1.22	1.67	1.24
Dislocation	830.0	0.49	0.26	0.34	0.87	0.54	0.52
Tachycardia NOS	427.7	0.74	0.66	0.81	0.4	0.78	0.82
Other complications of pregnancy NEC	646.0	0.99	0.83	1.71	1.89	0.59	1.4
Symptoms of the muscles	772.0	0.06	0.0	0.19	0.03	0.06	0.11
Benign neoplasm of other female genital organs	221.0	0.01	0.0	0.07	0.04	0.06	0.05
Renal dialysis	585.31	0.36	0.13	0.55	0.14	0.16	0.44
Other and unspecified coagulation defects	286.7	0.11	0.13	0.25	0.21	0.11	0.13
Cervicalgia	761.0	0.5	0.13	0.36	0.34	0.29	0.42
Noninflammatory disorders of cervix	619.3	0.64	1.23	0.85	1.02	0.7	0.89
Other signs and symptoms in breast	613.7	0.09	0.06	0.23	0.14	0.12	0.14
Nonrheumatic tricuspid valve disorders	395.3	0.07	0.06	0.08	0.03	0.04	0.02
Osteoarthrosis NOS	740.9	1.95	0.52	1.74	2.02	1.76	1.76
Fracture of ankle and foot	801.0	0.04	0.0	0.04	0.0	0.1	0.02
Congenital deformities of feet	755.1	0.03	0.0	0.05	0.03	0.06	0.05
Unspecified osteomyelitis	710.19	0.03	0.0	0.05	0.0	0.03	0.05
Acute reaction to stress	300.8	0.06	0.07	0.04	0.08	0.04	0.12
Malignant neoplasm of small intestine, including duodenum	159.2	0.03	0.0	0.04	0.04	0.06	0.03
Portal hypertension	571.81	0.18	0.13	0.14	0.11	0.18	0.27
Ingrowing nail	703.1	0.24	0.13	0.1	0.21	0.22	0.17
Irregular menstrual cycle	626.13	0.45	0.55	0.52	0.76	0.45	0.44
Localized superficial swelling, mass, or lump	687.2	0.12	0.06	0.08	0.14	0.06	0.05
Cellulitis and abscess of fingers/toes	681.1	0.27	0.13	0.26	0.14	0.17	0.13
Autism	313.3	0.02	0.06	0.0	0.0	0.02	0.03
Complication of colostomy or enterostomy	853.0	0.1	0.13	0.08	0.18	0.16	0.11
Arterial embolism and thrombosis of lower extremity artery	444.1	0.08	0.0	0.06	0.21	0.17	0.11
Other immunological findings	279.7	0.06	0.0	0.16	0.0	0.07	0.09
Intestinal malabsorption (non-celiac)	557.0	0.05	0.0	0.13	0.13	0.11	0.19
Polydipsia	276.8	0.04	0.06	0.06	0.14	0.03	0.02
Senile cataract	366.2	5.42	3.7	3.16	1.92	3.06	3.23
Congenital osteodystrophies	756.5	0.01	0.06	0.02	0.07	0.04	0.06
Open wounds of extremities	871.0	0.92	0.38	0.82	1.32	1.21	1.05
Superficial injury without mention of infection	915.0	1.08	0.32	0.99	1.14	1.35	1.03
Rhesus isoimmunization in pregnancy	654.2	0.06	0.07	0.11	0.11	0.07	0.03
Deficiency of humoral immunity	279.11	0.01	0.0	0.01	0.0	0.04	0.03
Streptococcus infection	41.2	0.44	0.2	0.5	0.36	0.51	0.6
Chromosomal anomalies	758.1	0.06	0.0	0.04	0.03	0.03	0.05
Small kidney	586.11	0.12	0.0	0.12	0.04	0.06	0.11
Thyrotoxicosis with or without goiter	242.0	0.52	0.6	0.69	0.43	0.44	0.51
Rheumatoid arthritis	714.1	1.1	0.45	0.75	0.62	0.8	0.74
Second degree AV block	426.23	0.19	0.07	0.16	0.07	0.16	0.08
Vaginal enterocele, congenital or acquired	618.6	0.07	0.0	0.03	0.07	0.19	0.05
Gastric ulcer	531.2	1.49	1.47	1.27	1.35	1.21	1.54
Perforation of tympanic membrane	384.4	0.53	1.09	0.09	0.21	0.26	0.42
Disturbance of skin sensation	687.4	0.99	0.38	1.13	1.15	0.82	0.83
Disorders of the orbit	376.0	0.02	0.0	0.04	0.04	0.02	0.03
Cyst of kidney, acquired	586.2	0.44	0.32	0.63	0.39	0.44	0.6
Chronic venous insufficiency [CVI]	456.0	0.12	0.07	0.01	0.04	0.08	0.16
Acute gastritis	535.1	0.37	0.21	0.33	0.37	0.37	0.62
Asthma	495.0	9.78	5.07	8.7	9.65	7.51	8.36
Dementias	290.1	0.23	0.0	0.42	0.25	0.33	0.32
Abnormal results of function study of kidney	589.0	0.09	0.06	0.09	0.0	0.04	0.08
Urinary obstruction	599.1	0.01	0.07	0.04	0.0	0.05	0.07
Benign neoplasm of thyroid glands	226.0	0.08	0.0	0.08	0.03	0.07	0.09
Hemoptysis	516.1	0.8	0.51	0.65	0.96	0.59	0.75
Osteoarthrosis, localized, secondary	740.12	0.06	0.13	0.08	0.07	0.08	0.05
Acquired acanthosis nigricans	701.6	0.04	0.06	0.01	0.03	0.03	0.02
Otalgia	382.0	0.09	0.0	0.09	0.1	0.08	0.05
Other hereditary hemolytic anemias	282.9	0.03	0.07	0.14	0.04	0.03	0.07
Poisoning by other anti-infectives	961.0	0.12	0.13	0.24	0.3	0.14	0.3
Other disorders of soft tissues	729.0	0.43	0.07	0.36	0.33	0.34	0.28
Other persistent mental disorders due to conditions classified elsewhere	290.3	0.03	0.0	0.06	0.04	0.02	0.05
Vitamin D deficiency	261.4	1.43	0.13	0.88	0.42	0.23	0.69
Edema	782.3	0.44	0.32	0.62	0.41	0.59	0.58
Other disorders of prostate	602.0	0.35	0.2	0.38	0.28	0.39	0.28
Open wound or laceration of eye or eyelid	870.1	0.09	0.06	0.1	0.18	0.15	0.1
Laxity of ligament or hypermobility syndrome	728.2	0.08	0.07	0.04	0.07	0.04	0.05
Paraproteinemia	270.32	0.08	0.0	0.18	0.0	0.07	0.09
Complication due to other implant and internal device	859.0	0.73	0.46	0.8	0.57	0.96	0.82
Palpitations	427.9	1.33	0.93	1.59	1.26	1.19	1.41
Neoplasm of uncertain behavior of breast	174.3	0.05	0.0	0.08	0.0	0.03	0.02
Non-Hodgkins lymphoma	202.2	0.28	0.26	0.23	0.21	0.43	0.49
Elevated sedimentation rate	790.1	0.07	0.0	0.03	0.03	0.02	0.03
Congenital anomalies of skin	691.0	0.01	0.0	0.01	0.0	0.02	0.0
Leukemia	204.0	0.08	0.0	0.06	0.03	0.14	0.03
Disease of tricuspid valve	394.7	0.45	0.19	0.44	0.31	0.41	0.43
Trigeminal nerve disorders [CN5]	352.1	0.13	0.13	0.09	0.21	0.14	0.08
Allergic reaction to food	930.0	0.1	0.0	0.1	0.17	0.05	0.06
Primary/intrinsic cardiomyopathies	425.1	0.26	0.06	0.53	0.28	0.32	0.34
Postinflammatory pulmonary fibrosis	502.0	0.43	0.32	0.26	0.11	0.31	0.27
Cysts of the jaws	526.1	0.08	0.07	0.08	0.04	0.09	0.1
Thrombocytopenia	287.3	0.5	0.32	0.43	0.28	0.4	0.52
Open wound of ear	870.2	0.03	0.0	0.05	0.07	0.05	0.03
Keratoconus	364.41	0.09	0.0	0.08	0.04	0.03	0.0
Hypopotassemia	276.14	0.5	0.19	0.67	0.52	0.55	0.56
Diseases of esophagus	530.0	0.27	0.14	0.22	0.11	0.19	0.23
Bacterial enteritis	8.5	0.94	0.7	1.2	0.8	0.57	1.22
Poisoning by agents primarily affecting the gastrointestinal system	973.0	0.01	0.0	0.03	0.08	0.03	0.03
Other complications of the puerperium NEC	674.0	0.11	0.13	0.19	0.24	0.07	0.22
Cardiac arrest	427.42	0.59	0.13	0.26	0.29	0.35	0.33
Ankylosing spondylitis	715.2	0.04	0.0	0.01	0.1	0.12	0.2
HIV infection, symptomatic	71.1	0.02	0.07	0.36	0.14	0.03	0.27
Eustachian tube disorders	381.2	0.04	0.0	0.01	0.07	0.05	0.06
Aphasia/speech disturbance	292.1	0.5	0.06	0.43	0.59	0.49	0.53
Wegener's granulomatosis	446.4	0.01	0.0	0.01	0.0	0.05	0.05
Immunity deficiency	279.1	0.01	0.0	0.01	0.0	0.03	0.06
Poisoning by agents primarily affecting the cardiovascular system	972.0	0.03	0.0	0.08	0.0	0.07	0.1
Peripheral enthesopathies and allied syndromes	726.0	3.17	1.69	2.76	2.74	2.47	2.96
Occlusion of cerebral arteries, with cerebral infarction	433.11	0.04	0.06	0.03	0.04	0.04	0.02
Pituitary hyperfunction	253.1	0.04	0.06	0.15	0.0	0.03	0.06
Other open wound of head and face	870.3	0.64	0.32	0.42	0.63	0.88	0.66
Hypertension complicating pregnancy, childbirth, and the puerperium	642.0	0.41	0.57	0.74	0.62	0.25	0.34
Paralytic ileus	560.1	0.19	0.07	0.21	0.25	0.22	0.29
Other conditions of brain	348.0	0.08	0.07	0.05	0.04	0.05	0.1
Vitiligo	694.1	0.05	0.06	0.04	0.14	0.02	0.03
Chronic interstitial cystitis	592.13	0.11	0.0	0.07	0.04	0.08	0.05
Acidosis	276.41	0.76	0.19	0.41	0.25	0.39	0.48
Intestinal infection due to C. difficile	8.52	0.14	0.06	0.14	0.24	0.21	0.19
Alcoholic liver damage	317.11	0.25	0.2	0.12	0.31	0.26	0.36
Disorders of external ear	380.0	0.16	0.06	0.11	0.1	0.18	0.09
Congenital anomalies of female genital organs	751.11	0.11	0.06	0.14	0.07	0.12	0.11
Obstructive chronic bronchitis	496.21	0.5	0.07	0.19	0.92	1.0	0.84
Hydrocele	603.1	0.32	0.07	0.44	0.21	0.39	0.44
Hemorrhage from gastrointestinal ulcer	531.1	0.22	0.19	0.2	0.28	0.18	0.24
Neurofibromatosis	199.4	0.03	0.07	0.03	0.0	0.03	0.02
Pancreatic cancer	157.0	0.16	0.2	0.1	0.14	0.21	0.13
Cellulitis and abscess of oral soft tissues	528.3	0.04	0.0	0.09	0.07	0.05	0.02
Congenital anomalies of muscle, tendon, fascia, and connective tissue	756.3	0.0	0.0	0.04	0.03	0.02	0.02
Infectious and parasitic complications affecting pregnancy	647.0	0.04	0.13	0.08	0.1	0.02	0.0
Disease of capillaries	448.0	0.01	0.06	0.01	0.03	0.04	0.0
Redundant prepuce and phimosis/BXO	604.1	0.8	0.33	0.46	0.64	0.78	0.46
Subjective visual disturbances	368.9	0.2	0.13	0.16	0.35	0.2	0.24
Pain in joint	745.0	0.53	0.13	0.44	0.45	0.44	0.45
Hypotension NOS	458.9	1.34	0.85	0.87	0.83	1.29	0.95
Impaired fasting glucose	250.41	0.22	0.2	0.16	0.04	0.1	0.19
Peripheral angiopathy in diseases classified elsewhere	443.7	0.15	0.06	0.13	0.1	0.12	0.25
Gangrene	791.0	0.18	0.25	0.19	0.24	0.19	0.19
Stricture and stenosis of esophagus	530.3	0.66	0.34	0.38	0.57	0.64	0.57
Neoplasm of unspecified nature of digestive system	158.0	0.2	0.13	0.36	0.32	0.33	0.34
Nontoxic uninodular goiter	241.1	0.21	0.46	0.16	0.11	0.15	0.18
Pilonidal cyst	686.3	0.21	0.13	0.12	0.11	0.13	0.19
Synovitis and tenosynovitis	727.1	0.56	0.59	0.81	0.51	0.71	0.9
Arthropathy NOS	716.9	8.35	2.88	7.5	6.43	7.72	6.96
Other retinal disorders	362.0	0.68	0.26	0.37	0.28	0.3	0.31
Hemorrhagic disorder due to intrinsic circulating anticoagulants	286.5	0.0	0.0	0.03	0.03	0.02	0.02
Other headache syndromes	339.0	3.55	1.21	3.37	2.77	2.2	3.15
Dysphagia	532.0	2.69	2.03	2.3	1.98	2.19	2.25
Hemorrhage of gastrointestinal tract	578.9	2.21	2.08	2.23	2.31	1.87	2.31
Cancer of other endocrine glands	194.0	0.04	0.0	0.06	0.1	0.03	0.06
Type 2 diabetes with neurological manifestations	250.24	0.51	0.13	0.27	0.29	0.2	0.37
Osteopenia or other disorder of bone and cartilage	743.9	0.05	0.13	0.06	0.07	0.06	0.06
Essential tremor	333.1	0.04	0.0	0.03	0.04	0.08	0.08
Thyroid cancer	193.0	0.12	0.19	0.19	0.14	0.1	0.16
Disorders of calcium/phosphorus metabolism	275.5	0.4	0.0	0.46	0.48	0.37	0.48
Abnormal function study of cardiovascular system	429.2	0.46	0.06	0.44	0.21	0.16	0.32
Other benign neoplasm of uterus	218.2	0.07	0.0	0.27	0.11	0.09	0.21
Type 1 diabetes with ketoacidosis	250.11	0.02	0.0	0.14	0.04	0.08	0.14
Lump or mass in breast	611.3	0.27	0.52	0.58	0.6	0.41	0.57
Malignant neoplasm of uterus	182.0	0.34	0.48	0.27	0.27	0.4	0.37
Abdominal pain	785.0	13.53	10.52	15.06	12.55	11.0	13.56
Malignant neoplasm, other	195.1	2.5	2.84	3.6	3.38	5.03	3.36
Nonspecific abnormal findings on radiological and other examination of musculoskeletal system	793.0	0.04	0.06	0.07	0.0	0.04	0.0
Rupture of tendon, nontraumatic	727.6	0.04	0.0	0.03	0.04	0.03	0.0
Disorders of other cranial nerves	352.0	0.01	0.0	0.03	0.04	0.02	0.03
Cerebral ischemia	433.3	0.38	0.19	0.78	0.39	0.35	0.53
Renal colic	594.8	0.7	0.52	0.53	0.63	0.49	0.64
Type 1 diabetes with renal manifestations	250.12	0.09	0.0	0.1	0.04	0.02	0.05
Pelvic inflammatory disease (PID)	614.3	0.04	0.07	0.09	0.04	0.04	0.13
Acute vascular insufficiency of intestine	441.1	0.04	0.13	0.09	0.14	0.08	0.03
Congenital deficiency of other clotting factors (including factor VII)	286.12	0.06	0.0	0.03	0.17	0.08	0.0
Congenital anomalies of intestine	750.21	0.01	0.0	0.03	0.1	0.06	0.06
Malignant neoplasm of kidney, except pelvis	189.11	0.26	0.13	0.16	0.1	0.3	0.2
Fracture of clavicle or scapula	803.3	0.02	0.0	0.0	0.0	0.07	0.05
Urticaria	947.0	0.28	0.06	0.34	0.31	0.16	0.19
Tobacco use disorder	318.0	4.7	2.63	5.25	8.78	5.79	6.88
Congenital musculoskeletal deformities of spine	754.0	0.06	0.0	0.02	0.0	0.03	0.08
Abnormal heart sounds	396.0	0.26	0.26	0.29	0.21	0.35	0.28
Dependence on respirator [Ventilator] or supplemental oxygen	509.8	0.08	0.19	0.1	0.14	0.13	0.16
Personal history of diseases of digestive system	564.9	5.01	3.07	4.26	5.02	5.71	5.2
Liver abscess and sequelae of chronic liver disease	571.8	0.24	0.13	0.17	0.18	0.18	0.16
Blood in stool	578.2	0.92	0.75	0.78	0.92	0.8	0.99
Late pregnancy and failed induction	645.0	0.26	0.25	0.51	0.55	0.32	0.39
Epiphora	375.2	0.32	0.39	0.32	0.21	0.26	0.3
Hypovolemia	276.5	1.23	0.58	1.1	0.94	1.01	0.98
Other disorders of cervical region	723.0	0.07	0.0	0.24	0.11	0.12	0.11
Hammer toe (acquired)	735.21	0.18	0.13	0.18	0.42	0.56	0.45
Peripheral retinal degenerations	362.6	0.08	0.07	0.01	0.07	0.05	0.1
Noninfectious gastroenteritis	558.0	5.1	2.45	3.45	4.57	4.9	4.56
Diseases and other conditions of the tongue	529.0	0.24	0.13	0.16	0.31	0.27	0.09
Hemorrhage or hematoma complicating a procedure	850.0	1.35	1.36	1.63	1.52	1.54	1.56
Arthropod-borne diseases	133.0	0.1	0.0	1.12	0.14	0.02	0.27
Uveitis, noninfectious or NOS	371.1	0.22	0.0	0.46	0.21	0.14	0.21
Diseases of nail, NOS	703.0	0.1	0.0	0.09	0.03	0.1	0.09
Juvenile osteochondrosis	732.1	0.05	0.0	0.05	0.04	0.05	0.08
Neuralgia, neuritis, and radiculitis NOS	766.0	0.13	0.0	0.1	0.07	0.1	0.02
Postmenopausal bleeding	627.1	2.09	2.1	2.46	2.33	2.48	2.36
Hypertrophy of female genital organs	623.0	0.27	0.46	0.73	0.46	0.33	0.45
Breast cancer [female]	174.1	0.46	0.6	0.42	0.25	0.6	0.36
Chromosomal anomalies and genetic disorders	758.0	0.03	0.0	0.0	0.0	0.02	0.02
Personal history of diseases of blood and blood-forming organs	289.3	0.17	0.26	0.19	0.04	0.1	0.24
Cancer of eye	190.0	0.01	0.0	0.02	0.03	0.05	0.03
Pain in limb	773.0	0.68	0.0	0.49	0.31	0.36	0.34
Amblyopia	368.1	0.11	0.06	0.09	0.07	0.19	0.11
Alopecia	704.1	0.04	0.0	0.18	0.1	0.04	0.13
Cornea replaced by transplant	364.9	0.03	0.0	0.04	0.11	0.04	0.03
Leukoplakia of oral mucosa	528.6	0.11	0.0	0.04	0.07	0.09	0.06
Intracerebral hemorrhage	430.2	0.21	0.45	0.21	0.25	0.23	0.26
Hepatitis NOS	70.9	0.21	0.2	0.2	0.07	0.14	0.3
Posttraumatic stress disorder	300.9	0.03	0.0	0.08	0.12	0.05	0.21
Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]	180.3	0.42	0.82	1.36	1.21	0.54	0.57
Joint/ligament sprain	840.3	0.02	0.0	0.02	0.03	0.05	0.02
Mastoiditis & related conditions	381.3	0.04	0.0	0.03	0.0	0.04	0.0
Disorders of esophageal motility	530.5	0.25	0.14	0.15	0.19	0.21	0.23
Phlebitis and thrombophlebitis of lower extremities	451.2	0.52	0.29	1.07	0.87	1.13	0.82
Disorders of adrenal glands	255.0	0.09	0.13	0.11	0.03	0.05	0.08
Epilepsy	345.1	0.14	0.07	0.06	0.07	0.1	0.03
Chronic prostatitis	601.12	0.22	0.0	0.25	0.07	0.27	0.16
Paroxysmal ventricular tachycardia	427.12	0.39	0.07	0.15	0.25	0.3	0.25
Other disorders of eyelids	374.0	0.98	0.71	0.54	0.49	0.86	0.77
Ulcer of esophagus	530.12	1.05	0.14	0.51	1.28	1.54	1.05
Benign neoplasm of bone and articular cartilage	213.0	0.11	0.07	0.18	0.12	0.09	0.03
Mixed hyperlipidemia	272.13	0.18	0.0	0.13	0.07	0.05	0.14
Anticoagulants causing adverse effects	964.1	0.05	0.07	0.09	0.15	0.09	0.03
Acquired deformities of finger	736.2	0.06	0.13	0.04	0.0	0.07	0.03
Visual disturbances	368.0	0.39	0.19	0.54	0.38	0.32	0.36
Esophagitis, GERD and related diseases	530.1	2.9	1.36	1.71	1.98	2.87	2.25
Unspecified monoarthritis	716.2	5.69	1.88	4.89	3.56	4.88	4.59
Atrophy of female genital tract	624.2	0.08	0.0	0.14	0.07	0.13	0.11
Difficulty in walking	741.3	0.07	0.0	0.14	0.1	0.06	0.11
Subdural hemorrhage	430.3	0.11	0.06	0.21	0.04	0.09	0.1
Vaginitis and vulvovaginitis	614.52	0.04	0.0	0.05	0.04	0.11	0.13
Transient cerebral ischemia	433.31	0.54	0.32	0.47	0.46	0.63	0.54
Breast disorder NOS	613.9	0.02	0.0	0.03	0.1	0.04	0.02
Placenta previa and abruptio placenta	635.3	0.55	0.99	0.77	0.58	0.32	0.64
Disorders of magnesium metabolism	275.3	0.08	0.0	0.13	0.1	0.16	0.2
Fracture of tibia and fibula	800.3	0.02	0.06	0.03	0.14	0.1	0.06
First degree AV block	426.21	0.43	0.07	0.32	0.25	0.39	0.3
Iron deficiency anemias, unspecified or not due to blood loss	280.1	5.41	1.45	4.11	2.45	2.48	3.14
Other disorders of male genital organs	608.0	0.72	0.26	0.62	0.39	0.77	0.85
Hematuria	593.0	4.04	4.38	4.58	3.94	4.43	4.83
Other alveolar and parietoalveolar pneumonopathy	504.0	0.21	0.06	0.15	0.18	0.11	0.15
Genital prolapse	618.0	0.08	0.0	0.06	0.04	0.12	0.05
Cholelithiasis	574.1	1.89	1.55	1.26	1.96	2.52	2.22
Toxic effect of (non-ethyl) alcohol and petroleum and other solvents	981.0	0.02	0.0	0.04	0.1	0.04	0.06
Celiac disease	557.1	0.32	0.0	0.1	0.25	0.65	0.31
Postoperative infection	80.0	1.1	0.7	1.31	1.17	1.24	1.26
Develomental delays and disorders	315.0	0.12	0.0	0.09	0.1	0.09	0.11
Anal and rectal polyp	565.1	1.66	1.5	1.54	1.91	2.32	1.68
Graves' disease	242.1	0.13	0.13	0.35	0.25	0.14	0.15
Other specified diseases of hair and hair follicles	704.8	0.01	0.0	0.03	0.03	0.02	0.0
Inflammatory diseases of uterus, except cervix	614.4	0.05	0.07	0.21	0.04	0.08	0.13
Hemorrhage in early pregnancy	636.3	0.23	0.53	0.46	0.58	0.22	0.45
Angina pectoris	411.3	8.28	2.01	2.89	3.2	4.69	5.07
Calculus of ureter	594.3	0.91	0.58	0.4	0.45	0.65	0.73
Atrioventricular block, complete	426.24	0.2	0.07	0.22	0.07	0.21	0.18
Acquired toe deformities	735.2	0.27	0.26	0.25	0.35	0.62	0.49
Stricture of artery	447.1	0.13	0.0	0.11	0.21	0.26	0.21
Certain early complications of trauma or procedure	958.0	0.07	0.0	0.06	0.14	0.11	0.06
Adverse effects of sedatives or other central nervous system depressants and anesthetics	967.0	0.12	0.07	0.09	0.15	0.16	0.17
Mastodynia	613.5	0.02	0.06	0.01	0.03	0.02	0.02
Colon cancer	153.2	0.45	0.67	0.64	0.91	0.96	0.86
Eye infection, viral	369.2	0.04	0.07	0.03	0.04	0.04	0.06
Peritoneal or intestinal adhesions	560.3	0.16	0.14	0.37	0.29	0.33	0.32
Fracture of unspecified bones	809.0	0.0	0.0	0.01	0.03	0.02	0.0
Hemiplegia	342.0	0.64	0.26	0.84	0.57	0.5	0.47
Manlignant and unknown neoplasms of brain and nervous system	191.0	0.06	0.06	0.07	0.03	0.06	0.09
Transient mental disorders due to conditions classified elsewhere	291.1	0.04	0.06	0.1	0.18	0.04	0.14
Benign neoplasm of breast	610.4	0.41	0.52	0.7	0.56	0.38	0.39
Other specified gastritis	535.8	3.81	2.31	3.07	2.37	2.67	3.19
Other paralytic syndromes	344.0	0.21	0.13	0.23	0.21	0.2	0.24
Appendiceal conditions	540.0	0.07	0.06	0.03	0.17	0.07	0.06
Other disorders of gallbladder	575.7	0.34	0.33	0.18	0.14	0.43	0.32
Hypercholesterolemia	272.11	18.28	6.41	10.07	7.97	9.8	12.41
Diabetic retinopathy	250.7	1.7	0.2	1.17	0.39	0.43	0.93
Wheezing	512.1	0.18	0.0	0.1	0.14	0.08	0.11
Lipoma	214.0	0.51	0.13	0.51	0.35	0.46	0.46
Other specified congenital anomalies of kidney	751.22	0.09	0.0	0.11	0.1	0.1	0.13
Fracture of unspecified part of femur	800.2	0.0	0.0	0.01	0.03	0.03	0.0
Melanomas of skin	172.11	0.01	0.19	0.04	0.1	0.81	0.2
Myasthenia gravis	358.1	0.02	0.06	0.05	0.0	0.05	0.13
Other acute and subacute forms of ischemic heart disease	411.9	0.86	0.07	0.26	0.15	0.43	0.61
Spina bifida	752.11	0.02	0.0	0.07	0.07	0.06	0.05
Raynaud's syndrome	443.1	0.21	0.26	0.34	0.35	0.37	0.44
Migrain with aura	340.1	0.06	0.06	0.09	0.0	0.07	0.1
Neoplasm of uncertain behavior of skin	173.0	0.03	0.0	0.01	0.0	0.05	0.03
Duodenitis	535.6	2.64	1.17	1.77	2.4	2.3	2.4
Diseases of the larynx and vocal cords	473.0	0.38	0.33	0.42	0.51	0.44	0.35
Supraventricular premature beats	427.61	0.03	0.0	0.01	0.07	0.04	0.07
Poisoning by water, mineral, and uric acid metabolism drugs	974.0	0.04	0.0	0.04	0.0	0.04	0.0
Degeneration of intervertebral disc	722.6	1.06	0.39	0.91	0.84	0.87	0.93
Chronic ulcer of skin	707.0	0.41	0.19	0.5	0.31	0.4	0.53
Rupture of synovium	727.5	0.1	0.0	0.11	0.22	0.12	0.12
Chronic cystitis	592.12	0.2	0.07	0.3	0.22	0.27	0.26
Congenital anomalies of mouth/tongue	750.13	0.06	0.06	0.01	0.0	0.06	0.03
Aseptic necrosis of bone	733.4	0.03	0.0	0.01	0.04	0.02	0.06
Other disorders of arteries and arterioles	447.0	0.18	0.06	0.2	0.14	0.17	0.19
Hematemesis	578.1	0.6	0.88	0.54	0.59	0.58	0.71
Dental caries	521.1	1.02	0.32	3.45	2.14	0.91	1.45
Adjustment reaction	304.0	0.09	0.07	0.07	0.2	0.09	0.09
Inflammatory and toxic neuropathy	357.0	0.35	0.32	0.4	0.59	0.45	0.5
Other cerebral degenerations	331.0	0.03	0.0	0.08	0.11	0.09	0.08
Atrophic gastritis	535.2	0.24	0.28	0.26	0.07	0.12	0.12
Synoviopathy	726.2	0.03	0.0	0.05	0.11	0.1	0.17
Abnormal results of other function studies (bladder, pancreas, placenta, spleen, etc)	794.0	0.04	0.0	0.02	0.1	0.03	0.02
Regional enteritis	555.1	0.59	0.14	0.37	0.17	0.61	0.53
Torticollis	723.1	0.02	0.0	0.03	0.04	0.02	0.03
Chronic glomerulonephritis, NOS	580.14	0.35	0.06	0.31	0.25	0.21	0.24
Impaction of intestine	560.2	0.12	0.07	0.03	0.08	0.11	0.1
Hyperventilation	513.4	0.06	0.0	0.1	0.1	0.07	0.14
Rheumatic disease of the heart valves	394.0	0.38	0.06	0.3	0.21	0.34	0.24
Mood disorders	296.0	0.03	0.0	0.04	0.04	0.03	0.05
Secondary malignancy of respiratory organs	198.2	0.33	0.47	0.49	0.67	0.83	0.68
Acute sinusitis	464.0	0.06	0.13	0.04	0.07	0.05	0.05
Sickle cell anemia	282.5	0.11	0.0	5.05	0.81	0.01	0.75
Dizziness and giddiness (Light-headedness and vertigo)	386.9	2.15	0.96	1.73	1.28	1.42	1.77
Acute appendicitis	540.11	0.33	0.45	0.4	0.59	0.58	0.37
