Phenotype	PheCode	Female	Male
Functional disorders of bladder	596.5	0.44	0.42
Other symptoms/disorders or the urinary system	599.0	1.27	2.72
Respiratory arrest	509.5	0.04	0.05
Hepatomegaly	573.3	0.06	0.13
Abnormality of red blood cells	289.9	0.02	0.03
Subarachnoid hemorrhage	430.1	0.26	0.18
Pallor and flushing	782.6	0.05	0.06
Enthesopathy	726.1	2.1	1.9
Retinal detachment with retinal defect	361.1	0.29	0.55
Cyst of the salivary gland	528.41	0.03	0.02
Periapical abscess	522.5	0.38	0.31
Functional digestive disorders	564.0	0.35	0.24
Mechanical complication of unspecified genitourinary device, implant, and graft	857.0	0.36	0.45
Amyloidosis	270.33	0.04	0.04
Retinal vascular changes and abnomalities	362.4	0.21	0.35
Hypertensive heart disease	401.21	0.05	0.1
Benign neoplasm of lip, oral cavity, and pharynx	210.0	0.25	0.25
Disorders resulting from impaired renal function	588.0	0.03	0.03
Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	528.0	0.58	0.54
Congenital anomalies of great vessels	747.13	0.4	0.8
Acute cystitis	592.11	0.04	0.04
Painful respiration	512.2	0.07	0.06
Malignant neoplasm of female breast	174.11	6.3	0.08
Hallux valgus (Bunion)	735.3	3.0	0.38
Aphakia and other disorders of lens	379.3	0.67	0.63
Spondylosis and allied disorders	721.0	0.39	0.26
Conductive hearing loss	389.2	0.11	0.12
Coma	348.7	0.09	0.14
