Phenotype	PheCode	35-44	45-54	55-64	65-74
Arthropathy NOS	716.9	2.46	4.5	8.7	13.08
Other retinal disorders	362.0	0.06	0.13	0.36	0.6
Hemorrhagic disorder due to intrinsic circulating anticoagulants	286.5	0.01	0.01	0.02	0.05
Other headache syndromes	339.0	2.53	2.37	2.12	2.26
Dysphagia	532.0	1.13	1.61	2.41	3.31
Hemorrhage of gastrointestinal tract	578.9	1.46	1.67	1.93	2.4
Cancer of other endocrine glands	194.0	0.03	0.02	0.03	0.03
Type 2 diabetes with neurological manifestations	250.24	0.06	0.15	0.22	0.38
Osteopenia or other disorder of bone and cartilage	743.9	0.04	0.04	0.07	0.07
Essential tremor	333.1	0.02	0.04	0.09	0.16
Thyroid cancer	193.0	0.07	0.11	0.11	0.1
Disorders of calcium/phosphorus metabolism	275.5	0.14	0.21	0.43	0.62
Abnormal function study of cardiovascular system	429.2	0.09	0.12	0.19	0.28
Other benign neoplasm of uterus	218.2	0.09	0.12	0.1	0.06
Type 1 diabetes with ketoacidosis	250.11	0.11	0.09	0.06	0.07
Lump or mass in breast	611.3	0.37	0.43	0.44	0.36
Malignant neoplasm of uterus	182.0	0.09	0.21	0.5	0.6
Abdominal pain	785.0	10.73	10.57	11.14	12.31
Malignant neoplasm, other	195.1	1.73	2.75	5.49	8.8
Nonspecific abnormal findings on radiological and other examination of musculoskeletal system	793.0	0.02	0.03	0.04	0.07
Rupture of tendon, nontraumatic	727.6	0.02	0.03	0.02	0.03
Disorders of other cranial nerves	352.0	0.0	0.02	0.02	0.04
Cerebral ischemia	433.3	0.05	0.1	0.35	0.95
Renal colic	594.8	0.45	0.51	0.53	0.43
Type 1 diabetes with renal manifestations	250.12	0.02	0.03	0.03	0.03
Pelvic inflammatory disease (PID)	614.3	0.09	0.06	0.03	0.01
Acute vascular insufficiency of intestine	441.1	0.02	0.04	0.1	0.14
Congenital deficiency of other clotting factors (including factor VII)	286.12	0.1	0.07	0.08	0.08
Congenital anomalies of intestine	750.21	0.04	0.05	0.06	0.08
Malignant neoplasm of kidney, except pelvis	189.11	0.07	0.15	0.36	0.51
Fracture of clavicle or scapula	803.3	0.05	0.07	0.06	0.08
Urticaria	947.0	0.13	0.13	0.17	0.23
Tobacco use disorder	318.0	5.52	5.78	5.73	6.07
Congenital musculoskeletal deformities of spine	754.0	0.04	0.03	0.02	0.03
Abnormal heart sounds	396.0	0.22	0.25	0.34	0.55
Dependence on respirator [Ventilator] or supplemental oxygen	509.8	0.06	0.07	0.14	0.24
Personal history of diseases of digestive system	564.9	2.44	3.74	6.27	9.44
Liver abscess and sequelae of chronic liver disease	571.8	0.09	0.14	0.21	0.24
Blood in stool	578.2	0.39	0.58	0.84	1.28
Late pregnancy and failed induction	645.0	2.04	0.41	0.0	0.0
Epiphora	375.2	0.07	0.12	0.29	0.52
Hypovolemia	276.5	0.41	0.56	1.06	1.92
Other disorders of cervical region	723.0	0.09	0.1	0.13	0.15
Hammer toe (acquired)	735.21	0.1	0.3	0.67	0.88
Peripheral retinal degenerations	362.6	0.03	0.04	0.06	0.06
Noninfectious gastroenteritis	558.0	3.25	3.94	5.22	6.63
Diseases and other conditions of the tongue	529.0	0.16	0.23	0.31	0.3
Hemorrhage or hematoma complicating a procedure	850.0	1.01	1.23	1.58	2.2
Arthropod-borne diseases	133.0	0.06	0.05	0.04	0.02
Uveitis, noninfectious or NOS	371.1	0.09	0.12	0.16	0.2
Diseases of nail, NOS	703.0	0.06	0.06	0.11	0.12
Juvenile osteochondrosis	732.1	0.06	0.05	0.05	0.04
Neuralgia, neuritis, and radiculitis NOS	766.0	0.07	0.08	0.11	0.11
Postmenopausal bleeding	627.1	0.41	1.77	3.16	2.95
Hypertrophy of female genital organs	623.0	0.52	0.5	0.27	0.15
Breast cancer [female]	174.1	0.3	0.47	0.72	0.65
Chromosomal anomalies and genetic disorders	758.0	0.04	0.02	0.03	0.01
Personal history of diseases of blood and blood-forming organs	289.3	0.09	0.09	0.11	0.12
Cancer of eye	190.0	0.01	0.03	0.06	0.05
Pain in limb	773.0	0.31	0.31	0.38	0.45
Amblyopia	368.1	0.06	0.08	0.19	0.38
Alopecia	704.1	0.06	0.04	0.05	0.03
Cornea replaced by transplant	364.9	0.03	0.03	0.04	0.05
Leukoplakia of oral mucosa	528.6	0.05	0.08	0.09	0.13
Intracerebral hemorrhage	430.2	0.06	0.12	0.24	0.48
Hepatitis NOS	70.9	0.11	0.12	0.15	0.16
Posttraumatic stress disorder	300.9	0.11	0.07	0.04	0.02
Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]	180.3	1.06	0.77	0.42	0.23
Joint/ligament sprain	840.3	0.06	0.06	0.05	0.03
Mastoiditis & related conditions	381.3	0.04	0.04	0.04	0.05
Disorders of esophageal motility	530.5	0.1	0.14	0.24	0.31
Phlebitis and thrombophlebitis of lower extremities	451.2	0.49	0.71	1.23	1.8
Disorders of adrenal glands	255.0	0.02	0.04	0.06	0.07
Epilepsy	345.1	0.08	0.1	0.09	0.11
Chronic prostatitis	601.12	0.06	0.1	0.31	0.53
Paroxysmal ventricular tachycardia	427.12	0.11	0.16	0.33	0.57
Other disorders of eyelids	374.0	0.47	0.61	0.93	1.24
Ulcer of esophagus	530.12	0.5	0.86	1.7	2.68
Benign neoplasm of bone and articular cartilage	213.0	0.09	0.1	0.08	0.1
Mixed hyperlipidemia	272.13	0.02	0.04	0.06	0.09
Anticoagulants causing adverse effects	964.1	0.03	0.05	0.09	0.19
Acquired deformities of finger	736.2	0.06	0.05	0.07	0.08
Visual disturbances	368.0	0.29	0.26	0.33	0.45
Esophagitis, GERD and related diseases	530.1	1.32	2.03	3.15	4.24
Unspecified monoarthritis	716.2	1.75	3.03	5.52	8.07
Atrophy of female genital tract	624.2	0.02	0.07	0.16	0.22
Difficulty in walking	741.3	0.04	0.03	0.06	0.11
Subdural hemorrhage	430.3	0.03	0.04	0.09	0.22
Vaginitis and vulvovaginitis	614.52	0.12	0.1	0.11	0.1
Transient cerebral ischemia	433.31	0.13	0.29	0.66	1.32
Breast disorder NOS	613.9	0.03	0.04	0.05	0.05
Placenta previa and abruptio placenta	635.3	2.39	0.4	0.0	0.0
Disorders of magnesium metabolism	275.3	0.06	0.08	0.18	0.29
Fracture of tibia and fibula	800.3	0.07	0.09	0.11	0.09
First degree AV block	426.21	0.05	0.13	0.4	0.97
Iron deficiency anemias, unspecified or not due to blood loss	280.1	1.7	2.14	2.53	3.8
Other disorders of male genital organs	608.0	0.55	0.61	0.8	1.04
Hematuria	593.0	2.05	3.15	4.79	6.91
Other alveolar and parietoalveolar pneumonopathy	504.0	0.03	0.06	0.12	0.22
Genital prolapse	618.0	0.06	0.09	0.14	0.14
Cholelithiasis	574.1	1.5	1.96	2.69	3.3
Toxic effect of (non-ethyl) alcohol and petroleum and other solvents	981.0	0.08	0.07	0.03	0.02
Celiac disease	557.1	0.38	0.51	0.67	0.89
Postoperative infection	80.0	0.84	1.05	1.29	1.63
Develomental delays and disorders	315.0	0.05	0.06	0.09	0.16
Anal and rectal polyp	565.1	0.95	1.69	2.54	3.33
Graves' disease	242.1	0.15	0.15	0.14	0.12
Other specified diseases of hair and hair follicles	704.8	0.02	0.02	0.02	0.02
Inflammatory diseases of uterus, except cervix	614.4	0.13	0.11	0.06	0.04
Hemorrhage in early pregnancy	636.3	1.57	0.3	0.01	0.0
Angina pectoris	411.3	0.7	1.98	5.31	10.03
Calculus of ureter	594.3	0.49	0.6	0.7	0.71
Atrioventricular block, complete	426.24	0.04	0.06	0.22	0.55
Acquired toe deformities	735.2	0.2	0.35	0.73	0.89
Stricture of artery	447.1	0.03	0.09	0.27	0.57
Certain early complications of trauma or procedure	958.0	0.09	0.11	0.11	0.11
Adverse effects of sedatives or other central nervous system depressants and anesthetics	967.0	0.15	0.14	0.15	0.18
Mastodynia	613.5	0.02	0.02	0.02	0.02
Colon cancer	153.2	0.14	0.43	1.06	1.96
Eye infection, viral	369.2	0.02	0.03	0.04	0.06
Peritoneal or intestinal adhesions	560.3	0.12	0.2	0.38	0.55
Fracture of unspecified bones	809.0	0.01	0.02	0.02	0.03
Hemiplegia	342.0	0.26	0.32	0.54	0.84
Manlignant and unknown neoplasms of brain and nervous system	191.0	0.05	0.05	0.06	0.07
Transient mental disorders due to conditions classified elsewhere	291.1	0.06	0.06	0.03	0.02
Benign neoplasm of breast	610.4	0.51	0.52	0.33	0.25
Other specified gastritis	535.8	1.07	1.94	2.98	4.19
Other paralytic syndromes	344.0	0.18	0.19	0.2	0.25
Appendiceal conditions	540.0	0.08	0.07	0.07	0.06
Other disorders of gallbladder	575.7	0.29	0.33	0.45	0.57
Hypercholesterolemia	272.11	2.12	4.9	11.4	18.72
Diabetic retinopathy	250.7	0.17	0.29	0.5	0.9
Wheezing	512.1	0.05	0.06	0.09	0.13
Lipoma	214.0	0.25	0.36	0.51	0.63
Other specified congenital anomalies of kidney	751.22	0.07	0.09	0.1	0.13
Fracture of unspecified part of femur	800.2	0.01	0.02	0.03	0.04
Melanomas of skin	172.11	0.4	0.51	0.84	1.2
Myasthenia gravis	358.1	0.02	0.03	0.06	0.09
Other acute and subacute forms of ischemic heart disease	411.9	0.1	0.25	0.48	0.89
Spina bifida	752.11	0.09	0.06	0.05	0.05
Raynaud's syndrome	443.1	0.24	0.3	0.38	0.49
Migrain with aura	340.1	0.11	0.08	0.05	0.06
Neoplasm of uncertain behavior of skin	173.0	0.03	0.04	0.05	0.06
Duodenitis	535.6	1.16	1.71	2.56	3.28
Diseases of the larynx and vocal cords	473.0	0.26	0.35	0.45	0.61
Supraventricular premature beats	427.61	0.01	0.02	0.05	0.09
Poisoning by water, mineral, and uric acid metabolism drugs	974.0	0.01	0.03	0.03	0.08
Degeneration of intervertebral disc	722.6	0.62	0.71	0.92	1.14
Chronic ulcer of skin	707.0	0.15	0.24	0.42	0.71
Rupture of synovium	727.5	0.04	0.08	0.12	0.22
Chronic cystitis	592.12	0.11	0.17	0.28	0.47
Congenital anomalies of mouth/tongue	750.13	0.02	0.02	0.06	0.11
Aseptic necrosis of bone	733.4	0.01	0.02	0.02	0.03
Other disorders of arteries and arterioles	447.0	0.06	0.1	0.19	0.29
Hematemesis	578.1	0.39	0.49	0.55	0.89
Dental caries	521.1	1.24	1.06	0.88	0.86
Adjustment reaction	304.0	0.14	0.12	0.08	0.05
Inflammatory and toxic neuropathy	357.0	0.21	0.31	0.49	0.71
Other cerebral degenerations	331.0	0.02	0.05	0.08	0.19
Atrophic gastritis	535.2	0.02	0.07	0.13	0.24
Synoviopathy	726.2	0.12	0.13	0.1	0.07
Abnormal results of other function studies (bladder, pancreas, placenta, spleen, etc)	794.0	0.16	0.03	0.01	0.01
Regional enteritis	555.1	0.54	0.54	0.62	0.67
Torticollis	723.1	0.02	0.02	0.02	0.02
Chronic glomerulonephritis, NOS	580.14	0.04	0.08	0.21	0.55
Impaction of intestine	560.2	0.06	0.08	0.11	0.18
Hyperventilation	513.4	0.08	0.07	0.06	0.09
Rheumatic disease of the heart valves	394.0	0.06	0.11	0.34	0.84
Mood disorders	296.0	0.03	0.03	0.02	0.03
Secondary malignancy of respiratory organs	198.2	0.22	0.47	0.93	1.47
Acute sinusitis	464.0	0.06	0.05	0.05	0.05
Sickle cell anemia	282.5	0.23	0.15	0.06	0.05
Dizziness and giddiness (Light-headedness and vertigo)	386.9	0.86	1.07	1.48	2.23
Acute appendicitis	540.11	0.77	0.64	0.51	0.49
Poisoning by anticonvulsants and anti-Parkinsonism drugs	966.0	0.23	0.2	0.12	0.09
Abnormal findings examination of lungs	514.0	0.25	0.44	0.87	1.51
Other dyspnea	512.9	0.19	0.21	0.29	0.38
Paroxysmal supraventricular tachycardia	427.11	0.35	0.51	0.8	1.21
Muscular dystrophies	359.1	0.06	0.03	0.03	0.04
Organic or persistent insomnia	327.41	0.04	0.05	0.05	0.05
Otitis externa	380.1	0.15	0.13	0.14	0.16
Chorioretinal inflammations, scars, and other disorders of choroid	363.0	0.01	0.02	0.03	0.05
Vascular dementia	290.16	0.01	0.01	0.08	0.35
Varicose veins	454.0	0.19	0.14	0.15	0.15
Tuberculosis	10.0	0.06	0.06	0.08	0.07
Other derangement of joint	742.9	0.29	0.22	0.17	0.14
Other peripheral nerve disorders	351.0	2.02	2.92	3.8	3.94
Congenital anomalies of face and neck	749.0	0.1	0.08	0.06	0.05
Complications of cardiac/vascular device, implant, and graft	854.0	0.31	0.47	0.84	1.43
Retention of urine	599.2	0.65	1.01	2.4	4.74
Hypothermia/Chills	780.0	0.03	0.04	0.07	0.1
Traumatic arthropathy	836.0	0.03	0.06	0.08	0.08
Chronic sinusitis	475.0	0.52	0.67	0.77	0.7
Sebaceous cyst	706.2	1.86	2.08	2.21	2.39
Malignant neoplasm of liver, primary	155.1	0.0	0.03	0.05	0.11
Viral pneumonia	480.2	0.02	0.02	0.03	0.03
Oral aphthae	528.12	0.03	0.02	0.02	0.03
Visual field defects	368.4	0.04	0.07	0.11	0.18
Aneurysm of iliac artery	442.2	0.0	0.01	0.03	0.1
Carbuncle and furuncle	686.1	0.75	0.77	0.65	0.65
Poisoning by drugs primarily affecting the autonomic nervous system	971.0	0.08	0.07	0.05	0.03
Altered mental status	292.4	0.21	0.36	0.78	1.68
E. coli	41.4	0.44	0.6	1.01	1.63
Viral hepatitis	70.0	0.07	0.09	0.08	0.07
Calculus of bile duct	574.2	0.43	0.56	0.83	1.09
Fibrosclerosis of breast	610.3	0.07	0.08	0.08	0.06
Pulmonary collapse; interstitial and compensatory emphysema	508.0	0.3	0.42	0.81	1.3
Spinal stenosis	720.0	0.07	0.1	0.24	0.47
Cholesterolosis of gallbladder	575.6	0.14	0.13	0.14	0.11
Ptosis of eyelid	374.3	0.15	0.29	0.63	0.95
Chemotherapy	197.0	3.09	4.26	6.28	8.36
Nodular lymphoma	202.21	0.04	0.08	0.11	0.17
Disorders of lacrimal system	375.0	0.18	0.26	0.56	0.89
Nephritis and nephropathy with pathological lesion	580.32	0.03	0.06	0.09	0.11
Diseases of white blood cells	288.0	0.13	0.14	0.2	0.26
Gastritis and duodenitis	535.0	2.61	3.94	5.89	7.53
Chronic pericarditis	420.22	0.01	0.01	0.02	0.03
Protein-calorie malnutrition	260.0	0.03	0.04	0.06	0.08
Emphysema	496.1	0.12	0.23	0.68	1.32
Cerebral artery occlusion, with cerebral infarction	433.21	0.14	0.26	0.58	1.19
Other hemoglobinopathies	282.8	0.11	0.09	0.06	0.06
Nonspecific abnormal findings on radiological and other examination of skull and head	346.1	0.03	0.03	0.05	0.07
Uterine leiomyoma	218.1	3.36	3.86	2.57	1.47
Respiratory failure	509.1	0.19	0.3	0.69	1.29
Viral hepatitis C	70.3	0.12	0.16	0.09	0.03
Unstable angina (intermediate coronary syndrome)	411.1	0.26	0.73	1.66	3.05
Pericarditis	420.2	0.22	0.22	0.37	0.53
Hearing loss	389.0	0.35	0.54	1.12	2.08
Poisoning by analgesics, antipyretics, and antirheumatics	965.0	1.72	1.71	1.87	2.31
Dysplasia of female genital organs	620.0	0.02	0.02	0.02	0.02
Learning disorder	315.1	0.1	0.07	0.04	0.03
Congenital anomalies of breast	612.3	0.04	0.03	0.02	0.01
Myeloid leukemia, acute	204.21	0.05	0.05	0.09	0.17
Acute pharyngitis	465.2	0.25	0.23	0.26	0.26
Respiratory complications	519.2	0.04	0.04	0.09	0.16
Optic neuritis/neuropathy	377.3	0.04	0.05	0.05	0.06
Acute laryngitis and tracheitis	465.4	0.03	0.04	0.04	0.05
Fracture of radius and ulna	803.2	0.12	0.15	0.21	0.27
Alcoholism	317.1	1.93	2.33	2.79	3.08
Anomalies of tooth position/malocclusion	524.3	0.2	0.1	0.06	0.04
Reflux esophagitis	530.14	1.63	2.4	3.61	4.69
Disorders secondary to childbirth, surgery, trauma	617.0	0.09	0.1	0.07	0.08
Cystitis	592.1	0.23	0.39	0.63	1.02
Fibroadenosis of breast	610.2	0.09	0.08	0.08	0.05
Chronic laryngitis	473.1	0.01	0.02	0.03	0.03
Other disorders of ear	388.0	0.03	0.03	0.03	0.04
Bone cancer	170.1	0.03	0.03	0.04	0.05
Urethritis and urethral syndrome	592.2	0.01	0.03	0.04	0.05
Decubitus ulcer	707.1	0.02	0.04	0.08	0.14
Primary biliary cirrhosis	571.6	0.02	0.05	0.09	0.1
Erythema nodosum	695.81	0.03	0.03	0.02	0.01
Aortic valve disease	394.3	0.1	0.16	0.47	0.94
Other disorders of urethra and urinary tract	597.0	0.08	0.13	0.25	0.37
Cancer of major salivary glands	145.3	0.02	0.03	0.04	0.03
Other disorders of testis	603.0	0.27	0.26	0.24	0.32
Other benign neoplasm of connective and other soft tissue	215.0	0.23	0.28	0.31	0.31
Vascular disorders of kidney/hypertrophy	586.3	0.02	0.02	0.02	0.05
Fracture of humerus	803.1	0.03	0.04	0.06	0.1
Asthma with exacerbation	495.2	0.09	0.09	0.08	0.1
Uterine/Uterovaginal prolapse	618.2	0.59	0.95	1.71	1.98
Schizophrenia	295.1	0.3	0.27	0.17	0.18
Malignant neoplasm of rectum, rectosigmoid junction, and anus	153.3	0.12	0.32	0.74	1.22
Other disorders of neurohypophysis	253.7	0.01	0.02	0.06	0.11
Cervical radiculitis	765.0	0.17	0.18	0.14	0.12
Empyema and pneumothorax	506.0	0.24	0.23	0.36	0.58
Encephalitis	323.0	0.06	0.08	0.08	0.09
Problems associated with amniotic cavity and membranes	653.0	2.74	0.49	0.0	0.0
Paroxysmal tachycardia, unspecified	427.1	0.01	0.02	0.04	0.06
Excessive vomiting in pregnancy	643.0	0.18	0.03	0.0	0.0
Aneurysm and dissection of heart	411.41	0.08	0.13	0.26	0.43
Althete's foot	110.12	0.04	0.04	0.04	0.05
Other hypertensive complications	401.3	0.02	0.04	0.05	0.1
Poisoning by antibiotics	960.0	0.78	0.94	1.24	1.6
Functional disorders of bladder	596.5	0.23	0.35	0.45	0.61
Other symptoms/disorders or the urinary system	599.0	0.92	1.22	2.07	3.29
Respiratory arrest	509.5	0.02	0.04	0.04	0.06
Hepatomegaly	573.3	0.06	0.08	0.11	0.11
Abnormality of red blood cells	289.9	0.01	0.02	0.03	0.04
Subarachnoid hemorrhage	430.1	0.13	0.21	0.24	0.25
Pallor and flushing	782.6	0.06	0.04	0.06	0.06
Enthesopathy	726.1	0.99	1.54	2.27	2.7
Retinal detachment with retinal defect	361.1	0.17	0.29	0.5	0.51
Cyst of the salivary gland	528.41	0.03	0.02	0.03	0.03
Periapical abscess	522.5	0.38	0.39	0.34	0.3
Functional digestive disorders	564.0	0.16	0.23	0.31	0.5
Mechanical complication of unspecified genitourinary device, implant, and graft	857.0	0.25	0.32	0.4	0.6
Amyloidosis	270.33	0.02	0.01	0.04	0.09
Retinal vascular changes and abnomalities	362.4	0.06	0.12	0.3	0.58
Hypertensive heart disease	401.21	0.01	0.03	0.08	0.17
Benign neoplasm of lip, oral cavity, and pharynx	210.0	0.19	0.21	0.28	0.28
Disorders resulting from impaired renal function	588.0	0.01	0.02	0.03	0.04
Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	528.0	0.37	0.48	0.62	0.67
Congenital anomalies of great vessels	747.13	0.1	0.2	0.59	1.38
Acute cystitis	592.11	0.02	0.03	0.04	0.08
Painful respiration	512.2	0.04	0.07	0.06	0.09
Malignant neoplasm of female breast	174.11	1.54	2.56	4.02	4.32
Hallux valgus (Bunion)	735.3	0.65	1.37	2.2	2.21
Aphakia and other disorders of lens	379.3	0.08	0.16	0.67	1.65
Spondylosis and allied disorders	721.0	0.12	0.2	0.37	0.56
Conductive hearing loss	389.2	0.09	0.11	0.12	0.12
Coma	348.7	0.08	0.07	0.11	0.18
